rank,case_id,condition,wall_ms,dispatch_ms,expert_ms,combine_ms,iterations
0,B_after_A_0,alternating,2.279312014579773,0.3319840133190155,0.922527939081192,0.29592007398605347,2
0,B_after_A_1,alternating,2.151408076286316,0.2198400069028139,0.942080020904541,0.14604806900024414,2
0,B_after_S_2,similar,2.0835520029067993,0.20326400455087423,0.8959040343761444,0.22196811437606812,2
0,B_steady_3,steady,2.0769920349121094,0.2033920013345778,0.8773439824581146,0.1687200665473938,2
0,B_after_D_4,disjoint,3.478879928588867,0.9340000338852406,0.7046240568161011,0.9907361268997192,2
0,B_after_D_5,disjoint,1.9529919624328613,0.22441599378362298,0.8548160046339035,0.4531039595603943,2
0,B_after_A_6,alternating,1.6202879548072815,0.19857599958777428,0.6276800185441971,0.629391998052597,2
0,B_steady_7,steady,1.5974400043487549,0.18760000029578805,0.6204800009727478,0.6194400191307068,2
0,B_after_A_8,alternating,1.40174400806427,0.23369600251317024,0.44646400213241577,0.5874239802360535,2
0,B_after_S_9,similar,1.135664016008377,0.21067200182005763,0.47172799706459045,0.32281598448753357,2
0,B_after_D_10,disjoint,1.314736008644104,0.371008004527539,0.46646398305892944,0.33481597900390625,2
0,B_steady_11,steady,1.288096010684967,0.35295998817309737,0.4511839896440506,0.3608960509300232,2
0,B_after_A_12,alternating,1.2119680047035217,0.2237120089121163,0.5407680124044418,0.2844799757003784,2
0,B_steady_13,steady,0.8660800158977509,0.18120000651106238,0.4690239727497101,0.08806398510932922,2
0,B_after_A_14,alternating,1.0461280047893524,0.19878399465233088,0.47625601291656494,0.24233600497245789,2
0,B_after_A_15,alternating,0.8821599781513214,0.18758400436490774,0.4638559967279434,0.08404803276062012,2
0,B_after_A_16,alternating,0.8930400013923645,0.20240000169724226,0.4562080055475235,0.10755199193954468,2
0,B_steady_17,steady,0.8697760105133057,0.1897920025512576,0.45823998749256134,0.08875200152397156,2
0,B_steady_18,steady,0.8870880007743835,0.21246399451047182,0.4585600048303604,0.08308801054954529,2
0,B_after_S_19,similar,0.8597440123558044,0.1797120007686317,0.46662402153015137,0.08513596653938293,2
0,B_after_D_20,disjoint,1.0667999684810638,0.19075200147926807,0.4665440022945404,0.2885439693927765,2
0,B_after_S_21,similar,1.0219840109348297,0.29649600200355053,0.45873600244522095,0.13092800974845886,2
0,B_after_S_22,similar,0.8693599998950958,0.19283199775964022,0.4619840085506439,0.08278396725654602,2
0,B_after_S_23,similar,0.9044800102710724,0.21400000154972076,0.4644639939069748,0.1016319990158081,2
0,B_after_D_24,disjoint,0.8613279759883881,0.18577600456774235,0.46595199406147003,0.07896000146865845,2
0,B_steady_25,steady,0.8589920103549957,0.189343998208642,0.4474719911813736,0.08764800429344177,2
0,B_after_S_26,similar,0.8566559851169586,0.19139200076460838,0.46508800983428955,0.07343998551368713,2
0,B_after_D_27,disjoint,0.8749440014362335,0.18400000082328916,0.45340801775455475,0.1008639931678772,2
0,B_after_A_28,alternating,0.9722080230712891,0.2364159976132214,0.466079980134964,0.13737601041793823,2
0,B_after_D_29,disjoint,0.8951199948787689,0.2188320062123239,0.4545760005712509,0.08432000875473022,2
0,B_after_A_30,alternating,0.8669919967651367,0.1935680047608912,0.453247994184494,0.08128002285957336,2
0,B_after_D_31,disjoint,0.9029119908809662,0.22132800286635756,0.4557119905948639,0.08894401788711548,2
0,B_steady_32,steady,0.8547519743442535,0.18496000114828348,0.4551999717950821,0.09065601229667664,2
