condition,n,median_ms,mean_ms,p90_ms,cv_pct,dispatch_median_ms,expert_median_ms,combine_median_ms
alternating,30,0.8879920095205307,1.0581226686636607,1.4339087605476382,34.2247967429796,0.20975200342945755,0.476112000644207,0.10927999019622803
disjoint,30,0.8975839912891388,1.0481322636206944,1.2049935877323152,47.522242671878736,0.209423998137936,0.47487200051546097,0.11733600497245789
similar,30,0.8853279948234558,0.9410250633955002,0.9495215833187104,23.573998776663633,0.20546399895101786,0.4747360050678253,0.10936000943183899
steady,30,0.897696003317833,0.9745829333861669,1.0253200054168705,26.153416459203665,0.21056800452060997,0.4716560021042824,0.1088239997625351
