block,workload,variant,requests,token_exact_requests,token_exact_fraction,mean_common_prefix_tokens,e2e_reduction_pct,ttft_reduction_pct,tpot_reduction_pct,status
0,b16_c512,plan2_graph,16,14,0.875,30.875,-189.69755737251265,-0.5927893957487607,-213.1297980748529,EXCLUDE_PENDING_CORRECTNESS
0,b4_c128,plan2_graph,4,3,0.75,27.75,-205.16644086465087,-49.58224152284538,-212.12466625360108,EXCLUDE_PENDING_CORRECTNESS
