block,workload,variant,requests,token_exact_requests,token_exact_fraction,mean_common_prefix_tokens,e2e_reduction_pct,ttft_reduction_pct,tpot_reduction_pct,status
0,b4_c128,plan1_graph,4,4,1,16,16.119684853760695,45.38527671185426,13.289669437383967,TOKEN_EXACT_DESCRIPTIVE_ONLY
0,b64_c128,plan2_graph,64,58,0.90625,15.265625,-227.7497568262789,-1.5628276755053738,-259.3842348912058,EXCLUDE_PENDING_CORRECTNESS
0,b64_c128,plan4_graph,64,63,0.984375,15.8125,-440.3496091293297,-0.9177423657096062,-501.8084998015542,EXCLUDE_PENDING_CORRECTNESS
0,b256_c32,plan1_graph,256,248,0.96875,15.7890625,14.259668903370892,3.4793579749302084,15.655620454992592,EXCLUDE_PENDING_CORRECTNESS
0,b256_c32,plan2_graph,256,248,0.96875,15.76171875,-160.23198204685642,4.2732070581878006,-181.53389768782077,EXCLUDE_PENDING_CORRECTNESS
0,b4_c128,plan2_graph,4,3,0.75,15.75,-209.83727000754354,30.93099461966076,-233.11983008605512,EXCLUDE_PENDING_CORRECTNESS
0,b64_c128,plan1_graph,64,62,0.96875,15.71875,9.3380844962346,-3.369821383156113,11.115410760409528,EXCLUDE_PENDING_CORRECTNESS
0,b256_c32,plan4_graph,256,248,0.96875,15.80859375,-381.2932593670676,3.4486154325468643,-431.11380913279265,EXCLUDE_PENDING_CORRECTNESS
0,b4_c128,plan4_graph,4,3,0.75,15.75,-472.097702950361,20.34250899973662,-519.7172214012476,EXCLUDE_PENDING_CORRECTNESS
1,b4_c128,plan2_graph,4,3,0.75,13,-262.6509661363067,1.757336293294398,-277.2046652688008,EXCLUDE_PENDING_CORRECTNESS
1,b256_c32,plan4_graph,256,246,0.9609375,15.7421875,-413.8851106765748,-3.5808630733960234,-465.55344300351277,EXCLUDE_PENDING_CORRECTNESS
1,b64_c128,plan1_graph,64,61,0.953125,15.84375,16.06240752854401,0.26387597115153927,18.195132977450168,EXCLUDE_PENDING_CORRECTNESS
1,b256_c32,plan2_graph,256,247,0.96484375,15.74609375,-160.8995964605024,-7.148192987099211,-180.26103046174126,EXCLUDE_PENDING_CORRECTNESS
1,b256_c32,plan1_graph,256,248,0.96875,15.76953125,10.571170963399057,-1.1042753666033578,12.041423451809353,EXCLUDE_PENDING_CORRECTNESS
1,b64_c128,plan2_graph,64,57,0.890625,15.25,-174.62125439447993,0.562799407944814,-198.27025546965592,EXCLUDE_PENDING_CORRECTNESS
1,b4_c128,plan4_graph,4,3,0.75,13,-538.3702177480524,-78.66234864545218,-563.6736970801379,EXCLUDE_PENDING_CORRECTNESS
1,b4_c128,plan1_graph,4,3,0.75,13,11.844543320383028,-25.363165650004625,13.892549365535878,EXCLUDE_PENDING_CORRECTNESS
1,b64_c128,plan4_graph,64,63,0.984375,15.90625,-384.70418605154873,0.7778619339969817,-436.74240054310667,EXCLUDE_PENDING_CORRECTNESS
2,b256_c32,plan4_graph,256,249,0.97265625,15.8515625,-355.53740161795986,-4.069263848670257,-401.03310913632447,EXCLUDE_PENDING_CORRECTNESS
2,b256_c32,plan1_graph,256,249,0.97265625,15.8203125,11.062707953650197,2.5268299866389676,12.16763259878122,EXCLUDE_PENDING_CORRECTNESS
2,b64_c128,plan4_graph,64,55,0.859375,14.890625,-421.0243486983753,-2.1863828132409946,-480.6210729825196,EXCLUDE_PENDING_CORRECTNESS
2,b4_c128,plan4_graph,4,3,0.75,12.75,-498.0132815998915,-69.29496537812032,-521.4916956142094,EXCLUDE_PENDING_CORRECTNESS
2,b4_c128,plan2_graph,4,4,1,16,-216.0708162726035,-28.643777472671573,-226.33510741183747,TOKEN_EXACT_DESCRIPTIVE_ONLY
2,b64_c128,plan1_graph,64,58,0.90625,15.5625,10.502789586752781,0.19283781930372612,11.969799272870862,EXCLUDE_PENDING_CORRECTNESS
2,b256_c32,plan2_graph,256,251,0.98046875,15.875,-245.8449565068002,1.432956655860973,-277.8537857691124,EXCLUDE_PENDING_CORRECTNESS
2,b4_c128,plan1_graph,4,3,0.75,15.75,18.962889112545454,-73.47057721116406,24.024933604257704,EXCLUDE_PENDING_CORRECTNESS
2,b64_c128,plan2_graph,64,59,0.921875,15.5,-190.2892097705685,-0.4907060252320461,-217.29576127396314,EXCLUDE_PENDING_CORRECTNESS
