block,workload,variant,requests,mean_e2e_s,mean_ttft_s,mean_tpot_s,steady_itl_mean_s,tokens_s,scope
0,b4_c128,plan1_graph,4,0.5685286149382591,0.03263962920755148,0.035725932382047174,0.006276602490938136,112.56849815129405,fixed_cohort_not_continuous_batching
0,b64_c128,plan2_graph,64,2.5650321072898805,0.09752745926380157,0.16450030986840528,0.014889804080926947,399.2042711743229,fixed_cohort_not_continuous_batching
0,b4_c128,graph,4,0.6777855018153787,0.05976342502981424,0.0412014717857043,0.006783267416592155,94.42334129353443,fixed_cohort_not_continuous_batching
0,b64_c128,graph,64,0.7826190725900233,0.09602672699838877,0.0457728230394423,0.01075835239940456,1308.3136260302476,fixed_cohort_not_continuous_batching
0,b256_c32,graph,256,0.962030628696084,0.11029231268912554,0.0567825544004639,0.02014629978553525,4256.570898212673,fixed_cohort_not_continuous_batching
0,b64_c128,plan4_graph,64,4.228879099711776,0.09690800495445728,0.2754647396504879,0.02154750456767423,242.14079667127442,fixed_cohort_not_continuous_batching
0,b256_c32,plan1_graph,256,0.8248482462950051,0.10645484831184149,0.04789289319887757,0.01766001566180161,4964.017586278635,fixed_cohort_not_continuous_batching
0,b256_c32,plan2_graph,256,2.5035113729536533,0.10557929379865527,0.15986213861033322,0.023489055523116673,1635.9265522423505,fixed_cohort_not_continuous_batching
0,b4_c128,plan2_graph,4,2.1000320953316987,0.04127800324931741,0.1372502728054921,0.008708608303485172,30.475503327169783,fixed_cohort_not_continuous_batching
0,b64_c128,plan1_graph,64,0.7095374423079193,0.09926265617832541,0.04068498574197292,0.012151756423658558,1443.0622100624032,fixed_cohort_not_continuous_batching
0,b256_c32,plan4_graph,256,4.630188568960875,0.10648875497281551,0.30157998759920396,0.03368639713153243,884.5751514357336,fixed_cohort_not_continuous_batching
0,b4_c128,plan4_graph,4,3.8775952868163586,0.04760604491457343,0.25533261612678565,0.013746439712122083,16.5050163026994,fixed_cohort_not_continuous_batching
1,b4_c128,graph,4,0.6359436651691794,0.03317775437608361,0.04018439405287306,0.006538442934730223,100.63558347620024,fixed_cohort_not_continuous_batching
1,b4_c128,plan2_graph,4,2.3062558458186686,0.032594709657132626,0.15157740907743572,0.008869674422645144,27.75046406624166,fixed_cohort_not_continuous_batching
1,b256_c32,plan4_graph,256,4.831975223030895,0.10892973188310862,0.31486969940985243,0.03514790564908513,847.6380338969972,fixed_cohort_not_continuous_batching
1,b64_c128,plan1_graph,64,0.6819138922728598,0.09637174708768725,0.039036143012344836,0.010397289214389665,1501.4926929712476,fixed_cohort_not_continuous_batching
1,b256_c32,plan2_graph,256,2.4531950033269823,0.11268127709627151,0.15603424841538072,0.02785279172738748,1669.4722225596392,fixed_cohort_not_continuous_batching
1,b64_c128,graph,64,0.8124058269895613,0.09662672178819776,0.04771860701342424,0.013534662280497807,1260.3387581621862,fixed_cohort_not_continuous_batching
1,b256_c32,plan1_graph,256,0.840884231030941,0.10632525430992246,0.048970598448067906,0.01755774250653173,4869.253092268514,fixed_cohort_not_continuous_batching
1,b64_c128,plan2_graph,64,2.2310390728525817,0.0960829071700573,0.14233041104550162,0.01575480155380709,458.9642541597759,fixed_cohort_not_continuous_batching
1,b4_c128,plan4_graph,4,4.059674960095435,0.059276155196130276,0.26669325365995367,0.013820352298872811,15.764755145023932,fixed_cohort_not_continuous_batching
1,b256_c32,graph,256,0.9402831727638841,0.10516395466402173,0.05567461453999082,0.017062555998563766,4355.479055386245,fixed_cohort_not_continuous_batching
1,b4_c128,plan1_graph,4,0.5606190422549844,0.04159268317744136,0.0346017572718362,0.0063580307843429705,114.15659075802468,fixed_cohort_not_continuous_batching
1,b64_c128,plan4_graph,64,3.9377650511451066,0.0958750993013382,0.25612599678958453,0.02151549856976739,260.0430540124737,fixed_cohort_not_continuous_batching
2,b256_c32,plan4_graph,256,4.242406110744923,0.11107853706926107,0.2754218382450441,0.036112372763454914,965.4251633859662,fixed_cohort_not_continuous_batching
2,b256_c32,plan1_graph,256,0.8282703240402043,0.10403818311169744,0.04828214272856712,0.017158695064218982,4943.618204739291,fixed_cohort_not_continuous_batching
2,b64_c128,plan4_graph,64,4.042370232753456,0.09875766700133681,0.2629075043834746,0.02146787249616214,253.31237475465522,fixed_cohort_not_continuous_batching
2,b4_c128,plan4_graph,4,3.9725294862873852,0.058390431106090546,0.260942603678753,0.013906761238883649,16.110581291303795,fixed_cohort_not_continuous_batching
2,b4_c128,plan2_graph,4,2.0996199850924313,0.04436969291418791,0.13701668614521623,0.00855319228555475,30.481583561195848,fixed_cohort_not_continuous_batching
2,b256_c32,graph,256,0.9312969902530313,0.1067352001555264,0.05497078600650032,0.01727907286424722,4396.803868807382,fixed_cohort_not_continuous_batching
2,b64_c128,plan1_graph,64,0.6943645919673145,0.09645827766507864,0.03986042095348239,0.0102853337302804,1474.6294157676336,fixed_cohort_not_continuous_batching
2,b256_c32,plan2_graph,256,3.220843670889735,0.10520573100075126,0.20770919599259893,0.025704599418012158,1271.603861737859,fixed_cohort_not_continuous_batching
2,b4_c128,graph,4,0.6642878358252347,0.03449035296216607,0.041986498857537906,0.006820462777146271,96.34191550810239,fixed_cohort_not_continuous_batching
2,b4_c128,plan1_graph,4,0.5383196701295674,0.0598306143656373,0.031899270384262005,0.006685726211539337,118.88495679474637,fixed_cohort_not_continuous_batching
2,b64_c128,plan2_graph,64,2.252210407052189,0.09711888618767262,0.14367276805763443,0.014679283435855593,454.6499661894517,fixed_cohort_not_continuous_batching
2,b64_c128,graph,64,0.7758505418896675,0.09664464509114623,0.04528039311990142,0.010665657198322671,1319.7226121672898,fixed_cohort_not_continuous_batching
