workload,variant,restarts,token_exact_pairs,mean_e2e_s,first_decode_itl_s,steady_itl_mean_s,first_decode_fraction_of_e2e_pct
b256_c32,graph,3,0,0.9402831727638841,0.5826547699980438,0.01727907286424722,62.563798240101455
b256_c32,plan1_graph,3,0,0.8282703240402043,0.4840104100294411,0.01755774250653173,58.12340909644081
b256_c32,plan2_graph,3,0,2.5035113729536533,2.0690853018313646,0.025704599418012158,82.64732983378657
b256_c32,plan4_graph,3,0,4.630188568960875,4.052090254146606,0.03514790564908513,87.51458377549386
b4_c128,graph,3,0,0.6642878358252347,0.5230563329532743,0.006783267416592155,80.38883594679275
b4_c128,plan1_graph,3,1,0.5606190422549844,0.43001392809674144,0.0063580307843429705,76.7034109949408
b4_c128,plan2_graph,3,1,2.1000320953316987,1.9368335758335888,0.008708608303485172,92.22876070032954
b4_c128,plan4_graph,3,0,3.9725294862873852,3.7194443978369236,0.013820352298872811,93.77385899450414
b64_c128,graph,3,0,0.7826190725900233,0.5298866960220039,0.01075835239940456,68.29752219176233
b64_c128,plan1_graph,3,0,0.6943645919673145,0.44015019619837403,0.010397289214389665,64.5213568999507
b64_c128,plan2_graph,3,0,2.252210407052189,1.9495815527625382,0.014889804080926947,86.56302922044715
b64_c128,plan4_graph,3,0,4.042370232753456,3.643062350805849,0.02151549856976739,90.1219369093855
