block,workload,variant,requests,output_tokens,mean_e2e_s,mean_ttft_s,first_decode_itl_s,steady_itl_mean_s,correctness,first_decode_fraction_of_e2e_pct
0,b4_c128,plan1_graph,4,16,0.5685286149382591,0.03263962920755148,0.44801655085757375,0.006276602490938136,TOKEN_EXACT_DESCRIPTIVE_ONLY,78.80281468439848
0,b64_c128,plan2_graph,64,16,2.5650321072898805,0.09752745926380157,2.2590473908931017,0.014889804080926947,EXCLUDE_PENDING_CORRECTNESS,88.07092061237115
0,b4_c128,graph,4,16,0.6777855018153787,0.05976342502981424,0.5230563329532743,0.006783267416592155,BASELINE_SANITY_ONLY,77.17136639133203
0,b64_c128,graph,64,16,0.7826190725900233,0.09602672699838877,0.5359754119999707,0.01075835239940456,BASELINE_SANITY_ONLY,68.48483901960087
0,b256_c32,graph,256,16,0.962030628696084,0.11029231268912554,0.569690119009465,0.02014629978553525,BASELINE_SANITY_ONLY,59.2174616915899
0,b64_c128,plan4_graph,64,16,4.228879099711776,0.09690800495445728,3.8303060308098793,0.02154750456767423,EXCLUDE_PENDING_CORRECTNESS,90.57497129844498
0,b256_c32,plan1_graph,256,16,0.8248482462950051,0.10645484831184149,0.47115317871794105,0.01766001566180161,EXCLUDE_PENDING_CORRECTNESS,57.11998307982511
0,b256_c32,plan2_graph,256,16,2.5035113729536533,0.10557929379865527,2.0690853018313646,0.023489055523116673,EXCLUDE_PENDING_CORRECTNESS,82.64732983378657
0,b4_c128,plan2_graph,4,16,2.1000320953316987,0.04127800324931741,1.9368335758335888,0.008708608303485172,EXCLUDE_PENDING_CORRECTNESS,92.22876070032954
0,b64_c128,plan1_graph,64,16,0.7095374423079193,0.09926265617832541,0.44015019619837403,0.012151756423658558,EXCLUDE_PENDING_CORRECTNESS,62.033399501327686
0,b256_c32,plan4_graph,256,16,4.630188568960875,0.10648875497281551,4.052090254146606,0.03368639713153243,EXCLUDE_PENDING_CORRECTNESS,87.51458377549386
0,b4_c128,plan4_graph,4,16,3.8775952868163586,0.04760604491457343,3.637539085932076,0.013746439712122083,EXCLUDE_PENDING_CORRECTNESS,93.80914759979046
1,b4_c128,graph,4,16,0.6359436651691794,0.03317775437608361,0.5112277097068727,0.006538442934730223,BASELINE_SANITY_ONLY,80.38883594679275
1,b4_c128,plan2_graph,4,16,2.3062558458186686,0.032594709657132626,2.149485694244504,0.008869674422645144,EXCLUDE_PENDING_CORRECTNESS,93.20239548190654
1,b256_c32,plan4_graph,256,16,4.831975223030895,0.10892973188310862,4.230974812060595,0.03514790564908513,EXCLUDE_PENDING_CORRECTNESS,87.56201380947235
1,b64_c128,plan1_graph,64,16,0.6819138922728598,0.09637174708768725,0.43998009618371725,0.010397289214389665,EXCLUDE_PENDING_CORRECTNESS,64.5213568999507
1,b256_c32,plan2_graph,256,16,2.4531950033269823,0.11268127709627151,1.950574642047286,0.02785279172738748,EXCLUDE_PENDING_CORRECTNESS,79.51160178469095
1,b64_c128,graph,64,16,0.8124058269895613,0.09662672178819776,0.5262938332743943,0.013534662280497807,BASELINE_SANITY_ONLY,64.78213422282072
1,b256_c32,plan1_graph,256,16,0.840884231030941,0.10632525430992246,0.4887505816295743,0.01755774250653173,EXCLUDE_PENDING_CORRECTNESS,58.12340909644081
1,b64_c128,plan2_graph,64,16,2.2310390728525817,0.0960829071700573,1.9143889439292252,0.01575480155380709,EXCLUDE_PENDING_CORRECTNESS,85.80705587919215
1,b4_c128,plan4_graph,4,16,4.059674960095435,0.059276155196130276,3.8069138727150857,0.013820352298872811,EXCLUDE_PENDING_CORRECTNESS,93.77385899450414
1,b256_c32,graph,256,16,0.9402831727638841,0.10516395466402173,0.5962434341199696,0.017062555998563766,BASELINE_SANITY_ONLY,63.411050137945324
1,b4_c128,plan1_graph,4,16,0.5606190422549844,0.04159268317744136,0.43001392809674144,0.0063580307843429705,EXCLUDE_PENDING_CORRECTNESS,76.7034109949408
1,b64_c128,plan4_graph,64,16,3.9377650511451066,0.0958750993013382,3.540672971867025,0.02151549856976739,EXCLUDE_PENDING_CORRECTNESS,89.91580060972386
2,b256_c32,plan4_graph,256,16,4.242406110744923,0.11107853706926107,3.6257543549872935,0.036112372763454914,EXCLUDE_PENDING_CORRECTNESS,85.46457506282084
2,b256_c32,plan1_graph,256,16,0.8282703240402043,0.10403818311169744,0.4840104100294411,0.017158695064218982,EXCLUDE_PENDING_CORRECTNESS,58.43628535047541
2,b64_c128,plan4_graph,64,16,4.042370232753456,0.09875766700133681,3.643062350805849,0.02146787249616214,EXCLUDE_PENDING_CORRECTNESS,90.1219369093855
