case_id,rank,wall_ms,dispatch_ms,expert_ms,combine_ms,layout_ms,iterations
B_after_D_0,0,3.024768114089966,0.3657599911093712,1.469823956489563,0.22192001342773438,0.025599999353289604,3
B_after_D_1,0,2.1039679050445557,0.20828800182789564,0.9661120176315308,0.1584639549255371,0.02579200081527233,3
B_after_D_2,0,2.0653440952301025,0.19145600590854883,0.9403200149536133,0.16342413425445557,0.02627200074493885,3
B_after_D_3,0,2.1142079830169678,0.22441599424928427,0.8719680309295654,0.24591994285583496,0.0261439997702837,3
B_after_D_4,0,0.8711040019989014,0.20297600701451302,0.4556159973144531,0.10937601327896118,0.02691200003027916,3
B_after_D_0,1,3.0197439193725586,0.3248000033199787,1.3783040046691895,0.23907208442687988,0.027103999629616737,3
B_after_D_1,1,2.12009596824646,0.21756799425929785,0.9631999731063843,0.12662386894226074,0.027744000777602196,3
B_after_D_2,1,2.0528318881988525,0.18028800562024117,0.9632959365844727,0.16841614246368408,0.029055999591946602,3
B_after_D_3,1,2.0888640880584717,0.20563200023025274,0.9607680439949036,0.10412800312042236,0.02735999971628189,3
B_after_D_4,1,0.8630719780921936,0.19251199439167976,0.46294400095939636,0.07452797889709473,0.02703999914228916,3
B_after_D_0,2,3.4466559886932373,0.7579840049147606,0.7886399030685425,0.7947838306427002,0.02956799976527691,3
B_after_D_1,2,2.0635199546813965,0.18492800276726484,0.8592640161514282,0.18473601341247559,0.025407999753952026,3
B_after_D_2,2,2.043423891067505,0.17356799356639385,1.0379520058631897,0.09436798095703125,0.027008000761270523,3
B_after_D_3,2,2.057663917541504,0.1726079983636737,0.914944052696228,0.15955209732055664,0.026944000273942947,3
B_after_D_4,2,0.8468480110168457,0.17075199633836746,0.4453440308570862,0.09129601716995239,0.02550400048494339,3
B_after_D_0,3,2.9919040203094482,0.3834559917449951,1.2782078981399536,0.21119999885559082,0.027648000046610832,3
B_after_D_1,3,2.097759962081909,0.2001280002295971,1.0556480288505554,0.09081602096557617,0.02566399984061718,3
B_after_D_2,3,2.0632638931274414,0.19123200047761202,0.9270400404930115,0.13315212726593018,0.02595200017094612,3
B_after_D_3,3,2.0821120738983154,0.18448000494390726,0.9041919708251953,0.14160001277923584,0.026655999943614006,3
B_after_D_4,3,0.8524159789085388,0.1766079980880022,0.45600003004074097,0.10896003246307373,0.026784000918269157,3
