step,device_id,request_step_ms_profiled,kernel_union_ms,compute_union_ms,nccl_union_ms,compute_nccl_overlap_ms,nccl_overlap_fraction,uncovered_by_kernels_ms,reported_graph_node_stream_count,kernel_count,graph_kernel_count
2,0,13.653391,8.794131,7.711117,2.856457,1.773443,0.6208540860233499,4.85926,118,1254,1252
2,1,13.653391,8.968351,7.793789,2.976003,1.801441,0.6053223064627287,4.68504,118,1254,1252
2,2,13.653391,8.402295,7.929494,1.906116,1.433315,0.7519558096149447,5.251096,118,1254,1252
2,3,13.653391,8.57388,8.029462,1.8128,1.268382,0.6996811562224183,5.079511,118,1254,1252
3,0,13.116007,8.555538,7.831825,2.49274,1.769027,0.709671686577822,4.560469,118,1254,1252
3,1,13.116007,8.70717,7.820866,2.650432,1.764128,0.6656001738584503,4.408837,118,1254,1252
3,2,13.116007,9.12605,7.970457,2.850026,1.694433,0.5945324709318441,3.989957,118,1254,1252
3,3,13.116007,8.357214,8.077982,1.391168,1.111936,0.7992823296683075,4.758793,118,1254,1252
4,0,13.085457,8.964568,7.929748,2.569099,1.534279,0.5972050901892064,4.120889,118,1254,1252
4,1,13.085457,8.451781,7.997377,2.105281,1.650877,0.7841599292445997,4.633676,118,1254,1252
4,2,13.085457,8.77891,8.025817,2.139818,1.386725,0.6480574516150439,4.306547,118,1254,1252
4,3,13.085457,8.922108,7.95529,2.588991,1.622173,0.6265657161419256,4.163349,118,1254,1252
5,0,13.454942,9.427641,7.91253,3.087304,1.572193,0.5092446354489224,4.027301,118,1254,1252
5,1,13.454942,8.510146,7.842528,2.602881,1.935263,0.7435080589546736,4.944796,118,1254,1252
5,2,13.454942,9.133376,8.103454,2.448295,1.418373,0.5793309221315242,4.321566,118,1254,1252
5,3,13.454942,9.363263,7.910653,3.183552,1.730942,0.5437140652956195,4.091679,118,1254,1252
6,0,12.912822,8.967991,7.846066,2.904551,1.782626,0.6137354792530756,3.944831,118,1254,1252
6,1,12.912822,8.357634,7.740768,2.445666,1.8288,0.7477717725969123,4.555188,118,1254,1252
6,2,12.912822,9.119677,7.82732,2.975051,1.682694,0.5656017325417279,3.793145,118,1254,1252
6,3,12.912822,8.769466,7.965431,2.370208,1.566173,0.6607744974280738,4.143356,118,1254,1252
7,0,12.847036,9.174708,7.861198,2.796422,1.482912,0.5302890622373876,3.672328,118,1254,1252
7,1,12.847036,8.386945,7.791937,2.398306,1.803298,0.751904886198842,4.460091,118,1254,1252
7,2,12.847036,8.410554,7.936726,1.948361,1.474533,0.7568068751119531,4.436482,118,1254,1252
7,3,12.847036,8.919865,7.819353,2.844768,1.744256,0.6131452547272748,3.927171,118,1254,1252
8,0,12.673213,8.530128,7.872909,2.287751,1.630532,0.7127226695562585,4.143085,118,1254,1252
8,1,12.673213,9.146624,7.730174,3.353473,1.937023,0.5776169958726372,3.526589,118,1254,1252
8,2,12.673213,8.400059,7.907801,1.915433,1.423175,0.7430043233044434,4.273154,118,1254,1252
8,3,12.673213,8.94844,8.006103,2.402816,1.460479,0.6078197415033028,3.724773,118,1254,1252
9,0,12.689694,8.484367,7.963949,1.946119,1.425701,0.7325867534308025,4.205327,118,1254,1252
9,1,12.689694,8.360671,7.834239,2.054945,1.528513,0.7438218541128838,4.329023,118,1254,1252
9,2,12.689694,9.038461,7.961595,2.81313,1.736264,0.6172000582980524,3.651233,118,1254,1252
9,3,12.689694,8.401659,7.948666,2.096608,1.643615,0.7839400593720905,4.288035,118,1254,1252
10,0,12.616633,8.316275,7.900563,1.797127,1.381415,0.768679675949446,4.300358,118,1254,1252
10,1,12.616633,8.683876,7.751458,2.601314,1.668896,0.641558842953984,3.932757,118,1254,1252
10,2,12.616633,8.824509,7.929018,2.343979,1.448488,0.6179611677408373,3.792124,118,1254,1252
10,3,12.616633,8.505912,7.826423,2.481568,1.802079,0.7261856213490825,4.110721,118,1254,1252
11,0,12.7286,8.589236,7.869264,2.48439,1.764418,0.7102016994111231,4.139364,118,1254,1252
11,1,12.7286,8.605794,7.809473,2.641441,1.84512,0.6985278111455073,4.122806,118,1254,1252
11,2,12.7286,8.396382,7.967102,1.908518,1.479238,0.7750715476615887,4.332218,118,1254,1252
11,3,12.7286,8.402363,7.980122,1.880864,1.458623,0.7755068947037106,4.326237,118,1254,1252
12,0,12.800603,8.385043,7.863475,2.216325,1.694757,0.7646698927278265,4.41556,118,1254,1252
12,1,12.800603,8.879939,7.922018,2.592929,1.635008,0.6305641226581985,3.920664,118,1254,1252
12,2,12.800603,8.75792,8.049373,1.946728,1.238181,0.636031844202169,4.042683,118,1254,1252
12,3,12.800603,8.873978,7.818937,2.804896,1.749855,0.6238573551390141,3.926625,118,1254,1252
13,0,12.552719,8.473363,7.886065,2.068007,1.480709,0.71600773111503,4.079356,118,1254,1252
13,1,12.552719,8.709372,7.755708,2.627106,1.673442,0.6369906657744301,3.843347,118,1254,1252
13,2,12.552719,8.298973,7.882491,1.936265,1.519783,0.7849044423154888,4.253746,118,1254,1252
13,3,12.552719,8.208731,7.928571,1.453664,1.173504,0.8072732075637836,4.343988,118,1254,1252
14,0,12.593988,8.396536,7.72783,2.451813,1.783107,0.7272606026642325,4.197452,118,1254,1252
14,1,12.593988,8.783012,7.679361,2.846083,1.742432,0.6122210771787049,3.810976,118,1254,1252
14,2,12.593988,8.775681,7.830652,2.696941,1.751912,0.6495922602682076,3.818307,118,1254,1252
14,3,12.593988,8.267742,8.051389,1.266464,1.050111,0.8291676668266923,4.326246,118,1254,1252
15,0,12.836681,8.402519,7.927733,1.862594,1.387808,0.7450942073259121,4.434162,118,1254,1252
15,1,12.836681,8.786753,7.791969,2.772449,1.777665,0.6411894321590766,4.049928,118,1254,1252
15,2,12.836681,8.351196,7.928596,1.993864,1.571264,0.7880497365918638,4.485485,118,1254,1252
15,3,12.836681,8.77827,7.888925,2.49136,1.602015,0.643028305824931,4.058411,118,1254,1252
16,0,12.67852,8.472725,7.881138,2.093414,1.501827,0.7174056350057848,4.205795,118,1254,1252
16,1,12.67852,8.729953,7.838655,2.585473,1.694175,0.6552669472858544,3.948567,118,1254,1252
16,2,12.67852,8.723649,7.974941,2.490027,1.741319,0.6993173166395384,3.954871,118,1254,1252
16,3,12.67852,8.355893,8.002452,1.693696,1.340255,0.7913196937348851,4.322627,118,1254,1252
17,0,12.684244,8.889971,7.990897,2.176196,1.277122,0.5868598232879759,3.794273,118,1254,1252
17,1,12.684244,8.89491,7.744956,3.084994,1.93504,0.6272427110068933,3.789334,118,1254,1252
17,2,12.684244,8.326008,7.87525,2.062922,1.612164,0.7814953740374091,4.358236,118,1254,1252
17,3,12.684244,8.300986,7.73673,2.366655,1.802399,0.7615807965250533,4.383258,118,1254,1252
18,0,12.674026,8.32799,8.024628,1.563814,1.260452,0.806011456605453,4.346036,118,1254,1252
18,1,12.674026,8.668897,7.821984,2.495106,1.648193,0.6605703324828684,4.005129,118,1254,1252
18,2,12.674026,8.673469,7.745752,2.534474,1.606757,0.6339607350479823,4.000557,118,1254,1252
18,3,12.674026,8.498718,7.886077,2.501472,1.888831,0.7550878043008277,4.175308,118,1254,1252
19,0,12.767193,8.534932,7.960946,2.377062,1.803076,0.7585313298517246,4.232261,118,1254,1252
19,1,12.767193,8.800995,7.908512,2.555427,1.662944,0.650749952943285,3.966198,118,1254,1252
19,2,12.767193,8.691103,7.933436,2.347496,1.589829,0.6772446044636498,4.07609,118,1254,1252
19,3,12.767193,8.52201,7.990426,2.249247,1.717663,0.7636613497761695,4.245183,118,1254,1252
20,0,12.601817,8.306863,7.914859,1.86429,1.472286,0.7897301385514056,4.294954,118,1254,1252
20,1,12.601817,8.720315,7.920186,2.304384,1.504255,0.6527796582514025,3.881502,118,1254,1252
20,2,12.601817,8.446299,7.805174,2.479884,1.838759,0.7414697622953331,4.155518,118,1254,1252
20,3,12.601817,8.83606,7.75865,3.126048,2.048638,0.6553443837074798,3.765757,118,1254,1252
21,0,12.623693,8.357518,7.919436,1.927272,1.48919,0.7726932161106476,4.266175,118,1254,1252
21,1,12.623693,8.301247,7.752285,2.208739,1.659777,0.7514590904584019,4.322446,118,1254,1252
21,2,12.623693,8.543325,7.788443,2.514345,1.759463,0.6997699201979044,4.080368,118,1254,1252
21,3,12.623693,8.328247,7.781269,2.326272,1.779294,0.7648692844172994,4.295446,118,1254,1252
22,0,12.527356,8.489077,7.779282,2.669861,1.960066,0.734145335656051,4.038279,118,1254,1252
22,1,12.527356,8.284737,7.720959,2.154304,1.590526,0.7383015581830605,4.242619,118,1254,1252
22,2,12.527356,8.621661,7.849689,2.368939,1.596967,0.6741275313547542,3.905695,118,1254,1252
22,3,12.527356,8.242621,7.880125,1.605439,1.242943,0.7742075531988447,4.284735,118,1254,1252
23,0,12.480544,8.77999,7.70312,2.496589,1.419719,0.5686634844581948,3.700554,118,1254,1252
