step,device_id,request_step_ms_profiled,kernel_union_ms,compute_union_ms,nccl_union_ms,compute_nccl_overlap_ms,nccl_overlap_fraction,uncovered_by_kernels_ms,reported_graph_node_stream_count,kernel_count,graph_kernel_count
17,2,9.337178,6.248722,5.372622,0.8761,0.0,0.0,3.088456,1,702,700
17,3,9.337178,5.88022,5.342652,0.537568,0.0,0.0,3.456958,1,702,700
18,0,9.177213,5.84055,5.433316,0.407234,0.0,0.0,3.336663,1,702,700
18,1,9.177213,6.198526,5.300701,0.897825,0.0,0.0,2.978687,1,702,700
18,2,9.177213,5.943919,5.244654,0.699265,0.0,0.0,3.233294,1,702,700
18,3,9.177213,6.0455,5.363709,0.681791,0.0,0.0,3.131713,1,702,700
19,0,9.220891,5.917705,5.385256,0.532449,0.0,0.0,3.303186,1,702,700
19,1,9.220891,5.94816,5.409855,0.538305,0.0,0.0,3.272731,1,702,700
19,2,9.220891,5.951917,5.349675,0.602242,0.0,0.0,3.268974,1,702,700
19,3,9.220891,6.080989,5.438941,0.642048,0.0,0.0,3.139902,1,702,700
20,0,9.248705,5.902729,5.462951,0.439778,0.0,0.0,3.345976,1,702,700
20,1,9.248705,6.195389,5.537309,0.65808,0.0,0.0,3.053316,1,702,700
20,2,9.248705,6.01835,5.349485,0.668865,0.0,0.0,3.230355,1,702,700
20,3,9.248705,5.931578,5.434938,0.49664,0.0,0.0,3.317127,1,702,700
21,0,9.360727,6.101676,5.485353,0.616323,0.0,0.0,3.259051,1,702,700
21,1,9.360727,6.025374,5.409086,0.616288,0.0,0.0,3.335353,1,702,700
21,2,9.360727,6.147538,5.42168,0.725858,0.0,0.0,3.213189,1,702,700
21,3,9.360727,5.887068,5.415709,0.471359,0.0,0.0,3.473659,1,702,700
22,0,9.300054,5.883208,5.410631,0.472577,0.0,0.0,3.416846,1,702,700
22,1,9.300054,5.962077,5.304861,0.657216,0.0,0.0,3.337977,1,702,700
22,2,9.300054,6.228908,5.325033,0.903875,0.0,0.0,3.071146,1,702,700
22,3,9.300054,6.058586,5.451034,0.607552,0.0,0.0,3.241468,1,702,700
23,0,9.146893,5.847978,5.365608,0.48237,0.0,0.0,3.298915,1,702,700
23,1,9.146893,6.169023,5.319646,0.849377,0.0,0.0,2.97787,1,702,700
23,2,9.146893,6.003632,5.353967,0.649665,0.0,0.0,3.143261,1,702,700
23,3,9.146893,5.989276,5.338684,0.650592,0.0,0.0,3.157617,1,702,700
24,0,9.476011,6.032905,5.384553,0.648352,0.0,0.0,3.443106,1,702,700
24,1,9.476011,5.865246,5.239326,0.62592,0.0,0.0,3.610765,1,702,700
24,2,9.476011,5.931471,5.282445,0.649026,0.0,0.0,3.54454,1,702,700
24,3,9.476011,5.836478,5.30851,0.527968,0.0,0.0,3.639533,1,702,700
25,0,9.302937,5.867018,5.25732,0.609698,0.0,0.0,3.435919,1,702,700
25,1,9.302937,6.053947,5.324858,0.729089,0.0,0.0,3.24899,1,702,700
25,2,9.302937,6.25054,5.39444,0.8561,0.0,0.0,3.052397,1,702,700
25,3,9.302937,6.103261,5.331229,0.772032,0.0,0.0,3.199676,1,702,700
26,0,9.212827,5.904295,5.396295,0.508,0.0,0.0,3.308532,1,702,700
26,1,9.212827,5.88601,5.338201,0.547809,0.0,0.0,3.326817,1,702,700
26,2,9.212827,6.012688,5.306989,0.705699,0.0,0.0,3.200139,1,702,700
26,3,9.212827,6.103387,5.437467,0.66592,0.0,0.0,3.10944,1,702,700
27,0,9.10412,5.871462,5.322725,0.548737,0.0,0.0,3.232658,1,702,700
