condition,invocations,expert_ratio_median,expert_ratio_p90,expert_ratio_max,rank_ratio_median,dispatch_ratio_median,combine_ratio_median,critical_moe_ms_median
chat_vs_chat,52,1.0191503464610658,1.0543561344907837,1.1182863878892997,1.1921768707482994,1.1228102077656366,1.0310893817328528,1.2116959989070892
code_vs_math,52,1.158871773048384,1.1981325202143323,1.3572561132966976,1.174217907227616,1.3603150733299767,1.0468955710688506,1.9645440131425855
long_code_vs_chat,52,1.032233585339391,1.1120229559789534,1.408336477907307,1.1981792717086834,1.1542391104926297,1.09084113385363,1.2790879607200623
long_math_vs_factual,52,1.0403332252831277,1.0605076601383947,1.1025089562588657,1.159907682162875,1.157315873964187,1.1018643258792573,1.28227199614048
math_vs_reasoning,52,1.021886673448285,1.0368357736246245,1.5828986773178824,1.207659115426106,1.0963189053875713,1.0417451430833151,1.1823680102825165
reasoning_vs_factual,52,1.0291550542357,1.2407177788891859,1.4002725741283768,1.1681190994916486,1.1536465976580499,1.053291732110259,1.2692960053682327
