phase,stage,logical_invocations,median_critical_ms,p95_critical_ms,mean_critical_ms,sum_critical_ms
all,router,2449,0.16470399498939514,0.26540799140930177,0.18434145521386247,451.4522238187492
all,dispatch,2449,0.3314880132675171,0.7005247950553893,0.37497920130724416,918.324064001441
all,expert,2449,0.8427839875221252,0.99301118850708,0.7990770168745455,1956.9396143257618
all,combine,2449,0.16259199380874634,0.3515584051609039,0.1814828714460025,444.4515521712601
all,shared,2449,0.03209599852561951,0.25982721447944634,0.0904210242041584,221.44108827598393
all,gather,2449,0.0453759990632534,0.32079359889030457,0.08770301017306346,214.78467191383243
early,router,155,0.17020800709724426,0.2683968007564544,0.18680134175285215,28.954207971692085
early,dispatch,155,0.40540799498558044,0.6899647831916809,0.41706797470969537,64.64553608000278
early,expert,155,0.8973119854927063,1.028848028182983,0.9003464260408955,139.5536960363388
early,combine,155,0.1915840059518814,0.37826879918575274,0.21269058075643354,32.9670400172472
early,shared,155,0.03209599852561951,0.16587839573621738,0.05149956137662934,7.982432013377547
early,gather,155,0.04566400125622749,0.2457504048943517,0.07648103238353807,11.8545600194484
middle,router,961,0.16393600404262543,0.2616640031337738,0.18237079699735984,175.2583359144628
middle,dispatch,961,0.3619840145111084,0.6858879923820496,0.38279468866218264,367.86569580435753
middle,expert,961,0.8763840198516846,1.0123519897460938,0.8625107500605231,828.8728308081627
middle,combine,961,0.16841599345207214,0.3468799889087677,0.18954971924222594,182.15728019177914
middle,shared,961,0.03206399828195572,0.19059200584888458,0.06344477856351484,60.970432199537754
middle,gather,961,0.0451200008392334,0.24742400646209717,0.07094263465460642,68.17587190307677
late,router,1333,0.1648000031709671,0.26628479957580564,0.18547612898169114,247.2396799325943
late,dispatch,1333,0.2974720001220703,0.7111488103866576,0.3644507367720035,485.8128321170807
late,expert,1333,0.7706239819526672,0.9676095843315123,0.741570208162986,988.5130874812603
late,combine,1333,0.15267199277877808,0.3488063931465145,0.17203843358007034,229.32723196223378
late,shared,1333,0.032255999743938446,0.2954367995262144,0.11439476673898621,152.48822406306863
late,gather,1333,0.04604800045490265,0.3789696037769317,0.10109095273166337,134.75423999130726
