lag,phase,layer_group,token_pairs,wave_pairs,ordered_expert_agreement,topk_set_agreement,destination_set_agreement,rank_load_cosine,critical_rank_persistence,topk_weight_cosine
1,all,all,673568,465,0.4271693800774384,0.3095470687443584,0.6836310513563589,0.9972300375415761,0.8924731182795699,0.9904385273248758
1,all,early_layers,217280,150,0.48275094348306336,0.3623159057437408,0.713535530191458,0.9970967949735791,0.84,0.9932245349730962
1,all,middle_layers,239008,165,0.397503430847503,0.2868523229347972,0.6628857611460705,0.9975014763081713,0.9515151515151515,0.9900068663971413
1,all,late_layers,217280,150,0.4042203608247423,0.28174245213549337,0.6765463917525774,0.9970646974663188,0.88,0.9881273466971633
1,early,all,73408,0,0.28430995259372277,0.15172733217088055,0.5690115518744551,nan,nan,0.9873960295662856
1,early,early_layers,23680,0,0.3464632601351351,0.20899493243243245,0.6147804054054054,nan,nan,0.9908867881356461
1,early,middle_layers,26048,0,0.2351332156019656,0.11528716216216216,0.5170838452088452,nan,nan,0.9854599622533604
1,early,late_layers,23680,0,0.27625105574324327,0.13454391891891893,0.5803631756756756,nan,nan,0.9860349450411426
1,middle,all,367040,62,0.4142470847863993,0.29615300784655624,0.672757737576286,0.9965206207731346,0.9032258064516129,0.990404934256314
1,middle,early_layers,118400,20,0.46809649493243244,0.34804898648648647,0.6992905405405405,0.9957444990620594,0.85,0.9929557331394706
1,middle,middle_layers,130240,22,0.3837866630835381,0.2733261670761671,0.6511133292383292,0.9959270624600958,0.9090909090909091,0.9897861064468906
1,middle,late_layers,118400,20,0.3939041385135135,0.2693665540540541,0.6700337837837838,0.997949656628552,0.95,0.9885348459635231
1,late,all,233120,403,0.4925006434454358,0.38033201784488674,0.7368436856554564,0.9973391785828748,0.890818858560794,0.9914494816631887
1,late,early_layers,75200,130,0.5487400265957447,0.43305851063829787,0.767061170212766,0.9973048404984282,0.8384615384615385,0.9943838964386823
1,late,middle_layers,82720,143,0.47022938829787236,0.3621735976789168,0.7273331721470019,0.9977436938232599,0.958041958041958,0.991786236985365
1,late,late_layers,75200,130,0.4607596409574468,0.34757978723404254,0.7170877659574468,0.9969285499028983,0.8692307692307693,0.988144636033301
2,all,all,607104,248,0.3514698470113852,0.23588215528146741,0.6108261516972381,0.99534638020729,0.8951612903225806,0.9873701455816745
2,all,early_layers,195840,80,0.39542164522058826,0.27217116013071896,0.6327767565359477,0.9949980203641495,0.875,0.9903095877561962
2,all,middle_layers,215424,88,0.32942650308229354,0.2220690359477124,0.5969297756981581,0.9953824213347828,0.9318181818181818,0.9877426134111428
2,all,late_layers,195840,80,0.331765727124183,0.2147875816993464,0.6041615604575163,0.9956550948101881,0.875,0.9840209887947375
2,early,all,71424,0,0.22387432795698925,0.10023241487455196,0.5027581765232975,nan,nan,0.984202422633914
2,early,early_layers,23040,0,0.27021484375,0.14036458333333332,0.535546875,nan,nan,0.9880125772440806
2,early,middle_layers,25344,0,0.18743588226010102,0.07666508838383838,0.4640151515151515,nan,nan,0.9831042593707227
2,early,late_layers,23040,0,0.21761610243055557,0.08602430555555556,0.5125868055555556,nan,nan,0.9816002476132578
