total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4691472927097493e-08,0.0028171855956315994,0.9999961256980896
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4691472927097493e-08,0.0028171855956315994,0.9999961256980896
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5458368807230727e-08,0.002815881511196494,0.9999960660934448
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5458368807230727e-08,0.002815881511196494,0.9999960660934448
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4202223397319358e-08,0.0028295156080275774,0.9999959468841553
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4202223397319358e-08,0.0028295156080275774,0.9999959468841553
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5609632697533016e-08,0.0028215518686920404,0.9999959468841553
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5609632697533016e-08,0.0028215518686920404,0.9999959468841553
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.491299705946858e-08,0.0028380020521581173,0.9999960660934448
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.491299705946858e-08,0.0028380020521581173,0.9999960660934448
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4882632015655872e-08,0.002836179453879595,0.9999959468841553
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4882632015655872e-08,0.002836179453879595,0.9999959468841553
128,64,0,high_variance,2.0,1,3,0.5,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.622268896994683e-08,0.002839216496795416,0.9999959468841553
128,64,0,high_variance,2.0,1,3,0.5,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.622268896994683e-08,0.002839216496795416,0.9999959468841553
256,1,63,uniform,256.0,256,256,0.0,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.5359564287109606e-08,0.002840370638296008,0.9999960064888
256,1,63,uniform,256.0,256,256,0.0,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.5359564287109606e-08,0.002840370638296008,0.9999960064888
256,2,62,uniform,128.0,128,128,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5048543744455856e-08,0.0028244596906006336,0.9999959468841553
256,2,62,uniform,128.0,128,128,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5048543744455856e-08,0.0028244596906006336,0.9999959468841553
256,2,62,high_variance,128.0,1,255,0.9921875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4824635741206293e-08,0.002804987598210573,0.9999960660934448
256,2,62,high_variance,128.0,1,255,0.9921875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4824635741206293e-08,0.002804987598210573,0.9999960660934448
256,4,60,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.552171546848058e-08,0.0028376791160553694,0.9999960064888
256,4,60,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.552171546848058e-08,0.0028376791160553694,0.9999960064888
256,4,60,high_variance,64.0,1,127,0.984375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4440683315797287e-08,0.0028360330034047365,0.9999960064888
256,4,60,high_variance,64.0,1,127,0.984375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4440683315797287e-08,0.0028360330034047365,0.9999960064888
256,8,56,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4152703897707397e-08,0.002802799455821514,0.9999961256980896
