total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,operation,repetition,latency_ms
64,8,56,high_variance,8.0,1,15,0.875,swiglu,0,0.031199999153614044
64,8,56,high_variance,8.0,1,15,0.875,swiglu,1,0.02566399984061718
64,8,56,high_variance,8.0,1,15,0.875,gate_up_active_prebuilt,0,0.07507199794054031
64,8,56,high_variance,8.0,1,15,0.875,gate_up_active_prebuilt,1,0.06969600170850754
64,8,56,high_variance,8.0,1,15,0.875,down_full64_prebuilt,0,0.05507199838757515
64,8,56,high_variance,8.0,1,15,0.875,down_full64_prebuilt,1,0.054496001452207565
64,8,56,high_variance,8.0,1,15,0.875,gate_up_full64_prebuilt,0,0.07171200215816498
64,8,56,high_variance,8.0,1,15,0.875,gate_up_full64_prebuilt,1,0.07100799679756165
64,8,56,high_variance,8.0,1,15,0.875,down_active_prebuilt,0,0.05820799991488457
64,8,56,high_variance,8.0,1,15,0.875,down_active_prebuilt,1,0.05369599908590317
64,8,56,high_variance,8.0,1,15,0.875,route_weight,0,0.014911999925971031
64,8,56,high_variance,8.0,1,15,0.875,route_weight,1,0.01616000011563301
64,16,48,uniform,4.0,4,4,0.0,swiglu,0,0.047968000173568726
64,16,48,uniform,4.0,4,4,0.0,swiglu,1,0.03612799942493439
64,16,48,uniform,4.0,4,4,0.0,down_active_prebuilt,0,0.0992640033364296
64,16,48,uniform,4.0,4,4,0.0,down_active_prebuilt,1,0.09894400089979172
64,16,48,uniform,4.0,4,4,0.0,route_weight,0,0.029120000079274178
64,16,48,uniform,4.0,4,4,0.0,route_weight,1,0.03276799991726875
64,16,48,uniform,4.0,4,4,0.0,down_full64_prebuilt,0,0.09465599805116653
64,16,48,uniform,4.0,4,4,0.0,down_full64_prebuilt,1,0.08345600217580795
64,16,48,uniform,4.0,4,4,0.0,gate_up_full64_prebuilt,0,0.11999999731779099
64,16,48,uniform,4.0,4,4,0.0,gate_up_full64_prebuilt,1,0.12031999975442886
64,16,48,uniform,4.0,4,4,0.0,gate_up_active_prebuilt,0,0.12060800194740295
64,16,48,uniform,4.0,4,4,0.0,gate_up_active_prebuilt,1,0.11993599683046341
64,16,48,high_variance,4.0,1,7,0.75,down_full64_prebuilt,0,0.09132800251245499
64,16,48,high_variance,4.0,1,7,0.75,down_full64_prebuilt,1,0.08876799792051315
64,16,48,high_variance,4.0,1,7,0.75,swiglu,0,0.034752000123262405
64,16,48,high_variance,4.0,1,7,0.75,swiglu,1,0.027103999629616737
64,16,48,high_variance,4.0,1,7,0.75,gate_up_active_prebuilt,0,0.1395840048789978
64,16,48,high_variance,4.0,1,7,0.75,gate_up_active_prebuilt,1,0.1196800023317337
64,16,48,high_variance,4.0,1,7,0.75,route_weight,0,0.016416000202298164
64,16,48,high_variance,4.0,1,7,0.75,route_weight,1,0.014399999752640724
64,16,48,high_variance,4.0,1,7,0.75,down_active_prebuilt,0,0.08531200140714645
64,16,48,high_variance,4.0,1,7,0.75,down_active_prebuilt,1,0.08323200047016144
64,16,48,high_variance,4.0,1,7,0.75,gate_up_full64_prebuilt,0,0.11852800101041794
64,16,48,high_variance,4.0,1,7,0.75,gate_up_full64_prebuilt,1,0.1181119978427887
64,32,32,uniform,2.0,2,2,0.0,gate_up_active_prebuilt,0,0.22064000368118286
64,32,32,uniform,2.0,2,2,0.0,gate_up_active_prebuilt,1,0.22275200486183167
64,32,32,uniform,2.0,2,2,0.0,down_active_prebuilt,0,0.147039994597435
64,32,32,uniform,2.0,2,2,0.0,down_active_prebuilt,1,0.14556799829006195
64,32,32,uniform,2.0,2,2,0.0,swiglu,0,0.023744000121951103
64,32,32,uniform,2.0,2,2,0.0,swiglu,1,0.02454400062561035
64,32,32,uniform,2.0,2,2,0.0,gate_up_full64_prebuilt,0,0.21251200139522552
64,32,32,uniform,2.0,2,2,0.0,gate_up_full64_prebuilt,1,0.21129600703716278
64,32,32,uniform,2.0,2,2,0.0,down_full64_prebuilt,0,0.14230400323867798
64,32,32,uniform,2.0,2,2,0.0,down_full64_prebuilt,1,0.14246399700641632
64,32,32,uniform,2.0,2,2,0.0,route_weight,0,0.015647999942302704
64,32,32,uniform,2.0,2,2,0.0,route_weight,1,0.01532800029963255
64,32,32,high_variance,2.0,1,3,0.5,down_full64_prebuilt,0,0.15583999454975128
64,32,32,high_variance,2.0,1,3,0.5,down_full64_prebuilt,1,0.14748799800872803
64,32,32,high_variance,2.0,1,3,0.5,gate_up_full64_prebuilt,0,0.2221119999885559
64,32,32,high_variance,2.0,1,3,0.5,gate_up_full64_prebuilt,1,0.22115199267864227
64,32,32,high_variance,2.0,1,3,0.5,down_active_prebuilt,0,0.1462080031633377
64,32,32,high_variance,2.0,1,3,0.5,down_active_prebuilt,1,0.1435839980840683
64,32,32,high_variance,2.0,1,3,0.5,gate_up_active_prebuilt,0,0.2221439927816391
64,32,32,high_variance,2.0,1,3,0.5,gate_up_active_prebuilt,1,0.2210880070924759
64,32,32,high_variance,2.0,1,3,0.5,route_weight,0,0.02163200080394745
64,32,32,high_variance,2.0,1,3,0.5,route_weight,1,0.017343999817967415
64,32,32,high_variance,2.0,1,3,0.5,swiglu,0,0.03206399828195572
