case_id,rank,M,fanout,wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,correctness
balanced_fanout_F1_M128,0,128,1,1.5876480340957642,0.03254399821162224,0.1675520008429885,0.45840001106262207,0.16659200191497803,True
balanced_fanout_F2_M128,0,128,2,1.523584008216858,0.026688000187277794,0.16179199423640966,0.4367680549621582,0.15721595287322998,True
balanced_fanout_F4_M128,0,128,4,2.0556800365448,0.027135999873280525,0.16892800573259592,0.9025920033454895,0.10659205913543701,True
balanced_fanout_F1_M512,0,512,1,2.0889599323272705,0.02953599952161312,0.17286400496959686,0.9974080324172974,0.1469118595123291,True
balanced_fanout_F2_M512,0,512,2,1.7919679880142212,0.026784000918269157,0.18591999541968107,0.6827520132064819,0.6656320095062256,True
balanced_fanout_F4_M512,0,512,4,1.7894400358200073,0.027648000046610832,0.20447999332100153,0.6760640144348145,0.7390719652175903,True
balanced_fanout_F1_M128,1,128,1,1.5804799795150757,0.03206399828195572,0.16275199595838785,0.4583360552787781,0.12639999389648438,True
balanced_fanout_F2_M128,1,128,2,1.5338239669799805,0.02518399991095066,0.17068799305707216,0.45078396797180176,0.09449589252471924,True
balanced_fanout_F4_M128,1,128,4,2.084223985671997,0.024512000381946564,0.19779200199991465,0.906495988368988,0.1776961088180542,True
balanced_fanout_F1_M512,1,512,1,2.1057279109954834,0.027744000777602196,0.19379200134426355,0.8673599362373352,0.19395196437835693,True
balanced_fanout_F2_M512,1,512,2,1.8063679933547974,0.028543999418616295,0.19833600241690874,0.8659520149230957,0.09616005420684814,True
balanced_fanout_F4_M512,1,512,4,1.8081599473953247,0.02521600015461445,0.2216640068218112,0.8313600420951843,0.17295992374420166,True
balanced_fanout_F1_M128,2,128,1,1.5831999778747559,0.030912000685930252,0.18745600152760744,0.44944000244140625,0.11811196804046631,True
balanced_fanout_F2_M128,2,128,2,1.5477440357208252,0.02611199952661991,0.17894399538636208,0.4362559914588928,0.14060795307159424,True
balanced_fanout_F4_M128,2,128,4,2.093183994293213,0.02412799932062626,0.2042559990659356,0.9761919379234314,0.12489604949951172,True
balanced_fanout_F1_M512,2,512,1,2.095679998397827,0.02659199945628643,0.187711994163692,0.9911680221557617,0.14384007453918457,True
balanced_fanout_F2_M512,2,512,2,1.8019839525222778,0.028511999174952507,0.2058240044862032,0.8201600313186646,0.15488004684448242,True
balanced_fanout_F4_M512,2,512,4,1.793023943901062,0.025439999997615814,0.21651200205087662,0.8137920498847961,0.13075196743011475,True
balanced_fanout_F1_M128,3,128,1,1.6238720417022705,0.03001599945127964,0.2018240001052618,0.45036792755126953,0.13846397399902344,True
balanced_fanout_F2_M128,3,128,2,1.5711359977722168,0.02518399991095066,0.20457599591463804,0.42742401361465454,0.1953279972076416,True
balanced_fanout_F4_M128,3,128,4,2.110368013381958,0.023520000278949738,0.22179199568927288,0.87472003698349,0.19308793544769287,True
balanced_fanout_F1_M512,3,512,1,2.153503894805908,0.027168000116944313,0.22575999796390533,0.9903680086135864,0.12268805503845215,True
balanced_fanout_F2_M512,3,512,2,1.8301119804382324,0.02783999964594841,0.23878400772809982,0.843328058719635,0.19830405712127686,True
balanced_fanout_F4_M512,3,512,4,1.8332799673080444,0.024320000782608986,0.2530559962615371,0.8347199559211731,0.15452790260314941,True
