task,plan,repeat,schedule_barrier,policy,block_schedule,dynamic_seconds,dynamic_accuracy,dynamic_nfe,global_fastest_seconds,latency_only_gain_vs_global_fixed_percent,quality_safe_fixed_available,quality_matched_fixed_block,quality_matched_fixed_mini,quality_matched_fixed_threshold,quality_matched_fixed_seconds,quality_matched_fixed_accuracy,quality_matched_gain_vs_global_fixed_percent,evidence
gsm8k,dynamic_core,1,False,16_32,"[16,32]",18.601152896881104,0.4375,230,8.416436672210693,-121.0098361257586,True,64,16,0.85,11.136208057403564,0.4375,-67.03309421841037,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,1,False,16_64_32,"[16,64,32]",35.92218255996704,0.40625,424,8.416436672210693,-326.8098716713992,True,32,32,0.9,8.416436672210693,0.40625,-326.8098716713992,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,1,False,32_16,"[32,16]",21.348636627197266,0.40625,243,8.416436672210693,-153.65409921856812,True,32,32,0.9,8.416436672210693,0.40625,-153.65409921856812,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,1,False,32_64,"[32,64]",20.271151781082153,0.34375,244,8.416436672210693,-140.85194923420786,True,32,32,0.9,8.416436672210693,0.40625,-140.85194923420786,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,1,False,64_16_32,"[64,16,32]",22.066125631332397,0.34375,276,8.416436672210693,-162.17895400068903,True,32,32,0.9,8.416436672210693,0.40625,-162.17895400068903,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,1,False,64_32,"[64,32]",19.198559284210205,0.4375,226,8.416436672210693,-128.10792775997254,True,64,16,0.85,11.136208057403564,0.4375,-72.39763468182184,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,5,True,16_32,"[16,32]",16.954930543899536,0.375,181,8.416436672210693,-101.45022417718839,True,32,32,0.9,8.416436672210693,0.40625,-101.45022417718839,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,5,True,16_64_32,"[16,64,32]",17.457987070083618,0.375,197,8.416436672210693,-107.4272967291042,True,32,32,0.9,8.416436672210693,0.40625,-107.4272967291042,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,5,True,32_16,"[32,16]",17.510313034057617,0.40625,183,8.416436672210693,-108.04900833951491,True,32,32,0.9,8.416436672210693,0.40625,-108.04900833951491,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,5,True,32_64,"[32,64]",16.964221239089966,0.375,184,8.416436672210693,-101.5606116909578,True,32,32,0.9,8.416436672210693,0.40625,-101.5606116909578,clean actual trajectory versus all measured fixed-B/mini/threshold points
gsm8k,dynamic_core,5,True,64_16_32,"[64,16,32]",16.613215684890747,0.4375,192,8.416436672210693,-97.3901347080065,True,64,16,0.85,11.136208057403564,0.4375,-49.181980071268185,clean actual trajectory versus all measured fixed-B/mini/threshold points
