task,block_length,requests,answer_string_exact,answer_string_exact_rate,generated_length_exact,generated_length_exact_rate,static_source,schedule_source,interpretation
gsm8k,32,32,32,1.0,32,1.0,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B32_m32_g128_t0.9_L256_r6,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_gsm8k_n32_m32_L256_t0.9_r1/policy_fixed32.json,fixed-schedule negative control; exact answer equality
gsm8k,64,32,32,1.0,32,1.0,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m32_g128_t0.9_L256_r6,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_gsm8k_n32_m32_L256_t0.9_r1/policy_fixed64.json,fixed-schedule negative control; exact answer equality
humaneval,32,32,32,1.0,32,1.0,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B32_m16_g128_t0.9_L384_r6,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1/policy_fixed32.json,fixed-schedule negative control; exact answer equality
humaneval,64,32,32,1.0,32,1.0,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B64_m16_g128_t0.9_L384_r6,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1/policy_fixed64.json,fixed-schedule negative control; exact answer equality
