task,block_length,x,y,spearman_rho,observations
humaneval,16,live_ratio,dispatch_bytes_bf16,0.13438014674716256,143
humaneval,16,live_ratio,attention_critical_ms,-0.010208626483044768,143
humaneval,16,live_ratio,dispatch_critical_ms,0.14476177155781997,143
humaneval,16,live_ratio,expert_critical_ms,0.033669585334609856,143
humaneval,16,live_ratio,combine_critical_ms,0.17508920676839804,143
humaneval,32,live_ratio,model_forward_ms,0.3800991893272837,110
humaneval,32,live_ratio,active_experts,0.17133086280516538,110
humaneval,32,live_ratio,rows_per_active_expert_mean,0.44600991986574545,110
humaneval,32,live_ratio,tiny_expert_fraction_le4,-0.2619116326999331,110
humaneval,32,live_ratio,rank_load_cv,-0.1829936884256849,110
humaneval,32,live_ratio,rank_fanout_mean,0.16987269823878354,110
humaneval,32,live_ratio,remote_fraction,0.11408559303151682,110
humaneval,32,live_ratio,dispatch_bytes_bf16,0.3263059185579452,110
humaneval,32,live_ratio,attention_critical_ms,-0.021366143792600007,110
humaneval,32,live_ratio,dispatch_critical_ms,0.36103246250279813,110
humaneval,32,live_ratio,expert_critical_ms,0.23903967592986564,110
humaneval,32,live_ratio,combine_critical_ms,0.3098557265877505,110
humaneval,64,live_ratio,model_forward_ms,0.5145991704438349,131
humaneval,64,live_ratio,active_experts,0.28609028688896376,131
humaneval,64,live_ratio,rows_per_active_expert_mean,0.6743258328622961,131
humaneval,64,live_ratio,tiny_expert_fraction_le4,-0.5061320931151916,131
humaneval,64,live_ratio,rank_load_cv,-0.375674504753658,131
humaneval,64,live_ratio,rank_fanout_mean,0.4529953913367391,131
humaneval,64,live_ratio,remote_fraction,-0.17121376155517112,131
humaneval,64,live_ratio,dispatch_bytes_bf16,0.4976643009319869,131
humaneval,64,live_ratio,attention_critical_ms,0.09870070974272235,131
humaneval,64,live_ratio,dispatch_critical_ms,0.5228713875439187,131
humaneval,64,live_ratio,expert_critical_ms,0.4235727505245204,131
humaneval,64,live_ratio,combine_critical_ms,0.24457094138785834,131
humaneval,128,live_ratio,model_forward_ms,0.7647313818517373,94
humaneval,128,live_ratio,active_experts,0.36284154732832485,94
humaneval,128,live_ratio,rows_per_active_expert_mean,0.8517108345207822,94
humaneval,128,live_ratio,tiny_expert_fraction_le4,-0.31330375986320563,94
humaneval,128,live_ratio,rank_load_cv,0.46047308047691476,94
humaneval,128,live_ratio,rank_fanout_mean,0.40786431617277213,94
humaneval,128,live_ratio,remote_fraction,0.29138850356231316,94
humaneval,128,live_ratio,dispatch_bytes_bf16,0.7797738602905634,94
humaneval,128,live_ratio,attention_critical_ms,-0.5894214375860696,94
humaneval,128,live_ratio,dispatch_critical_ms,0.7926697109049141,94
humaneval,128,live_ratio,expert_critical_ms,0.6933575125172831,94
humaneval,128,live_ratio,combine_critical_ms,0.6643426872063034,94
