task,search,baseline_policy,baseline_seconds,baseline_score,candidate_policy,candidate_seconds,candidate_score,gain_percent,decision
gsm8k,56_actual_trajectories,32_32_32_32,8.199750185012817,5/8,32_32_32_16_16,10.595595836639404,5/8,-29.21852004717924,FAIL
humaneval,56_actual_trajectories,128,7.575987100601196,3/8,32_32_16_32_16,11.447385787963867,3/8,-51.10091445450659,FAIL
