start,end,wall_seconds,gpu_count,gpu_hours,stage,run,status

2026-09-14T00:35:30+09:00,2026-09-14T00:36:06+09:00,36,4,0.04,static,native_gsm8k_n8_B32_m8_g128_t0.9_r1,failed_rc0
2026-09-14T00:36:23+09:00,2026-09-14T00:37:45+09:00,82,4,0.09111111111111111,static,native_gsm8k_n8_B32_m8_g128_t0.9_r2,ok
2026-09-14T00:39:59+09:00,2026-09-14T00:41:21+09:00,82,4,0.09111111111111111,static,native_gsm8k_n8_B64_m8_g128_t0.9_r1,ok
2026-09-14T00:41:21+09:00,2026-09-14T00:42:46+09:00,85,4,0.09444444444444444,static,native_gsm8k_n8_B16_m8_g128_t0.9_r1,ok
2026-09-14T00:42:47+09:00,2026-09-14T00:44:06+09:00,79,4,0.08777777777777777,static,native_gsm8k_n8_B128_m8_g128_t0.9_r1,ok
2026-09-14T00:44:06+09:00,2026-09-14T00:45:37+09:00,91,4,0.10111111111111111,static,native_gsm8k_n8_B8_m8_g128_t0.9_r1,ok
2026-09-14T00:46:10+09:00,2026-09-14T00:47:29+09:00,79,4,0.08777777777777777,static,native_humaneval_n8_B32_m8_g128_t0.9_r1,ok
2026-09-14T00:47:31+09:00,2026-09-14T00:48:45+09:00,74,4,0.08222222222222222,static,native_humaneval_n8_B128_m8_g128_t0.9_r1,ok
2026-09-14T00:48:46+09:00,2026-09-14T00:50:10+09:00,84,4,0.09333333333333334,static,native_humaneval_n8_B16_m8_g128_t0.9_r1,ok
2026-09-14T00:50:11+09:00,2026-09-14T00:51:26+09:00,75,4,0.08333333333333333,static,native_humaneval_n8_B64_m8_g128_t0.9_r1,ok
2026-09-14T00:51:27+09:00,2026-09-14T00:52:57+09:00,90,4,0.1,static,native_humaneval_n8_B8_m8_g128_t0.9_r1,ok
2026-09-14T00:53:20+09:00,2026-09-14T00:54:53+09:00,93,4,0.10333333333333333,static,fixedmini_gsm8k_n32_B64_m8_g128_t0.9_r1,ok
2026-09-14T00:54:53+09:00,2026-09-14T00:56:34+09:00,101,4,0.11222222222222222,static,fixedmini_gsm8k_n32_B16_m8_g128_t0.9_r1,ok
2026-09-14T00:56:34+09:00,2026-09-14T00:58:09+09:00,95,4,0.10555555555555556,static,fixedmini_gsm8k_n32_B128_m8_g128_t0.9_r1,ok
2026-09-14T00:58:09+09:00,2026-09-14T00:59:49+09:00,100,4,0.1111111111111111,static,fixedmini_gsm8k_n32_B32_m8_g128_t0.9_r1,ok
2026-09-14T00:59:49+09:00,2026-09-14T01:01:37+09:00,108,4,0.12,static,fixedmini_gsm8k_n32_B8_m8_g128_t0.9_r1,ok
2026-09-14T01:01:37+09:00,2026-09-14T01:03:03+09:00,86,4,0.09555555555555556,static,fixedmini_humaneval_n32_B64_m8_g128_t0.9_r1,ok
2026-09-14T01:03:05+09:00,2026-09-14T01:04:42+09:00,97,4,0.10777777777777778,static,fixedmini_humaneval_n32_B16_m8_g128_t0.9_r1,ok
2026-09-14T01:06:33+09:00,2026-09-14T01:08:09+09:00,96,4,0.10666666666666667,static,fixedmini_humaneval_n32_B32_m8_g128_t0.9_r1,ok
2026-09-14T01:08:16+09:00,2026-09-14T01:10:02+09:00,106,4,0.11777777777777777,static,fixedmini_humaneval_n32_B8_m8_g128_t0.9_r1,ok
2026-09-14T01:10:39+09:00,2026-09-14T01:12:09+09:00,90,4,0.1,static,matched_gsm8k_n32_B128_m8_g128_t0.9_L256_r1,ok
2026-09-14T01:12:09+09:00,2026-09-14T01:13:45+09:00,96,4,0.10666666666666667,static,matched_gsm8k_n32_B32_m8_g128_t0.9_L256_r1,ok
2026-09-14T01:13:46+09:00,2026-09-14T01:15:34+09:00,108,4,0.12,static,matched_gsm8k_n32_B8_m8_g128_t0.9_L256_r1,ok
2026-09-14T01:15:34+09:00,2026-09-14T01:17:03+09:00,89,4,0.09888888888888889,static,matched_gsm8k_n32_B64_m8_g128_t0.9_L256_r1,ok
2026-09-14T01:17:03+09:00,2026-09-14T01:18:43+09:00,100,4,0.1111111111111111,static,matched_gsm8k_n32_B16_m8_g128_t0.9_L256_r1,ok
2026-09-14T01:18:43+09:00,2026-09-14T01:20:14+09:00,91,4,0.10111111111111111,static,matched_humaneval_n32_B128_m8_g128_t0.9_L384_r1,ok
2026-09-14T01:20:17+09:00,2026-09-14T01:22:00+09:00,103,4,0.11444444444444445,static,matched_humaneval_n32_B32_m8_g128_t0.9_L384_r1,ok
2026-09-14T01:22:03+09:00,2026-09-14T01:23:58+09:00,115,4,0.12777777777777777,static,matched_humaneval_n32_B8_m8_g128_t0.9_L384_r1,ok
2026-09-14T01:24:01+09:00,2026-09-14T01:25:31+09:00,90,4,0.1,static,matched_humaneval_n32_B64_m8_g128_t0.9_L384_r1,ok
2026-09-14T01:25:34+09:00,2026-09-14T01:27:16+09:00,102,4,0.11333333333333333,static,matched_humaneval_n32_B16_m8_g128_t0.9_L384_r1,ok
2026-09-14T01:32:23+09:00,2026-09-14T01:34:21+09:00,118,4,0.13111111111111112,schedule,schedule_schedule_smoke_gsm8k_n8_m8_L256_t0.9_r1,ok
2026-09-14T01:35:02+09:00,2026-09-14T01:36:27+09:00,85,4,0.09444444444444444,static,frontier_gsm8k_n32_B32_m32_g128_t0.9_L256_r1,ok
2026-09-14T01:36:27+09:00,2026-09-14T01:37:56+09:00,89,4,0.09888888888888889,static,frontier_gsm8k_n32_B8_m32_g128_t0.9_L256_r1,failed_rc127
2026-09-14T01:39:26+09:00,2026-09-14T01:40:55+09:00,89,4,0.09888888888888889,static,frontier_gsm8k_n32_B8_m32_g128_t0.9_L256_r2,ok
2026-09-14T01:40:56+09:00,2026-09-14T01:42:22+09:00,86,4,0.09555555555555556,static,frontier_gsm8k_n32_B64_m16_g128_t0.9_L256_r2,ok
2026-09-14T01:42:23+09:00,2026-09-14T01:43:51+09:00,88,4,0.09777777777777778,static,frontier_gsm8k_n32_B16_m32_g128_t0.9_L256_r2,ok
2026-09-14T01:43:51+09:00,2026-09-14T01:45:45+09:00,114,4,0.12666666666666668,static,frontier_gsm8k_n32_B128_m4_g128_t0.9_L256_r2,ok
2026-09-14T01:45:45+09:00,2026-09-14T01:47:13+09:00,88,4,0.09777777777777778,static,frontier_gsm8k_n32_B32_m16_g128_t0.9_L256_r2,ok
2026-09-14T01:47:13+09:00,2026-09-14T01:48:45+09:00,92,4,0.10222222222222223,static,frontier_gsm8k_n32_B8_m16_g128_t0.9_L256_r2,ok
2026-09-14T01:48:45+09:00,2026-09-14T01:50:37+09:00,112,4,0.12444444444444444,static,frontier_gsm8k_n32_B64_m4_g128_t0.9_L256_r2,ok
2026-09-14T01:50:37+09:00,2026-09-14T01:52:07+09:00,90,4,0.1,static,frontier_gsm8k_n32_B16_m16_g128_t0.9_L256_r2,ok
2026-09-14T01:52:07+09:00,2026-09-14T01:54:50+09:00,163,4,0.1811111111111111,static,frontier_gsm8k_n32_B128_m2_g128_t0.9_L256_r2,ok
2026-09-14T01:54:51+09:00,2026-09-14T01:56:18+09:00,87,4,0.09666666666666666,static,frontier_humaneval_n32_B32_m32_g128_t0.9_L384_r2,failed_rc0
2026-09-14T01:57:00+09:00,2026-09-14T01:59:27+09:00,147,4,0.16333333333333333,static,frontier_humaneval_n32_B32_m32_g128_t0.9_L384_r3,failed_rc143
2026-09-14T02:00:03+09:00,2026-09-14T02:01:33+09:00,90,4,0.1,static,frontier_humaneval_n32_B8_m32_g128_t0.9_L384_r4,failed_rc0
2026-09-14T02:01:58+09:00,2026-09-14T02:03:41+09:00,103,4,0.11444444444444445,static,frontier_humaneval_n32_B8_m16_g128_t0.9_L384_r5,ok
2026-09-14T02:03:44+09:00,2026-09-14T02:05:25+09:00,101,4,0.11222222222222222,static,frontier_humaneval_n32_B16_m16_g128_t0.9_L384_r5,ok
2026-09-14T02:05:28+09:00,2026-09-14T02:07:01+09:00,93,4,0.10333333333333333,static,frontier_humaneval_n32_B32_m16_g128_t0.9_L384_r5,ok
2026-09-14T02:07:03+09:00,2026-09-14T02:08:37+09:00,94,4,0.10444444444444445,static,frontier_humaneval_n32_B64_m16_g128_t0.9_L384_r5,ok
2026-09-14T02:08:39+09:00,2026-09-14T02:10:02+09:00,83,4,0.09222222222222222,static,frontier_gsm8k_n32_B64_m32_g128_t0.9_L256_r5,ok
2026-09-14T02:10:02+09:00,2026-09-14T02:11:31+09:00,89,4,0.09888888888888889,static,frontier_gsm8k_n32_B128_m16_g128_t0.9_L256_r5,ok
2026-09-14T02:12:14+09:00,2026-09-14T02:13:45+09:00,91,4,0.10111111111111111,static,effort_gsm8k_n8_B8_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:13:45+09:00,2026-09-14T02:15:11+09:00,86,4,0.09555555555555556,static,effort_gsm8k_n8_B16_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:15:11+09:00,2026-09-14T02:16:36+09:00,85,4,0.09444444444444444,static,effort_gsm8k_n8_B32_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:16:37+09:00,2026-09-14T02:17:54+09:00,77,4,0.08555555555555555,static,effort_gsm8k_n8_B64_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:17:54+09:00,2026-09-14T02:19:13+09:00,79,4,0.08777777777777777,static,effort_gsm8k_n8_B128_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:19:14+09:00,2026-09-14T02:20:45+09:00,91,4,0.10111111111111111,static,effort_humaneval_n8_B8_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:20:46+09:00,2026-09-14T02:22:15+09:00,89,4,0.09888888888888889,static,effort_humaneval_n8_B16_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:22:16+09:00,2026-09-14T02:23:42+09:00,86,4,0.09555555555555556,static,effort_humaneval_n8_B32_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:23:43+09:00,2026-09-14T02:25:05+09:00,82,4,0.09111111111111111,static,effort_humaneval_n8_B64_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:25:06+09:00,2026-09-14T02:26:23+09:00,77,4,0.08555555555555555,static,effort_humaneval_n8_B128_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:27:05+09:00,2026-09-14T02:28:38+09:00,93,4,0.10333333333333333,static,effortnoeos_gsm8k_n8_B8_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:28:38+09:00,2026-09-14T02:30:04+09:00,86,4,0.09555555555555556,static,effortnoeos_gsm8k_n8_B16_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:30:05+09:00,2026-09-14T02:31:30+09:00,85,4,0.09444444444444444,static,effortnoeos_gsm8k_n8_B32_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:31:30+09:00,2026-09-14T02:32:49+09:00,79,4,0.08777777777777777,static,effortnoeos_gsm8k_n8_B64_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:32:49+09:00,2026-09-14T02:34:09+09:00,80,4,0.08888888888888889,static,effortnoeos_gsm8k_n8_B128_m8_g128_t1.0_L256_r1,ok
2026-09-14T02:34:09+09:00,2026-09-14T02:35:44+09:00,95,4,0.10555555555555556,static,effortnoeos_humaneval_n8_B8_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:35:45+09:00,2026-09-14T02:37:14+09:00,89,4,0.09888888888888889,static,effortnoeos_humaneval_n8_B16_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:37:14+09:00,2026-09-14T02:38:43+09:00,89,4,0.09888888888888889,static,effortnoeos_humaneval_n8_B32_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:38:43+09:00,2026-09-14T02:40:04+09:00,81,4,0.09,static,effortnoeos_humaneval_n8_B64_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:40:04+09:00,2026-09-14T02:41:23+09:00,79,4,0.08777777777777777,static,effortnoeos_humaneval_n8_B128_m8_g128_t1.0_L384_r1,ok
2026-09-14T02:41:40+09:00,2026-09-14T02:43:08+09:00,88,4,0.09777777777777778,static,replicate_gsm8k_n32_B32_m32_g128_t0.9_L256_r6,ok
2026-09-14T02:43:08+09:00,2026-09-14T02:44:32+09:00,84,4,0.09333333333333334,static,replicate_humaneval_n32_B64_m16_g128_t0.9_L384_r6,ok
2026-09-14T02:44:35+09:00,2026-09-14T02:46:03+09:00,88,4,0.09777777777777778,static,replicate_gsm8k_n32_B64_m16_g128_t0.9_L256_r6,ok
2026-09-14T02:46:03+09:00,2026-09-14T02:47:36+09:00,93,4,0.10333333333333333,static,replicate_humaneval_n32_B128_m8_g128_t0.9_L384_r6,ok
2026-09-14T02:47:39+09:00,2026-09-14T02:48:59+09:00,80,4,0.08888888888888889,static,replicate_gsm8k_n32_B64_m32_g128_t0.9_L256_r6,ok
2026-09-14T02:49:00+09:00,2026-09-14T02:50:38+09:00,98,4,0.10888888888888888,static,replicate_humaneval_n32_B32_m16_g128_t0.9_L384_r6,ok
2026-09-14T02:50:41+09:00,2026-09-14T02:52:15+09:00,94,4,0.10444444444444445,static,replicate_gsm8k_n32_B8_m32_g128_t0.9_L256_r6,ok
2026-09-14T02:52:15+09:00,2026-09-14T02:53:56+09:00,101,4,0.11222222222222222,static,replicate_humaneval_n32_B8_m16_g128_t0.9_L384_r6,ok
2026-09-14T02:53:58+09:00,2026-09-14T02:55:26+09:00,88,4,0.09777777777777778,static,replicate_gsm8k_n32_B128_m16_g128_t0.9_L256_r6,ok
2026-09-14T02:55:27+09:00,2026-09-14T02:57:02+09:00,95,4,0.10555555555555556,static,replicate_humaneval_n32_B16_m16_g128_t0.9_L384_r6,ok
2026-09-14T02:57:05+09:00,2026-09-14T02:58:35+09:00,90,4,0.1,static,replicate_gsm8k_n32_B32_m32_g128_t0.9_L256_r7,ok
2026-09-14T02:58:36+09:00,2026-09-14T03:00:02+09:00,86,4,0.09555555555555556,static,replicate_humaneval_n32_B64_m16_g128_t0.9_L384_r7,ok
2026-09-14T03:00:05+09:00,2026-09-14T03:01:29+09:00,84,4,0.09333333333333334,static,replicate_gsm8k_n32_B64_m16_g128_t0.9_L256_r7,ok
2026-09-14T03:01:29+09:00,2026-09-14T03:03:00+09:00,91,4,0.10111111111111111,static,replicate_humaneval_n32_B128_m8_g128_t0.9_L384_r7,ok
2026-09-14T03:03:02+09:00,2026-09-14T03:04:27+09:00,85,4,0.09444444444444444,static,replicate_gsm8k_n32_B64_m32_g128_t0.9_L256_r7,ok
2026-09-14T03:04:27+09:00,2026-09-14T03:06:02+09:00,95,4,0.10555555555555556,static,replicate_humaneval_n32_B32_m16_g128_t0.9_L384_r7,ok
2026-09-14T03:06:05+09:00,2026-09-14T03:07:38+09:00,93,4,0.10333333333333333,static,replicate_gsm8k_n32_B8_m32_g128_t0.9_L256_r7,ok
2026-09-14T03:07:38+09:00,2026-09-14T03:09:21+09:00,103,4,0.11444444444444445,static,replicate_humaneval_n32_B8_m16_g128_t0.9_L384_r7,ok
2026-09-14T03:09:24+09:00,2026-09-14T03:10:53+09:00,89,4,0.09888888888888889,static,replicate_gsm8k_n32_B128_m16_g128_t0.9_L256_r7,ok
2026-09-14T03:10:53+09:00,2026-09-14T03:12:27+09:00,94,4,0.10444444444444445,static,replicate_humaneval_n32_B16_m16_g128_t0.9_L384_r7,ok
2026-09-14T03:12:40+09:00,2026-09-14T03:14:30+09:00,110,4,0.12222222222222222,static,matchedeffort_gsm8k_n8_B8_m8_g128_t1.0_L256_r2,ok
2026-09-14T03:14:31+09:00,2026-09-14T03:16:11+09:00,100,4,0.1111111111111111,static,matchedeffort_gsm8k_n8_B16_m8_g128_t1.0_L256_r2,ok
2026-09-14T03:16:12+09:00,2026-09-14T03:17:48+09:00,96,4,0.10666666666666667,static,matchedeffort_gsm8k_n8_B32_m8_g128_t1.0_L256_r2,ok
2026-09-14T03:17:49+09:00,2026-09-14T03:19:25+09:00,96,4,0.10666666666666667,static,matchedeffort_gsm8k_n8_B64_m8_g128_t1.0_L256_r2,ok
2026-09-14T03:19:25+09:00,2026-09-14T03:21:03+09:00,98,4,0.10888888888888888,static,matchedeffort_gsm8k_n8_B128_m8_g128_t1.0_L256_r2,ok
2026-09-14T03:21:04+09:00,2026-09-14T03:22:56+09:00,112,4,0.12444444444444444,static,matchedeffort_humaneval_n8_B8_m8_g128_t1.0_L384_r2,ok
2026-09-14T03:22:57+09:00,2026-09-14T03:24:35+09:00,98,4,0.10888888888888888,static,matchedeffort_humaneval_n8_B16_m8_g128_t1.0_L384_r2,ok
2026-09-14T03:24:37+09:00,2026-09-14T03:26:14+09:00,96,4,0.10666666666666667,static,matchedeffort_humaneval_n8_B32_m8_g128_t1.0_L384_r2,ok
2026-09-14T03:26:15+09:00,2026-09-14T03:27:48+09:00,93,4,0.10333333333333333,static,matchedeffort_humaneval_n8_B64_m8_g128_t1.0_L384_r2,ok
