plan,task,n,mini,target,threshold,repeat,barrier,schedule_barrier,policy,block_schedule,fixed,model_seconds,elapsed_seconds,nfe,generated_tokens,correct,total,accuracy,passing_ids,evidence,result_dir
dynamic_core,gsm8k,32,32,256,0.9,5,barrier1,True,fixed16,[16],True,16.63862419128418,16.643033981323242,184,5232,12,32,0.375,"[0,1,3,4,6,16,18,21,22,23,24,28]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_gsm8k_n32_m32_L256_t0.9_r5_barrier1
dynamic_core,gsm8k,32,32,256,0.9,5,barrier1,True,fixed32,[32],True,14.84148097038269,14.844911813735962,170,5216,13,32,0.40625,"[0,1,3,4,6,16,18,20,21,22,23,24,28]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_gsm8k_n32_m32_L256_t0.9_r5_barrier1
dynamic_core,gsm8k,32,32,256,0.9,5,barrier1,True,fixed64,[64],True,16.744624853134155,16.74854803085327,181,5182,12,32,0.375,"[0,1,3,4,6,11,16,18,21,22,23,28]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_gsm8k_n32_m32_L256_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,1,,False,16_32,"[16,32]",False,22.16739583015442,22.170965671539307,260,7700,17,32,0.53125,"[2,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,1,,False,16_64_32,"[16,64,32]",False,36.61797118186951,36.62134647369385,426,7506,18,32,0.5625,"[2,4,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,1,,False,32_16,"[32,16]",False,27.17788076400757,27.181382417678833,314,7754,18,32,0.5625,"[2,4,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,1,,False,32_64,"[32,64]",False,27.696933269500732,27.70052671432495,332,7479,18,32,0.5625,"[2,4,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,1,,False,64_16_32,"[64,16,32]",False,29.475584983825684,29.47878074645996,355,7607,18,32,0.5625,"[2,4,7,8,12,13,14,15,16,22,23,24,25,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,1,,False,64_32,"[64,32]",False,23.276455879211426,23.28031826019287,276,7662,18,32,0.5625,"[2,4,7,8,12,13,14,15,16,22,23,24,25,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,1,,False,fixed16,[16],True,17.82229232788086,17.826735496520996,189,7694,17,32,0.53125,"[2,4,7,8,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,1,,False,fixed32,[32],True,17.862908840179443,17.866687774658203,200,7679,17,32,0.53125,"[2,4,7,8,11,12,13,14,15,16,22,23,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,1,,False,fixed64,[64],True,15.194578886032104,15.198599576950073,166,7526,17,32,0.53125,"[2,4,7,8,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,16_32,"[16,32]",False,20.53912353515625,20.542680501937866,251,7633,18,32,0.5625,"[2,4,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,16_64_32,"[16,64,32]",False,25.78338646888733,25.78704023361206,308,7530,18,32,0.5625,"[2,4,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,32_16,"[32,16]",False,24.15687656402588,24.160825967788696,282,7745,18,32,0.5625,"[2,4,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,32_64,"[32,64]",False,24.003387689590454,24.00688600540161,286,7655,18,32,0.5625,"[2,4,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,64_16_32,"[64,16,32]",False,25.46691608428955,25.470717430114746,301,7612,18,32,0.5625,"[2,4,7,8,12,13,14,15,16,22,23,24,25,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,64_32,"[64,32]",False,23.384865760803223,23.388959646224976,289,7630,18,32,0.5625,"[2,4,7,8,12,13,14,15,16,22,23,24,25,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,fixed16,[16],True,23.408600568771362,23.41324758529663,273,7654,17,32,0.53125,"[2,4,7,8,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,fixed32,[32],True,21.90788769721985,21.91132879257202,266,7698,18,32,0.5625,"[2,4,7,8,11,12,13,14,15,16,22,23,24,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
dynamic_core,humaneval,32,16,384,0.9,5,barrier1,True,fixed64,[64],True,24.39492440223694,24.398540019989014,293,7386,19,32,0.59375,"[2,4,7,8,11,12,13,14,15,16,22,23,24,25,27,28,29,30,31]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_dynamic_core_humaneval_n32_m16_L384_t0.9_r5_barrier1
