timestamp,stage,task,sample_count,block_length,mini_batch_size,gen_length,threshold,regime,repeat,status,notes
2026-09-14T02:35:45+09:00,static,humaneval,8,16,8,128,1.0,effortnoeos,1,ok,
2026-09-14T02:37:14+09:00,static,humaneval,8,32,8,128,1.0,effortnoeos,1,ok,
2026-09-14T02:38:43+09:00,static,humaneval,8,64,8,128,1.0,effortnoeos,1,ok,
2026-09-14T02:40:04+09:00,static,humaneval,8,128,8,128,1.0,effortnoeos,1,ok,
2026-09-14T02:41:40+09:00,static,gsm8k,32,32,32,128,0.9,replicate,6,ok,
2026-09-14T02:43:08+09:00,static,humaneval,32,64,16,128,0.9,replicate,6,ok,
2026-09-14T02:44:35+09:00,static,gsm8k,32,64,16,128,0.9,replicate,6,ok,
2026-09-14T02:46:03+09:00,static,humaneval,32,128,8,128,0.9,replicate,6,ok,
2026-09-14T02:47:39+09:00,static,gsm8k,32,64,32,128,0.9,replicate,6,ok,
2026-09-14T02:49:00+09:00,static,humaneval,32,32,16,128,0.9,replicate,6,ok,
2026-09-14T02:50:41+09:00,static,gsm8k,32,8,32,128,0.9,replicate,6,ok,
2026-09-14T02:52:15+09:00,static,humaneval,32,8,16,128,0.9,replicate,6,ok,
2026-09-14T02:53:58+09:00,static,gsm8k,32,128,16,128,0.9,replicate,6,ok,
2026-09-14T02:55:27+09:00,static,humaneval,32,16,16,128,0.9,replicate,6,ok,
2026-09-14T02:57:05+09:00,static,gsm8k,32,32,32,128,0.9,replicate,7,ok,
2026-09-14T02:58:36+09:00,static,humaneval,32,64,16,128,0.9,replicate,7,ok,
2026-09-14T03:00:05+09:00,static,gsm8k,32,64,16,128,0.9,replicate,7,ok,
2026-09-14T03:01:29+09:00,static,humaneval,32,128,8,128,0.9,replicate,7,ok,
2026-09-14T03:03:02+09:00,static,gsm8k,32,64,32,128,0.9,replicate,7,ok,
2026-09-14T03:04:27+09:00,static,humaneval,32,32,16,128,0.9,replicate,7,ok,
2026-09-14T03:06:05+09:00,static,gsm8k,32,8,32,128,0.9,replicate,7,ok,
2026-09-14T03:07:38+09:00,static,humaneval,32,8,16,128,0.9,replicate,7,ok,
2026-09-14T03:09:24+09:00,static,gsm8k,32,128,16,128,0.9,replicate,7,ok,
2026-09-14T03:10:53+09:00,static,humaneval,32,16,16,128,0.9,replicate,7,ok,
2026-09-14T03:12:40+09:00,static,gsm8k,8,8,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:14:31+09:00,static,gsm8k,8,16,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:16:12+09:00,static,gsm8k,8,32,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:17:49+09:00,static,gsm8k,8,64,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:19:25+09:00,static,gsm8k,8,128,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:21:04+09:00,static,humaneval,8,8,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:22:57+09:00,static,humaneval,8,16,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:24:37+09:00,static,humaneval,8,32,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:26:15+09:00,static,humaneval,8,64,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:27:49+09:00,static,humaneval,8,128,8,128,1.0,matchedeffort,2,ok,
2026-09-14T03:29:46+09:00,trace,gsm8k,8,8,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:31:16+09:00,trace,humaneval,8,8,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:32:56+09:00,trace,gsm8k,8,16,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:34:29+09:00,trace,humaneval,8,16,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:36:01+09:00,trace,gsm8k,8,32,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:37:34+09:00,trace,humaneval,8,32,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:39:04+09:00,trace,gsm8k,8,64,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:40:29+09:00,trace,humaneval,8,64,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:41:58+09:00,trace,gsm8k,8,128,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:43:29+09:00,trace,humaneval,8,128,8,128,0.9,instrumented,1,ok,observer-heavy
2026-09-14T03:44:56+09:00,trace,gsm8k,32,8,32,128,0.9,instrumented,2,ok,observer-heavy
2026-09-14T03:46:37+09:00,trace,gsm8k,32,16,16,128,0.9,instrumented,2,ok,observer-heavy
2026-09-14T03:48:16+09:00,trace,gsm8k,32,32,8,128,0.9,instrumented,2,ok,observer-heavy
2026-09-14T03:50:09+09:00,trace,gsm8k,32,64,4,128,0.9,instrumented,2,ok,observer-heavy
2026-09-14T03:52:37+09:00,trace,gsm8k,32,128,2,128,0.9,instrumented,2,ok,observer-heavy
2026-09-14T03:58:58+09:00,schedule,gsm8k,32,mixed,plan,128,0.9,dynamic_core,1,ok,actual trajectories
2026-09-14T04:03:00+09:00,schedule,gsm8k,32,mixed,plan,128,0.9,dynamic_core_reversed,2,failed_rc127_policies9of9,actual trajectories; barrier=0
2026-09-14T04:07:45+09:00,schedule,humaneval,32,mixed,plan,128,0.9,dynamic_core,1,ok,actual trajectories; barrier=0
2026-09-14T04:13:02+09:00,schedule,humaneval,32,mixed,plan,128,0.9,dynamic_core_reversed,2,ok,actual trajectories; barrier=0
2026-09-14T04:18:25+09:00,schedule,gsm8k,32,mixed,plan,128,0.9,dynamic_wide,1,ok,actual trajectories; barrier=0
2026-09-14T04:22:35+09:00,schedule,humaneval,32,mixed,plan,128,0.9,dynamic_wide,1,ok,actual trajectories; barrier=0
2026-09-14T04:28:49+09:00,schedule,gsm8k,8,mixed,plan,128,0.9,schedule_smoke,3,failed_rc1_policies0of3,actual trajectories; barrier=1
2026-09-14T04:33:37+09:00,schedule,gsm8k,8,mixed,plan,128,0.9,schedule_smoke,4,ok,actual trajectories; barrier=1
