plan,task,n,mini,target,threshold,repeat,barrier,schedule_barrier,policy,block_schedule,fixed,model_seconds,elapsed_seconds,nfe,generated_tokens,correct,total,accuracy,passing_ids,evidence,result_dir
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_32_32_32,"[16,16,32,32,32]",False,19.056157112121582,19.05752921104431,203,1243,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_32_64,"[16,16,32,64]",False,16.706454277038574,16.708097457885742,200,1239,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_64_16_16,"[16,16,64,16,16]",False,18.722968339920044,18.7244713306427,202,1247,4,8,0.5,"[0,1,3,4]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_64_32,"[16,16,64,32]",False,22.292272090911865,22.293686151504517,265,1239,4,8,0.5,"[0,1,3,4]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_16_16_16_16_16,"[16,32,16,16,16,16,16]",False,18.6052303314209,18.60669207572937,202,1267,6,8,0.75,"[0,1,3,4,5,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_16_16_16_32,"[16,32,16,16,16,32]",False,18.12456440925598,18.127376079559326,204,1267,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_16_16_32_16,"[16,32,16,16,32,16]",False,22.537713766098022,22.538944959640503,223,1270,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_16_32_16_16,"[16,32,16,32,16,16]",False,20.481935501098633,20.483201026916504,218,1267,6,8,0.75,"[0,1,3,4,5,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_16_32_32,"[16,32,16,32,32]",False,16.517507076263428,16.518951654434204,185,1267,6,8,0.75,"[0,1,3,4,5,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_16_64,"[16,32,16,64]",False,21.761608839035034,21.762998342514038,249,1263,6,8,0.75,"[0,1,3,4,5,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_32_16_16_16,"[16,32,32,16,16,16]",False,17.081347942352295,17.082592010498047,209,1266,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_32_16_32,"[16,32,32,16,32]",False,14.019164085388184,14.020591735839844,184,1266,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_32_32_16,"[16,32,32,32,16]",False,12.943543434143066,12.944763422012329,164,1266,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_32_64_16,"[16,32,64,16]",False,21.0044367313385,21.00573992729187,221,1262,5,8,0.625,"[0,1,3,5,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_64_16_16_16,"[16,64,16,16,16]",False,18.666011333465576,18.667255640029907,240,1242,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
