task,sample_count,block_length,mini_batch_size,generation,threshold,target_total_length,repeat,waves,physical_rows_median,physical_rows_p90,decision_live_ratio_median,dead_work_fraction_median,model_forward_ms_median,model_forward_ms_mean,active_experts_median,active_experts_mean,rows_per_active_expert_mean_median,rows_per_active_expert_mean_mean,rows_per_active_expert_p50_median,rows_per_active_expert_p50_mean,tiny_expert_fraction_le4_median,tiny_expert_fraction_le4_mean,rank_load_cv_median,rank_load_cv_mean,rank_fanout_mean_median,rank_fanout_mean_mean,remote_pairs_median,remote_pairs_mean,remote_fraction_median,remote_fraction_mean,dispatch_bytes_bf16_median,dispatch_bytes_bf16_mean,attention_critical_ms_median,attention_critical_ms_mean,router_critical_ms_median,router_critical_ms_mean,dispatch_critical_ms_median,dispatch_critical_ms_mean,expert_critical_ms_median,expert_critical_ms_mean,combine_critical_ms_median,combine_critical_ms_mean,shared_critical_ms_median,shared_critical_ms_mean,mlp_critical_ms_median,mlp_critical_ms_mean,sampled_component_attention_share,sampled_component_dispatch_share,sampled_component_expert_share,sampled_component_combine_share,configured_wave_rows,wave_fill_ratio_median,token_expert_pairs_median
gsm8k,8,8,8,128,0.9,256,1,130,48.0,64.0,0.45870535714285715,0.5412946428571428,91.0690689086914,92.4207160949707,101.9,98.61538461538461,3.6740873577106754,3.645392435870459,2.2,2.1930769230769234,0.7544452577791403,0.7671015700897535,0.3219734974013775,0.33358245588040153,3.045000064373016,3.0428556128648614,288.5,271.7723076923077,0.7515625,0.7524416208791209,2363392.0,2226358.744615385,0.5908672034740448,0.6150024876227744,0.1719392001628875,0.17467943416191978,1.334816026687622,1.3189299693474403,0.5362591922283173,0.5407206881963289,0.1157088011503219,0.12399094155774662,0.19339199885725972,0.18778564939705225,5.640220785140992,5.613948951867911,0.22922697922743449,0.517841985175288,0.20804179686179022,0.04488923873548736,64,0.75,384.0
gsm8k,8,16,8,128,0.9,256,1,115,80.0,112.0,0.4375,0.5625,108.81517028808594,115.21442167862602,124.0,121.47130434782608,5.479085625694381,5.469046708942573,3.0,3.0191304347826087,0.6372474285838537,0.6532815253485235,0.3189184614768174,0.3218004593143269,3.0410715699195863,3.0383562969124838,483.2,511.0017391304348,0.753125,0.7527605460662526,3958374.4,4186126.246956522,0.7025920033454895,0.7548390954992046,0.199001595377922,0.21018518243146975,2.1464767694473266,2.1546871625858803,0.7035776019096375,0.6900180593780849,0.2247615993022918,0.22301840688223423,0.1844223998486995,0.17561510956805682,7.547315120697021,7.758228262196416,0.18599844342484753,0.568240651848804,0.18625936270360444,0.05950154202274405,128,0.625,640.0
gsm8k,8,32,8,128,0.9,256,1,105,160.0,243.20000000000027,0.4285714285714285,0.5714285714285715,121.47494506835938,122.70379754929316,150.8,147.32571428571427,9.34034743158396,9.139968153328251,4.7,4.465714285714285,0.4965725993860976,0.5264589303861411,0.3157463741875871,0.3158492714942958,3.0400000333786013,3.03927209899539,976.6,1027.5333333333333,0.7484375,0.7493563722363946,8000307.2,8417553.066666666,0.6580159902572632,0.709347412018549,0.1898240029811859,0.2162254624707358,3.169638395309448,3.0523516325723556,0.7821056008338928,0.7626607546352204,0.1689599961042404,0.18023661717772482,0.0568832010030746,0.12766342050972435,10.127750205993651,9.55461685907273,0.13769712238136905,0.66328188446146,0.1636642455923813,0.035356747564789785,256,0.625,1280.0
gsm8k,8,64,8,128,0.9,256,1,98,320.0,512.0,0.4285714285714285,0.5714285714285715,142.87969970703125,141.1001341683524,175.7,172.6877551020408,16.075391187672736,16.230787497819765,7.2,6.736734693877551,0.3818286296115096,0.4086034421568253,0.31702295182714785,0.3297253285234043,3.043828159570694,3.0469425905723955,1956.0,2114.8244897959185,0.7557047526041667,0.7560459326029519,16023552.0,17324642.220408164,0.6340256005525589,0.6759653872373151,0.18944960236549374,0.20324924150291754,4.969104051589966,4.859190662539736,0.8811839938163757,0.861142270175778,0.17370239943265914,0.17725531459614935,0.042054399661719755,0.07972094679669453,13.995705509185791,13.711165258835772,0.09522740651720248,0.7463340457146243,0.13234933466799012,0.026089213100183157,512,0.625,2560.0
gsm8k,8,128,8,128,0.9,256,1,102,704.0,1024.0,0.38720703125,0.61279296875,185.39027404785156,196.16617105521408,191.89999999999998,189.45490196078433,29.764102873465507,28.6475262835567,11.0,11.654901960784313,0.2926107496007493,0.29380278944977906,0.3068012715337818,0.3144638425798766,3.075,3.072257112989239,4259.7,4240.303921568628,0.754921875,0.756202904338819,34895462.4,34736569.7254902,0.6383360028266907,0.6799064472025517,0.19810239970684052,0.22050911372198773,9.145084857940674,9.19015240575753,1.005296003818512,0.9937664001595741,0.2119423978030681,0.21746208559648658,0.03599359989166255,0.09968414093349491,23.2174690246582,23.659115228465964,0.05802706797847562,0.8313215271749717,0.09138506882542949,0.01926633602112333,1024,0.6875,5632.0
gsm8k,32,8,32,128,0.9,256,2,133,208.0,248.0,0.4537037037037037,0.5462962962962963,122.59117126464844,122.89315606597671,169.4,149.30075187969925,9.6038514648526,8.392394623892999,5.2,4.4796992481203,0.4595494706355983,0.5448624834224676,0.2952265944759288,0.30901821417672504,3.0258620500564577,3.0307883841650827,1247.2,1013.2676691729324,0.75234375,0.7536877190333706,10217062.4,8300688.745864662,0.660204803943634,0.7268248566111227,0.1869312047958374,0.2287572212237164,3.4257728099823,2.959444501077322,0.8218111991882324,0.8690592224436594,0.1491136014461517,0.25748932211470776,0.0604415990412235,0.12460554566206335,10.380249404907229,9.435757320088554,0.1305551797959773,0.6774449117543749,0.1625127660802777,0.02948714236937014,256,0.8125,1664.0
gsm8k,32,16,16,128,0.9,256,2,148,256.0,256.0,0.443359375,0.556640625,117.82510375976562,123.41284839527027,173.1,166.59459459459458,11.828318019622548,11.50808803202238,6.0,5.692567567567569,0.42311560641786455,0.447009760764942,0.2897974543735723,0.29655136457145237,3.030859375,3.0311690608391886,1539.2,1448.8405405405406,0.7516113281250001,0.7494527730855857,12609126.4,11868901.708108108,0.6030592024326324,0.675755892250989,0.17275519967079161,0.17632467050004644,3.627369618415832,3.484866250447325,0.829068797826767,0.8104406482867292,0.14346880093216896,0.14425513527381256,0.0319136001169681,0.04614287570018216,10.712860679626466,11.395986724544215,0.11590680273468638,0.6971733672441311,0.1593454062479469,0.02757442377323563,256,1.0,2048.0
gsm8k,32,32,8,128,0.9,256,2,256,256.0,256.0,0.447265625,0.552734375,125.59359741210938,135.53126090765,167.7,164.103125,12.401459188101994,12.768678163277603,5.8,5.723046875,0.4342585270865208,0.44039553348933635,0.30562782762916824,0.3137222330436509,3.036328125,3.035833740234375,1536.0,1531.3820312500002,0.750048828125,0.7503433227539062,12582912.0,12545081.600000001,0.6802016079425812,0.7379569253418594,0.1932319983839988,0.20915487473830577,3.8388863563537603,4.042998346872627,0.8430240035057068,0.8411552512552589,0.178822398930788,0.1892217998305568,0.06060800030827515,0.09074120013829085,11.327200031280519,12.052165051177145,0.12275936925483855,0.6928229252095124,0.1521447372788118,0.03227296825683735,256,1.0,2048.0
gsm8k,32,64,4,128,0.9,256,2,503,256.0,256.0,0.453125,0.546875,122.01241302490234,127.37445380815691,162.8,155.4278330019881,12.77468848642538,13.690875407705644,5.5,5.431610337972167,0.4493725935480999,0.456677106996898,0.3194427609422985,0.33345257351710555,3.0515625,3.0521677229560864,1536.4,1534.46958250497,0.7501953125,0.7496211532886017,12586188.8,12570374.819880715,0.6335551977157593,0.669568114465558,0.1837311953306198,0.19499409311334365,3.667334461212158,3.7803233576105324,0.8204480051994324,0.8108583185710679,0.1740096062421798,0.179688741192666,0.045567999780178,0.07527830137780477,10.9104190826416,11.33712855162725,0.11964374862832128,0.6925578765594796,0.1549375259655404,0.032860848846658686,256,1.0,2048.0
gsm8k,32,128,2,128,0.9,256,2,1114,256.0,256.0,0.390625,0.609375,172.75304412841797,180.30531179541103,159.2,150.79892280071815,13.051142592965794,14.483742029496643,5.4,5.264183123877918,0.4517068798523036,0.4677395794784825,0.34194458203073663,0.3634184335198815,3.05546875,3.053784223518851,1527.4,1527.005026929982,0.74580078125,0.7459408662477558,12512460.8,12509225.180610413,0.9891711950302124,1.0007961279827986,0.27541119456291197,0.27838645327027006,5.000822305679321,5.048027661972457,0.8917791962623596,0.8812445870100702,0.27120640277862545,0.27870609701830135,0.24012800157070155,0.2456039124066461,14.737350368499758,16.03184525097722,0.13828800297553123,0.6991244117928066,0.12467241743981371,0.03791516779184837,256,1.0,2048.0
