task,sample_count,block_length,mini_batch_size,generation,threshold,target_total_length,repeat,waves,physical_rows_median,physical_rows_p90,decision_live_ratio_median,dead_work_fraction_median,model_forward_ms_median,model_forward_ms_mean,active_experts_median,active_experts_mean,rows_per_active_expert_mean_median,rows_per_active_expert_mean_mean,rows_per_active_expert_p50_median,rows_per_active_expert_p50_mean,tiny_expert_fraction_le4_median,tiny_expert_fraction_le4_mean,rank_load_cv_median,rank_load_cv_mean,rank_fanout_mean_median,rank_fanout_mean_mean,remote_pairs_median,remote_pairs_mean,remote_fraction_median,remote_fraction_mean,dispatch_bytes_bf16_median,dispatch_bytes_bf16_mean,attention_critical_ms_median,attention_critical_ms_mean,router_critical_ms_median,router_critical_ms_mean,dispatch_critical_ms_median,dispatch_critical_ms_mean,expert_critical_ms_median,expert_critical_ms_mean,combine_critical_ms_median,combine_critical_ms_mean,shared_critical_ms_median,shared_critical_ms_mean,mlp_critical_ms_median,mlp_critical_ms_mean,sampled_component_attention_share,sampled_component_dispatch_share,sampled_component_expert_share,sampled_component_combine_share,configured_wave_rows,wave_fill_ratio_median,token_expert_pairs_median,matched_M_target
gsm8k,32,8,32,128,0.9,256,2,133,208.0,248.0,0.4537037037037037,0.5462962962962963,122.59117126464844,122.89315606597671,169.4,149.30075187969925,9.6038514648526,8.392394623892999,5.2,4.4796992481203,0.4595494706355983,0.5448624834224676,0.2952265944759288,0.30901821417672504,3.0258620500564577,3.0307883841650827,1247.2,1013.2676691729324,0.75234375,0.7536877190333706,10217062.4,8300688.745864662,0.660204803943634,0.7268248566111227,0.1869312047958374,0.2287572212237164,3.4257728099823,2.959444501077322,0.8218111991882324,0.8690592224436594,0.1491136014461517,0.25748932211470776,0.0604415990412235,0.12460554566206335,10.380249404907229,9.435757320088554,0.1305551797959773,0.6774449117543749,0.1625127660802777,0.02948714236937014,256,0.8125,1664.0,256
gsm8k,32,16,16,128,0.9,256,2,148,256.0,256.0,0.443359375,0.556640625,117.82510375976562,123.41284839527027,173.1,166.59459459459458,11.828318019622548,11.50808803202238,6.0,5.692567567567569,0.42311560641786455,0.447009760764942,0.2897974543735723,0.29655136457145237,3.030859375,3.0311690608391886,1539.2,1448.8405405405406,0.7516113281250001,0.7494527730855857,12609126.4,11868901.708108108,0.6030592024326324,0.675755892250989,0.17275519967079161,0.17632467050004644,3.627369618415832,3.484866250447325,0.829068797826767,0.8104406482867292,0.14346880093216896,0.14425513527381256,0.0319136001169681,0.04614287570018216,10.712860679626466,11.395986724544215,0.11590680273468638,0.6971733672441311,0.1593454062479469,0.02757442377323563,256,1.0,2048.0,256
gsm8k,32,32,8,128,0.9,256,2,256,256.0,256.0,0.447265625,0.552734375,125.59359741210938,135.53126090765,167.7,164.103125,12.401459188101994,12.768678163277603,5.8,5.723046875,0.4342585270865208,0.44039553348933635,0.30562782762916824,0.3137222330436509,3.036328125,3.035833740234375,1536.0,1531.3820312500002,0.750048828125,0.7503433227539062,12582912.0,12545081.600000001,0.6802016079425812,0.7379569253418594,0.1932319983839988,0.20915487473830577,3.8388863563537603,4.042998346872627,0.8430240035057068,0.8411552512552589,0.178822398930788,0.1892217998305568,0.06060800030827515,0.09074120013829085,11.327200031280519,12.052165051177145,0.12275936925483855,0.6928229252095124,0.1521447372788118,0.03227296825683735,256,1.0,2048.0,256
gsm8k,32,64,4,128,0.9,256,2,503,256.0,256.0,0.453125,0.546875,122.01241302490234,127.37445380815691,162.8,155.4278330019881,12.77468848642538,13.690875407705644,5.5,5.431610337972167,0.4493725935480999,0.456677106996898,0.3194427609422985,0.33345257351710555,3.0515625,3.0521677229560864,1536.4,1534.46958250497,0.7501953125,0.7496211532886017,12586188.8,12570374.819880715,0.6335551977157593,0.669568114465558,0.1837311953306198,0.19499409311334365,3.667334461212158,3.7803233576105324,0.8204480051994324,0.8108583185710679,0.1740096062421798,0.179688741192666,0.045567999780178,0.07527830137780477,10.9104190826416,11.33712855162725,0.11964374862832128,0.6925578765594796,0.1549375259655404,0.032860848846658686,256,1.0,2048.0,256
gsm8k,32,128,2,128,0.9,256,2,1114,256.0,256.0,0.390625,0.609375,172.75304412841797,180.30531179541103,159.2,150.79892280071815,13.051142592965794,14.483742029496643,5.4,5.264183123877918,0.4517068798523036,0.4677395794784825,0.34194458203073663,0.3634184335198815,3.05546875,3.053784223518851,1527.4,1527.005026929982,0.74580078125,0.7459408662477558,12512460.8,12509225.180610413,0.9891711950302124,1.0007961279827986,0.27541119456291197,0.27838645327027006,5.000822305679321,5.048027661972457,0.8917791962623596,0.8812445870100702,0.27120640277862545,0.27870609701830135,0.24012800157070155,0.2456039124066461,14.737350368499758,16.03184525097722,0.13828800297553123,0.6991244117928066,0.12467241743981371,0.03791516779184837,256,1.0,2048.0,256
