task,request_id,fixed_reference_policy,fixed_reference_B,fixed_reference_seconds,fixed_reference_pass,best_safe_dynamic_policy,best_safe_dynamic_schedule,dynamic_seconds,dynamic_pass,dynamic_gain_percent,oracle_scope
gsm8k,0,fixed32,32,5.711439609527588,False,16_32,"[16,32]",5.653402328491211,False,1.0161585345236175,isolated-request future-knowledge; mini=1; not a live controller
gsm8k,1,fixed8,8,3.3412413597106934,True,16_32,"[16,32]",3.0354785919189453,True,9.15117271917833,isolated-request future-knowledge; mini=1; not a live controller
gsm8k,2,fixed32,32,7.3639607429504395,False,16_32,"[16,32]",7.3668739795684814,False,-0.039560729880735036,isolated-request future-knowledge; mini=1; not a live controller
gsm8k,3,fixed64,64,4.286224126815796,True,16_32,"[16,32]",3.846284866333008,True,10.264028372441077,isolated-request future-knowledge; mini=1; not a live controller
gsm8k,4,fixed128,128,4.746800422668457,True,32_64,"[32,64]",4.721372365951538,True,0.5356883469439049,isolated-request future-knowledge; mini=1; not a live controller
gsm8k,5,fixed32,32,7.088402032852173,False,16_32,"[16,32]",7.016632318496704,False,1.0124949745068375,isolated-request future-knowledge; mini=1; not a live controller
gsm8k,6,fixed32,32,3.4320011138916016,True,16_32,"[16,32]",3.418952703475952,True,0.380198315287072,isolated-request future-knowledge; mini=1; not a live controller
gsm8k,7,fixed128,128,5.583104610443115,False,16_64_32,"[16,64,32]",5.412919521331787,False,3.0482160193273007,isolated-request future-knowledge; mini=1; not a live controller
humaneval,0,fixed16,16,4.688998460769653,False,64_32,"[64,32]",4.631346940994263,False,1.2295060503374038,isolated-request future-knowledge; mini=1; not a live controller
humaneval,1,fixed32,32,5.631913185119629,False,32_64,"[32,64]",5.605768442153931,False,0.4642248931460206,isolated-request future-knowledge; mini=1; not a live controller
humaneval,2,fixed32,32,6.298422813415527,True,32_16,"[32,16]",6.28119969367981,True,0.27345131068420553,isolated-request future-knowledge; mini=1; not a live controller
humaneval,3,fixed32,32,3.95489501953125,False,64_32,"[64,32]",3.9174275398254395,False,0.9473697663472075,isolated-request future-knowledge; mini=1; not a live controller
humaneval,4,fixed32,32,2.0570757389068604,True,128_64,"[128,64]",1.9979372024536133,True,2.874883765080695,isolated-request future-knowledge; mini=1; not a live controller
humaneval,5,fixed32,32,3.7496907711029053,False,32_16,"[32,16]",3.780491352081299,False,-0.8214165609537479,isolated-request future-knowledge; mini=1; not a live controller
humaneval,6,fixed32,32,4.6064064502716064,False,64_128,"[64,128]",4.597330808639526,False,0.19702216315594454,isolated-request future-knowledge; mini=1; not a live controller
humaneval,7,fixed64,64,4.580299139022827,True,32_16,"[32,16]",4.627072334289551,True,-1.0211821072608447,isolated-request future-knowledge; mini=1; not a live controller
