task,sample_count,block_length,mini_batch_size,generation,threshold,target_total_length,decoder_control,restarts,bct_median_s,bct_min_s,bct_max_s,accuracy_median,accuracy_min,accuracy_max,nfe_median,throughput_median_tokens_per_s,peak_hbm_mib_median,source_regimes,pareto
gsm8k,32,64,16,128,0.95,256,serving_native,1,14.15274691581726,14.15274691581726,14.15274691581726,0.4375,0.4375,0.4375,153.0,368.9509358363318,66177.0,qualitycal,False
gsm8k,32,64,32,128,0.85,256,serving_native,1,9.019964933395386,9.019964933395386,9.019964933395386,0.375,0.375,0.375,101.0,574.9098037467145,75323.0,qualitycal,True
gsm8k,32,64,32,128,0.9,256,serving_native,3,9.514351844787598,9.475106477737427,10.122854709625244,0.34375,0.34375,0.34375,106.0,544.6965603318306,75323.0,frontier;replicate,False
gsm8k,32,64,32,128,0.95,256,serving_native,1,11.536736249923706,11.536736249923706,11.536736249923706,0.34375,0.34375,0.34375,119.0,448.75816382137486,75323.0,qualitycal,False
gsm8k,32,128,2,128,0.9,256,serving_native,1,96.37265753746033,96.37265753746033,96.37265753746033,0.3125,0.3125,0.3125,1115.0,53.76255178223517,58227.0,frontier,False
gsm8k,32,128,4,128,0.9,256,serving_native,1,47.33087635040283,47.33087635040283,47.33087635040283,0.28125,0.28125,0.28125,560.0,109.43167607744907,59677.0,frontier,False
gsm8k,32,128,8,128,0.9,256,serving_native,1,22.78949284553528,22.78949284553528,22.78949284553528,0.28125,0.28125,0.28125,276.0,227.34557503721643,63031.0,matched,False
gsm8k,32,128,16,128,0.85,256,serving_native,1,12.32264232635498,12.32264232635498,12.32264232635498,0.34375,0.34375,0.34375,134.0,418.73375789131586,66755.0,qualitycal,False
gsm8k,32,128,16,128,0.9,256,serving_native,3,14.055897951126099,13.557003021240234,14.277848482131958,0.34375,0.34375,0.34375,151.0,366.22756885263215,66755.0,frontier;replicate,False
gsm8k,32,128,16,128,0.95,256,serving_native,1,17.113706588745117,17.113706588745117,17.113706588745117,0.28125,0.28125,0.28125,175.0,302.3001377195314,66755.0,qualitycal,False
humaneval,32,8,8,128,0.9,384,serving_native,1,36.29531645774841,36.29531645774841,36.29531645774841,0.5625,0.5625,0.5625,438.0,207.62932030188716,70317.0,matched,False
humaneval,32,8,16,128,0.85,384,serving_native,3,20.166682481765747,19.467604160308838,21.368753671646118,0.59375,0.59375,0.59375,232.0,376.1598104878169,74449.0,qualitycal,True
humaneval,32,8,16,128,0.9,384,serving_native,3,24.294201374053955,22.03603720664978,25.122729301452637,0.5625,0.5625,0.5625,270.0,311.35831566792064,74469.0,frontier;replicate,False
humaneval,32,8,16,128,0.95,384,serving_native,1,23.67276120185852,23.67276120185852,23.67276120185852,0.53125,0.53125,0.53125,261.0,320.7274697268826,74609.0,qualitycal,False
humaneval,32,16,8,128,0.9,384,serving_native,1,26.59312915802002,26.59312915802002,26.59312915802002,0.53125,0.53125,0.53125,321.0,288.62561140764495,72703.0,matched,False
humaneval,32,16,16,128,0.9,384,serving_native,3,16.384523630142212,15.669158220291138,16.833834886550903,0.53125,0.53125,0.53125,189.0,469.7352680834427,74609.0,frontier;replicate,False
humaneval,32,32,8,128,0.9,384,serving_native,1,26.031211853027344,26.031211853027344,26.031211853027344,0.5625,0.5625,0.5625,286.0,297.74023505472195,70583.0,matched,False
humaneval,32,32,16,128,0.85,384,serving_native,3,13.881064176559448,13.044965982437134,13.927153825759888,0.5625,0.5625,0.5625,155.0,551.5150752367975,74767.0,qualitycal,False
humaneval,32,32,16,128,0.9,384,serving_native,3,17.755085706710815,16.602699518203735,18.890134811401367,0.53125,0.53125,0.53125,200.0,432.6314567719403,74767.0,frontier;replicate,False
humaneval,32,32,16,128,0.95,384,serving_native,1,19.058942556381226,19.058942556381226,19.058942556381226,0.5625,0.5625,0.5625,205.0,401.3293143147301,74767.0,qualitycal,False
humaneval,32,64,8,128,0.9,384,serving_native,1,23.17611265182495,23.17611265182495,23.17611265182495,0.5625,0.5625,0.5625,263.0,322.4756424225651,69853.0,matched,False
humaneval,32,64,16,128,0.85,384,serving_native,1,13.613204002380371,13.613204002380371,13.613204002380371,0.5625,0.5625,0.5625,158.0,556.4194699642824,74621.0,qualitycal,True
humaneval,32,64,16,128,0.9,384,serving_native,3,14.749307632446289,14.04149317741394,15.246544361114502,0.53125,0.53125,0.53125,166.0,510.4534879255151,74641.0,frontier;replicate,False
humaneval,32,64,16,128,0.95,384,serving_native,1,15.822112321853638,15.822112321853638,15.822112321853638,0.53125,0.53125,0.53125,181.0,474.3364143365131,74621.0,qualitycal,False
humaneval,32,128,8,128,0.85,384,serving_native,1,22.628470420837402,22.628470420837402,22.628470420837402,0.5625,0.5625,0.5625,224.0,313.5705610343439,66769.0,qualitycal,False
humaneval,32,128,8,128,0.9,384,serving_native,3,22.377134561538696,21.195094108581543,23.338184356689453,0.5625,0.5625,0.5625,252.0,317.58296803415885,66791.0,matched;replicate,False
humaneval,32,128,8,128,0.95,384,serving_native,1,28.4386568069458,28.4386568069458,28.4386568069458,0.5625,0.5625,0.5625,307.0,251.10830858389357,66789.0,qualitycal,False
