task,sample_count,block_length,mini_batch_size,generation,threshold,target_total_length,decoder_control,restarts,bct_median_s,bct_min_s,bct_max_s,accuracy_median,accuracy_min,accuracy_max,nfe_median,throughput_median_tokens_per_s,peak_hbm_mib_median,source_regimes,pareto
gsm8k,32,8,8,128,0.9,256,serving_native,1,29.594178676605225,29.594178676605225,29.594178676605225,0.40625,0.40625,0.40625,354.0,177.16217574514235,62979.0,matched,False
gsm8k,32,8,16,128,0.9,256,serving_native,1,15.518046379089355,15.518046379089355,15.518046379089355,0.34375,0.34375,0.34375,185.0,342.9303750451126,69335.0,frontier,False
gsm8k,32,8,32,128,0.9,256,serving_native,3,12.177014589309692,11.911832094192505,13.343119144439697,0.40625,0.40625,0.40625,134.0,437.7985250689449,74191.0,frontier;replicate,False
gsm8k,32,16,8,128,0.9,256,serving_native,1,23.865532875061035,23.865532875061035,23.865532875061035,0.40625,0.40625,0.40625,287.0,218.32516666681323,66407.0,matched,False
gsm8k,32,16,16,128,0.9,256,serving_native,1,11.982459545135498,11.982459545135498,11.982459545135498,0.34375,0.34375,0.34375,150.0,436.47386973585196,74197.0,frontier,False
gsm8k,32,16,32,128,0.9,256,serving_native,1,11.247262001037598,11.247262001037598,11.247262001037598,0.40625,0.40625,0.40625,116.0,465.3709937361339,81053.0,frontier,False
gsm8k,32,32,8,128,0.9,256,serving_native,1,21.666595697402954,21.666595697402954,21.666595697402954,0.40625,0.40625,0.40625,260.0,242.46245261269283,63135.0,matched,False
gsm8k,32,32,16,128,0.9,256,serving_native,1,12.538766145706177,12.538766145706177,12.538766145706177,0.375,0.375,0.375,145.0,416.4989574622096,69571.0,frontier,False
gsm8k,32,32,32,128,0.85,256,serving_native,1,9.6545250415802,9.6545250415802,9.6545250415802,0.375,0.375,0.375,100.0,539.1667297379717,74649.0,qualitycal,False
gsm8k,32,32,32,128,0.9,256,serving_native,3,9.452736377716064,9.033670663833618,9.716388702392578,0.40625,0.40625,0.40625,102.0,552.921869781118,74649.0,frontier;replicate,True
gsm8k,32,32,32,128,0.95,256,serving_native,1,12.228334188461304,12.228334188461304,12.228334188461304,0.375,0.375,0.375,118.0,427.52352837746236,74649.0,qualitycal,False
gsm8k,32,64,4,128,0.9,256,serving_native,1,44.00325393676758,44.00325393676758,44.00325393676758,0.34375,0.34375,0.34375,510.0,118.64140117179038,59055.0,frontier,False
gsm8k,32,64,8,128,0.9,256,serving_native,1,19.81702971458435,19.81702971458435,19.81702971458435,0.46875,0.46875,0.46875,250.0,261.9567942678344,61445.0,matched,True
gsm8k,32,64,16,128,0.85,256,serving_native,1,11.136208057403564,11.136208057403564,11.136208057403564,0.4375,0.4375,0.4375,124.0,469.0674680587054,66097.0,qualitycal,True
gsm8k,32,64,16,128,0.9,256,serving_native,3,11.724724054336548,11.683528423309326,13.153287172317505,0.4375,0.4375,0.4375,137.0,445.1600900342267,66137.0,frontier;replicate,False
