regime,task,n,block,mini,gen,threshold,target_total,repeat,threshold_requested,threshold_effective,nfe,bct_s,tps,tpf,quality_correct,quality_total,accuracy,generated_tokens,peak_hbm_mib,mean_sampled_gpu_util_pct,clean_timing,run_dir
replicate,gsm8k,32,128,16,128,0.9,256,6,0.9,0.9,151,13.557003021240234,379.709535902616,34.079470198675494,11,32,0.34375,5146,66755.0,21.70992822966507,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B128_m16_g128_t0.9_L256_r6
replicate,gsm8k,32,128,16,128,0.9,256,7,0.9,0.9,151,14.277848482131958,360.53462403079925,34.079470198675494,11,32,0.34375,5146,66755.0,22.783029612756263,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B128_m16_g128_t0.9_L256_r7
replicate,gsm8k,32,32,32,128,0.9,256,6,0.9,0.9,102,9.452736377716064,552.921869781118,51.21568627450981,13,32,0.40625,5224,74629.0,18.311484918793504,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B32_m32_g128_t0.9_L256_r6
replicate,gsm8k,32,32,32,128,0.9,256,7,0.9,0.9,102,9.716388702392578,537.9270349391879,51.21568627450981,13,32,0.40625,5224,74649.0,19.574551569506728,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B32_m32_g128_t0.9_L256_r7
replicate,gsm8k,32,64,16,128,0.9,256,6,0.9,0.9,137,11.683528423309326,446.7694534645591,38.08029197080292,14,32,0.4375,5217,66137.0,20.218463302752294,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m16_g128_t0.9_L256_r6
replicate,gsm8k,32,64,16,128,0.9,256,7,0.9,0.9,137,13.153287172317505,396.78229909777235,38.08029197080292,14,32,0.4375,5217,66137.0,17.343373493975903,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m16_g128_t0.9_L256_r7
replicate,gsm8k,32,64,32,128,0.9,256,6,0.9,0.9,106,9.475106477737427,547.0553919622055,48.867924528301884,11,32,0.34375,5180,75323.0,16.282278481012657,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m32_g128_t0.9_L256_r6
replicate,gsm8k,32,64,32,128,0.9,256,7,0.9,0.9,106,9.514351844787598,544.6965603318306,48.867924528301884,11,32,0.34375,5180,75323.0,17.484299516908212,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m32_g128_t0.9_L256_r7
replicate,gsm8k,32,8,32,128,0.9,256,6,0.9,0.9,134,13.343119144439697,399.5665013605208,39.76865671641791,13,32,0.40625,5329,74191.0,20.348272138228943,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B8_m32_g128_t0.9_L256_r6
replicate,gsm8k,32,8,32,128,0.9,256,7,0.9,0.9,134,12.177014589309692,437.7985250689449,39.76865671641791,13,32,0.40625,5329,74191.0,18.57532751091703,True,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B8_m32_g128_t0.9_L256_r7
replicate,humaneval,32,128,8,128,0.9,384,6,0.9,0.9,252,23.338184356689453,304.50628923054387,28.194444444444443,18,32,0.5625,7105,66791.0,23.95687772925764,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B128_m8_g128_t0.9_L384_r6
replicate,humaneval,32,128,8,128,0.9,384,7,0.9,0.9,252,21.195094108581543,335.314835340502,28.194444444444443,18,32,0.5625,7105,66791.0,23.607700892857142,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B128_m8_g128_t0.9_L384_r7
replicate,humaneval,32,16,16,128,0.9,384,6,0.9,0.9,189,16.384523630142212,469.7352680834427,40.70899470899471,17,32,0.53125,7694,74609.0,19.328191489361704,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B16_m16_g128_t0.9_L384_r6
replicate,humaneval,32,16,16,128,0.9,384,7,0.9,0.9,189,15.669158220291138,491.1960296364757,40.70899470899471,17,32,0.53125,7694,74609.0,17.373101952277658,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B16_m16_g128_t0.9_L384_r7
replicate,humaneval,32,32,16,128,0.9,384,6,0.9,0.9,200,18.890134811401367,406.61477493520533,38.395,17,32,0.53125,7679,74767.0,20.563141683778234,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B32_m16_g128_t0.9_L384_r6
replicate,humaneval,32,32,16,128,0.9,384,7,0.9,0.9,200,17.755085706710815,432.6314567719403,38.395,17,32,0.53125,7679,74767.0,21.16932059447983,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B32_m16_g128_t0.9_L384_r7
replicate,humaneval,32,64,16,128,0.9,384,6,0.9,0.9,166,14.749307632446289,510.4534879255151,45.33734939759036,17,32,0.53125,7526,74641.0,19.226997578692494,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B64_m16_g128_t0.9_L384_r6
replicate,humaneval,32,64,16,128,0.9,384,7,0.9,0.9,166,14.04149317741394,536.1653155950074,45.33734939759036,17,32,0.53125,7526,74641.0,18.434551886792452,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B64_m16_g128_t0.9_L384_r7
replicate,humaneval,32,8,16,128,0.9,384,6,0.9,0.9,270,22.03603720664978,343.2475206203685,28.007407407407406,18,32,0.5625,7562,74469.0,18.992943548387096,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B8_m16_g128_t0.9_L384_r6
replicate,humaneval,32,8,16,128,0.9,384,7,0.9,0.9,270,24.294201374053955,311.35831566792064,28.007407407407406,18,32,0.5625,7562,74449.0,21.791501976284586,True,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B8_m16_g128_t0.9_L384_r7
