task,control,x,y,spearman_rho,points
gsm8k,fixed_mini8_n8,block_length,model_forward_ms_median,0.9999999999999999,5
gsm8k,fixed_mini8_n8,block_length,active_experts_median,0.9999999999999999,5
gsm8k,fixed_mini8_n8,block_length,rows_per_active_expert_mean_median,0.9999999999999999,5
gsm8k,fixed_mini8_n8,block_length,tiny_expert_fraction_le4_median,-0.9999999999999999,5
gsm8k,fixed_mini8_n8,block_length,rank_load_cv_median,-0.8999999999999998,5
gsm8k,fixed_mini8_n8,block_length,rank_fanout_mean_median,0.3,5
gsm8k,fixed_mini8_n8,block_length,remote_fraction_median,0.6,5
gsm8k,fixed_mini8_n8,block_length,dispatch_critical_ms_median,0.9999999999999999,5
gsm8k,fixed_mini8_n8,block_length,expert_critical_ms_median,0.9999999999999999,5
gsm8k,fixed_mini8_n8,block_length,combine_critical_ms_median,0.39999999999999997,5
gsm8k,fixed_mini8_n8,block_length,decision_live_ratio_median,-0.9746794344808963,5
humaneval,fixed_mini8_n8,block_length,model_forward_ms_median,0.8999999999999998,5
humaneval,fixed_mini8_n8,block_length,active_experts_median,0.8999999999999998,5
humaneval,fixed_mini8_n8,block_length,rows_per_active_expert_mean_median,0.9999999999999999,5
humaneval,fixed_mini8_n8,block_length,tiny_expert_fraction_le4_median,-0.9999999999999999,5
humaneval,fixed_mini8_n8,block_length,rank_load_cv_median,-0.9999999999999999,5
humaneval,fixed_mini8_n8,block_length,rank_fanout_mean_median,0.9999999999999999,5
humaneval,fixed_mini8_n8,block_length,remote_fraction_median,-0.19999999999999998,5
humaneval,fixed_mini8_n8,block_length,dispatch_critical_ms_median,0.8999999999999998,5
humaneval,fixed_mini8_n8,block_length,expert_critical_ms_median,0.8999999999999998,5
humaneval,fixed_mini8_n8,block_length,combine_critical_ms_median,0.6,5
humaneval,fixed_mini8_n8,block_length,decision_live_ratio_median,-0.7,5
