task,sample_count,block_length,mini_batch_size,generation,threshold,target_total_length,decoder_control,restarts,bct_median_s,bct_min_s,bct_max_s,accuracy_median,accuracy_min,accuracy_max,nfe_median,throughput_median_tokens_per_s,peak_hbm_mib_median,source_regimes
gsm8k,32,8,32,128,0.9,256,serving_native,3,12.177014589309692,11.911832094192505,13.343119144439697,0.40625,0.40625,0.40625,134.0,437.7985250689449,74191.0,frontier;replicate
gsm8k,32,16,32,128,0.9,256,serving_native,1,11.247262001037598,11.247262001037598,11.247262001037598,0.40625,0.40625,0.40625,116.0,465.3709937361339,81053.0,frontier
gsm8k,32,32,32,128,0.9,256,serving_native,3,9.452736377716064,9.033670663833618,9.716388702392578,0.40625,0.40625,0.40625,102.0,552.921869781118,74649.0,frontier;replicate
gsm8k,32,64,32,128,0.9,256,serving_native,3,9.514351844787598,9.475106477737427,10.122854709625244,0.34375,0.34375,0.34375,106.0,544.6965603318306,75323.0,frontier;replicate
gsm8k,32,128,16,128,0.9,256,serving_native,3,14.055897951126099,13.557003021240234,14.277848482131958,0.34375,0.34375,0.34375,151.0,366.22756885263215,66755.0,frontier;replicate
humaneval,32,8,16,128,0.9,384,serving_native,3,24.294201374053955,22.03603720664978,25.122729301452637,0.5625,0.5625,0.5625,270.0,311.35831566792064,74469.0,frontier;replicate
humaneval,32,16,16,128,0.9,384,serving_native,3,16.384523630142212,15.669158220291138,16.833834886550903,0.53125,0.53125,0.53125,189.0,469.7352680834427,74609.0,frontier;replicate
humaneval,32,32,16,128,0.9,384,serving_native,3,17.755085706710815,16.602699518203735,18.890134811401367,0.53125,0.53125,0.53125,200.0,432.6314567719403,74767.0,frontier;replicate
humaneval,32,64,16,128,0.9,384,serving_native,3,14.749307632446289,14.04149317741394,15.246544361114502,0.53125,0.53125,0.53125,166.0,510.4534879255151,74641.0,frontier;replicate
humaneval,32,128,8,128,0.9,384,serving_native,3,22.377134561538696,21.195094108581543,23.338184356689453,0.5625,0.5625,0.5625,252.0,317.58296803415885,66791.0,matched;replicate
