task,plan,repeat,mini_batch_size,oracle,baseline_policy,baseline_schedule,baseline_seconds,baseline_correct,candidate_policy,candidate_schedule,candidate_seconds,candidate_correct,gain_percent,actual_trajectory
gsm8k,dynamic_core,1,32,O0_latency_only,fixed32,[32],8.416436672210693,13,16_32,"[16,32]",18.601152896881104,14,-121.0098361257586,True
gsm8k,dynamic_core,1,32,O1_dataset_score_preserving,fixed32,[32],8.416436672210693,13,16_32,"[16,32]",18.601152896881104,14,-121.0098361257586,True
gsm8k,dynamic_core,1,32,O2_per_request_safe,fixed32,[32],8.416436672210693,13,NONE,[],,,,True
gsm8k,dynamic_core,1,32,O3_one_sample_epsilon,fixed32,[32],8.416436672210693,13,16_32,"[16,32]",18.601152896881104,14,-121.0098361257586,True
gsm8k,dynamic_core,5,32,O0_latency_only,fixed32,[32],14.84148097038269,13,64_16_32,"[64,16,32]",16.613215684890747,14,-11.937721835467018,True
gsm8k,dynamic_core,5,32,O1_dataset_score_preserving,fixed32,[32],14.84148097038269,13,64_16_32,"[64,16,32]",16.613215684890747,14,-11.937721835467018,True
gsm8k,dynamic_core,5,32,O2_per_request_safe,fixed32,[32],14.84148097038269,13,NONE,[],,,,True
gsm8k,dynamic_core,5,32,O3_one_sample_epsilon,fixed32,[32],14.84148097038269,13,64_16_32,"[64,16,32]",16.613215684890747,14,-11.937721835467018,True
gsm8k,dynamic_core_reversed,2,32,O0_latency_only,fixed32,[32],8.975278377532959,13,64_32,"[64,32]",20.36397933959961,14,-126.88966829792159,True
gsm8k,dynamic_core_reversed,2,32,O1_dataset_score_preserving,fixed32,[32],8.975278377532959,13,64_32,"[64,32]",20.36397933959961,14,-126.88966829792159,True
gsm8k,dynamic_core_reversed,2,32,O2_per_request_safe,fixed32,[32],8.975278377532959,13,NONE,[],,,,True
gsm8k,dynamic_core_reversed,2,32,O3_one_sample_epsilon,fixed32,[32],8.975278377532959,13,64_32,"[64,32]",20.36397933959961,14,-126.88966829792159,True
gsm8k,dynamic_wide,1,16,O0_latency_only,fixed64,[64],11.586820840835571,14,64_128,"[64,128]",17.34229826927185,9,-49.67261950018405,True
gsm8k,dynamic_wide,1,16,O1_dataset_score_preserving,fixed64,[64],11.586820840835571,14,NONE,[],,,,True
gsm8k,dynamic_wide,1,16,O2_per_request_safe,fixed64,[64],11.586820840835571,14,NONE,[],,,,True
gsm8k,dynamic_wide,1,16,O3_one_sample_epsilon,fixed64,[64],11.586820840835571,14,64_32,"[64,32]",18.24557065963745,13,-57.468307400890914,True
gsm8k,dynamic_wide,7,8,O0_latency_only,fixed128,[128],13.75614070892334,5,128_64,"[128,64]",21.647664546966553,2,-57.367280584184016,True
gsm8k,dynamic_wide,7,8,O1_dataset_score_preserving,fixed32,[32],14.128215312957764,6,64_32,"[64,32]",29.337408542633057,6,-107.6511993395663,True
gsm8k,dynamic_wide,7,8,O2_per_request_safe,fixed32,[32],14.128215312957764,6,64_32,"[64,32]",29.337408542633057,6,-107.6511993395663,True
gsm8k,dynamic_wide,7,8,O3_one_sample_epsilon,fixed32,[32],14.128215312957764,6,64_32,"[64,32]",29.337408542633057,6,-107.6511993395663,True
gsm8k,exhaustive_128,9,8,O0_latency_only,32_32_32_32,"[32,32,32,32]",8.199750185012817,5,32_32_32_16_16,"[32,32,32,16,16]",10.595595836639404,5,-29.21852004717924,True
gsm8k,exhaustive_128,9,8,O1_dataset_score_preserving,32_32_32_32,"[32,32,32,32]",8.199750185012817,5,32_32_32_16_16,"[32,32,32,16,16]",10.595595836639404,5,-29.21852004717924,True
gsm8k,exhaustive_128,9,8,O2_per_request_safe,32_32_32_32,"[32,32,32,32]",8.199750185012817,5,32_32_32_16_16,"[32,32,32,16,16]",10.595595836639404,5,-29.21852004717924,True
gsm8k,exhaustive_128,9,8,O3_one_sample_epsilon,32_32_32_32,"[32,32,32,32]",8.199750185012817,5,32_32_32_16_16,"[32,32,32,16,16]",10.595595836639404,5,-29.21852004717924,True
