plan,task,n,mini,target,threshold,repeat,barrier,policy,block_schedule,request_id,request_model_seconds,request_nfe,generated_length
request_tournament,gsm8k,8,1,256,0.9,6,,128_64,"[128,64]",1,3.0361392498016357,40,114
request_tournament,gsm8k,8,1,256,0.9,6,,128_64,"[128,64]",3,4.226527690887451,51,128
request_tournament,gsm8k,8,1,256,0.9,6,,128_64,"[128,64]",6,3.7864603996276855,45,190
request_tournament,gsm8k,8,1,256,0.9,6,,128_64,"[128,64]",5,8.39618992805481,93,182
request_tournament,gsm8k,8,1,256,0.9,6,,128_64,"[128,64]",2,8.80251693725586,97,181
request_tournament,gsm8k,8,1,256,0.9,6,,128_64,"[128,64]",0,5.960022687911987,75,175
request_tournament,gsm8k,8,1,256,0.9,6,,128_64,"[128,64]",7,6.097286224365234,71,168
request_tournament,gsm8k,8,1,256,0.9,6,,128_64,"[128,64]",4,5.488156080245972,62,128
request_tournament,gsm8k,8,1,256,0.9,6,,16_32,"[16,32]",1,3.0354785919189453,40,114
request_tournament,gsm8k,8,1,256,0.9,6,,16_32,"[16,32]",3,3.846284866333008,51,128
request_tournament,gsm8k,8,1,256,0.9,6,,16_32,"[16,32]",6,3.418952703475952,45,190
request_tournament,gsm8k,8,1,256,0.9,6,,16_32,"[16,32]",5,7.016632318496704,93,182
request_tournament,gsm8k,8,1,256,0.9,6,,16_32,"[16,32]",2,7.3668739795684814,97,181
request_tournament,gsm8k,8,1,256,0.9,6,,16_32,"[16,32]",0,5.653402328491211,75,175
request_tournament,gsm8k,8,1,256,0.9,6,,16_32,"[16,32]",7,5.766289949417114,71,168
request_tournament,gsm8k,8,1,256,0.9,6,,16_32,"[16,32]",4,5.566751718521118,62,128
request_tournament,gsm8k,8,1,256,0.9,6,,16_64_32,"[16,64,32]",1,3.045786142349243,40,114
request_tournament,gsm8k,8,1,256,0.9,6,,16_64_32,"[16,64,32]",3,3.8987231254577637,51,128
request_tournament,gsm8k,8,1,256,0.9,6,,16_64_32,"[16,64,32]",6,3.4214818477630615,45,190
request_tournament,gsm8k,8,1,256,0.9,6,,16_64_32,"[16,64,32]",5,7.343292951583862,93,182
request_tournament,gsm8k,8,1,256,0.9,6,,16_64_32,"[16,64,32]",2,7.41851806640625,97,181
request_tournament,gsm8k,8,1,256,0.9,6,,16_64_32,"[16,64,32]",0,5.737074851989746,75,175
request_tournament,gsm8k,8,1,256,0.9,6,,16_64_32,"[16,64,32]",7,5.412919521331787,71,168
request_tournament,gsm8k,8,1,256,0.9,6,,16_64_32,"[16,64,32]",4,4.74842643737793,62,128
request_tournament,gsm8k,8,1,256,0.9,6,,32_16,"[32,16]",1,3.5654566287994385,40,114
request_tournament,gsm8k,8,1,256,0.9,6,,32_16,"[32,16]",3,4.558472156524658,51,128
request_tournament,gsm8k,8,1,256,0.9,6,,32_16,"[32,16]",6,4.0284857749938965,45,190
request_tournament,gsm8k,8,1,256,0.9,6,,32_16,"[32,16]",5,8.32665729522705,93,182
request_tournament,gsm8k,8,1,256,0.9,6,,32_16,"[32,16]",2,8.643710613250732,97,181
request_tournament,gsm8k,8,1,256,0.9,6,,32_16,"[32,16]",0,6.781461954116821,75,175
request_tournament,gsm8k,8,1,256,0.9,6,,32_16,"[32,16]",7,5.643727779388428,71,168
request_tournament,gsm8k,8,1,256,0.9,6,,32_16,"[32,16]",4,4.843476295471191,62,128
request_tournament,gsm8k,8,1,256,0.9,6,,32_64,"[32,64]",1,3.086097002029419,40,114
request_tournament,gsm8k,8,1,256,0.9,6,,32_64,"[32,64]",3,4.030702352523804,51,128
request_tournament,gsm8k,8,1,256,0.9,6,,32_64,"[32,64]",6,3.4748475551605225,45,190
