dataset,pair,samples,rank_critical_serial_median_ms,rank_critical_concurrent_median_ms,real_saving_median_ms,real_saving_p10_ms,real_saving_p90_ms,min_compute_cosine,max_compute_rel_l2
gsm8k,combine_wave0__expert_wave30,30,0.861567996442318,0.8022400140762329,0.06169600039720535,0.02435840666294098,0.10016962587833407,0.9999998807907104,0.0
gsm8k,combine_wave0__expert_wave60,30,0.6749119982123375,0.5662400126457214,0.12009599804878235,0.012368021905422223,0.23442881405353547,1.0,0.0
gsm8k,combine_wave30__expert_wave0,30,1.0566879957914352,1.0274239778518677,0.033711988478899,-0.015424033254384992,0.07638401985168458,0.9999999403953552,0.0
gsm8k,combine_wave30__expert_wave60,30,0.6347519978880882,0.5390880107879639,0.10219202935695648,0.04012161195278168,0.13379841446876525,1.0,0.0
gsm8k,combine_wave60__expert_wave0,30,1.0837439969182014,1.0273280143737793,0.05785598233342171,0.01460486501455307,0.11474557518959046,0.9999999403953552,0.0
gsm8k,combine_wave60__expert_wave30,30,0.8308640196919441,0.7904959917068481,0.03228797763586044,0.013420794904232026,0.08436155170202256,0.9999998807907104,0.0
gsm8k,dispatch_wave0__expert_wave30,30,0.9042880013585091,0.8399519920349121,0.06785597652196884,0.0037792205810546877,0.08956797271966935,0.9999998807907104,0.0
gsm8k,dispatch_wave0__expert_wave60,30,0.6664319932460785,0.5998719930648804,0.06334400177001953,0.0060768023133277935,0.1218143865466118,1.0,0.0
gsm8k,dispatch_wave30__expert_wave0,30,1.124399982392788,1.0711359977722168,0.04926402121782303,0.01913283914327622,0.09044801592826844,0.9999999403953552,0.0
gsm8k,dispatch_wave30__expert_wave60,30,0.6725279986858368,0.621504008769989,0.05355197936296463,-0.007638387382030473,0.11502079963684085,1.0,0.0
gsm8k,dispatch_wave60__expert_wave0,30,1.1226719915866852,1.067296028137207,0.053551994264125824,0.027408029139041903,0.08704954832792282,0.9999999403953552,0.0
gsm8k,dispatch_wave60__expert_wave30,30,0.8920320197939873,0.8374239802360535,0.04982402175664902,0.022694391012191773,0.08583680242300037,0.9999998807907104,0.0
humaneval,combine_wave0__expert_wave40,30,1.101663999259472,0.994047999382019,0.10918401926755905,0.07795199304819107,0.14248320162296296,1.0,0.0
humaneval,combine_wave0__expert_wave80,30,0.6216160207986832,0.5977599918842316,0.03033597394824028,0.01120959520339966,0.12170561552047739,0.9999999403953552,0.0
humaneval,combine_wave40__expert_wave0,30,0.9956959933042526,0.9145280122756958,0.07713600993156433,0.04652800559997559,0.10672960728406908,0.9999998807907104,0.0
humaneval,combine_wave40__expert_wave80,30,0.6464960128068924,0.5857920050621033,0.05800002068281174,0.021286401897668842,0.08454723060131074,0.9999999403953552,0.0
humaneval,combine_wave80__expert_wave0,30,0.9849919900298119,0.9053280055522919,0.07468798756599426,0.04920641034841538,0.09433279037475586,0.9999998807907104,0.0
humaneval,combine_wave80__expert_wave40,30,1.0952320098876953,0.9940800070762634,0.10238401591777802,0.07212483137845993,0.14037441015243532,1.0,0.0
humaneval,dispatch_wave0__expert_wave40,30,1.1091680079698563,1.0395520329475403,0.06951998174190521,0.03746563047170639,0.11870083659887314,1.0,0.0
humaneval,dispatch_wave0__expert_wave80,30,0.6989760026335716,0.6431680023670197,0.051727987825870514,0.02278397679328919,0.07957759052515032,0.9999999403953552,0.0
humaneval,dispatch_wave40__expert_wave0,30,1.0283039957284927,0.9644160270690918,0.064224012196064,0.018969593942165377,0.09863039851188661,0.9999998807907104,0.0
humaneval,dispatch_wave40__expert_wave80,30,0.7028799802064896,0.6296799778938293,0.07160000503063202,0.05182715654373169,0.09161275327205659,0.9999999403953552,0.0
humaneval,dispatch_wave80__expert_wave0,30,1.0154560059309006,0.9592960178852081,0.05728001147508621,0.03194878771901131,0.09040320068597796,0.9999998807907104,0.0
humaneval,dispatch_wave80__expert_wave40,30,1.0971040278673172,1.0562880039215088,0.04296000301837921,0.00807996988296509,0.08283202946186068,1.0,0.0
