dataset,restart,requests,nfe,wall_seconds,tokens_per_second,answer_sha256,source
gsm8k,1,32,66,5.762448787689209,461.77910399904073,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/logs/clean_gsm8k_ep4_b32_mini32_r1_g32.log
gsm8k,2,32,66,5.844923257827759,455.2524872708635,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/logs/clean_gsm8k_ep4_b32_mini32_r2_g32.log
gsm8k,3,32,66,6.089322090148926,436.9794212478181,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/logs/clean_gsm8k_ep4_b32_mini32_r3_g32.log
humaneval,1,32,86,7.262098789215088,455.6464532107218,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/logs/clean_humaneval_ep4_b32_mini32_r1_g32.log
humaneval,2,32,86,7.117711544036865,464.903018297967,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/logs/clean_humaneval_ep4_b32_mini32_r2_g32.log
humaneval,3,32,86,7.440425872802734,444.7192591399883,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/logs/clean_humaneval_ep4_b32_mini32_r3_g32.log
