dataset,wave,pair,samples,rank_critical_serial_median_ms,rank_critical_concurrent_median_ms,real_saving_median_ms,real_saving_p10_ms,real_saving_p90_ms,eta_median,compute_slowdown_median,min_compute_cosine,max_compute_rel_l2
gsm8k,0,combine__attention,60,0.84723199903965,0.7822079956531525,0.06747199594974518,0.01725757718086243,0.11552318930625916,0.18036143701898216,1.0199374879753633,0.9999999403953552,0.0
gsm8k,0,combine__shared,60,0.37382400035858154,0.2824319899082184,0.08868799358606339,0.04024638086557389,0.12577600479125978,0.3911041430102129,0.9742879012616211,1.0,0.0
gsm8k,0,dispatch__attention,60,0.7843359932303429,0.8413600027561188,-0.04963202774524689,-0.12936316132545472,0.03183678686618809,-0.3137135709366714,0.983657180227663,0.9999999403953552,0.0
gsm8k,0,dispatch__shared,60,0.3094720020890236,0.35947200655937195,-0.04107198864221573,-0.10350719392299652,-0.009699207544326778,-0.3023229932466538,0.9784427776340314,1.0,0.0
gsm8k,0,dispatch_next__expert_current,60,1.1235520020127296,1.0783519744873047,0.04321598261594772,0.014806401729583743,0.07488318234682083,0.27171902027544736,1.0,0.9999999403953552,0.0
gsm8k,0,dispatch_next__expert_current__combine_previous,30,1.2643519937992096,1.1243199706077576,0.1403999701142311,0.11692485362291336,0.16413433998823165,0.5613276231530202,1.0,0.9999999403953552,0.0
gsm8k,0,expert_current__combine_previous,60,1.0860960334539413,1.0207040309906006,0.06584002077579498,0.0363071970641613,0.0916415885090828,0.5886501121561178,1.0,0.9999999403953552,0.0
gsm8k,0,remote_dispatch__local_expert,60,0.9741600155830383,0.9986720085144043,-0.02126403898000717,-0.05558086335659027,0.04725436270236969,-0.14135130450482714,1.0128441350216126,1.0,0.0
gsm8k,30,combine__attention,30,0.8183199986815453,0.7897599935531616,0.03251199424266815,-0.02633281499147415,0.07405120134353638,-0.009973980927023392,1.0241511695665162,0.9999999403953552,0.0
gsm8k,30,combine__shared,30,0.3478880003094673,0.2933120131492615,0.04897599667310715,0.01119360476732255,0.11180160194635394,0.0900808708457134,1.0000097289151342,0.9999998807907104,0.0
gsm8k,30,dispatch__attention,30,0.7775040194392204,0.8465920090675354,-0.07472000271081924,-0.18109122738242148,-0.01118721961975094,-0.4748088296828999,1.0034136061207601,0.9999999403953552,0.0
gsm8k,30,dispatch__shared,30,0.30080000311136246,0.3728480041027069,-0.05782400816679001,-0.14142080396413803,0.014268788695335391,-0.438764003389395,0.9808217522156373,0.9999998807907104,0.0
gsm8k,30,dispatch_next__expert_current,30,0.8586240112781525,0.8260320127010345,0.025679998099803925,0.001539213955402378,0.068454410135746,0.20415031447594745,1.0,0.9999998807907104,0.0
gsm8k,30,dispatch_next__expert_current__combine_previous,30,0.9871839769184589,0.8828639984130859,0.10609601065516472,0.08047995790839195,0.13242878913879397,0.48381135972884404,1.0,0.9999998807907104,0.0
gsm8k,30,expert_current__combine_previous,30,0.8113279901444912,0.780239999294281,0.03336000069975853,0.009481646120548252,0.05204158723354339,0.3848012491297418,1.0,0.9999998807907104,0.0
gsm8k,30,remote_dispatch__local_expert,30,0.7346079871058464,0.765504002571106,-0.0244319848716259,-0.07806403785943986,0.023398354649543776,-0.2824008450344685,1.0053204925979997,0.9999998807907104,0.0
gsm8k,60,combine__attention,30,0.7704320214688778,0.8005920052528381,-0.022432006895542145,-0.09233597815036773,0.03322236984968186,-0.30223508347852013,1.0195907756892468,0.9999999403953552,0.0
gsm8k,60,combine__shared,30,0.28644800186157227,0.2897919863462448,-0.008271999657154083,-0.041168013215065004,0.032524797320365915,-0.10388779480882951,1.0056282260246774,0.9999998211860657,0.0
gsm8k,60,dispatch__attention,30,0.7839840091764927,0.8561919927597046,-0.07843203097581863,-0.12484480887651443,-0.010835197567939752,-0.4818284873244085,0.9796551101326652,0.9999999403953552,0.0
gsm8k,60,dispatch__shared,30,0.2980960011482239,0.34942400455474854,-0.04811199754476547,-0.13026880472898483,0.0026399999856948947,-0.40178085367579486,0.969003141914429,0.9999998211860657,0.0
gsm8k,60,dispatch_next__expert_current,30,0.6005760096013546,0.5857439935207367,0.022944018244743347,-0.0325951799750328,0.05643837451934816,0.18900069751805393,1.0,1.0,0.0
gsm8k,60,dispatch_next__expert_current__combine_previous,30,0.7431040033698082,0.626336008310318,0.12624000385403633,0.0717695951461792,0.1793120533227921,0.5227653474232417,1.0,1.0,0.0
gsm8k,60,expert_current__combine_previous,30,0.5582880079746246,0.5170080065727234,0.034447986632585526,0.004105582088232047,0.07179836705327036,0.2732693682140602,1.0,1.0,0.0
gsm8k,60,remote_dispatch__local_expert,30,0.7160319834947586,0.768671989440918,-0.05536003038287163,-0.0775488182902336,0.008355219662189498,-0.39429574405230405,1.017104592342198,0.9999999403953552,0.0
