dataset,path,requests,answer_sha256,matches_clean_reference,semantic_boundary
gsm8k,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/clean/gsm8k/r1/clean_gsm8k_ep4_b32_mini32_r1_g32_gsm8k_32_42_threshold_0.9_0.jsonl,32,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,True,diagnostic replay; production output unchanged
gsm8k,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/clean/gsm8k/r2/clean_gsm8k_ep4_b32_mini32_r2_g32_gsm8k_32_42_threshold_0.9_0.jsonl,32,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,True,diagnostic replay; production output unchanged
gsm8k,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/clean/gsm8k/r3/clean_gsm8k_ep4_b32_mini32_r3_g32_gsm8k_32_42_threshold_0.9_0.jsonl,32,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,True,diagnostic replay; production output unchanged
humaneval,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/clean/humaneval/r1/clean_humaneval_ep4_b32_mini32_r1_g32_humaneval_32_42_threshold_0.9_0.jsonl,32,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,True,diagnostic replay; production output unchanged
humaneval,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/clean/humaneval/r2/clean_humaneval_ep4_b32_mini32_r2_g32_humaneval_32_42_threshold_0.9_0.jsonl,32,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,True,diagnostic replay; production output unchanged
humaneval,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/clean/humaneval/r3/clean_humaneval_ep4_b32_mini32_r3_g32_humaneval_32_42_threshold_0.9_0.jsonl,32,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,True,diagnostic replay; production output unchanged
gsm8k,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/pairwise/gsm8k/wave0/r1/generation/pair_gsm8k_wave0_layer16_r1_gsm8k_32_42_threshold_0.9_0.jsonl,32,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,True,diagnostic replay; production output unchanged
gsm8k,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/pairwise/gsm8k/wave0/r2/generation/pair_gsm8k_wave0_layer16_r2_gsm8k_32_42_threshold_0.9_0.jsonl,32,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,True,diagnostic replay; production output unchanged
gsm8k,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/pairwise/gsm8k/wave30/r1/generation/pair_gsm8k_wave30_layer16_r1_gsm8k_32_42_threshold_0.9_0.jsonl,32,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,True,diagnostic replay; production output unchanged
gsm8k,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/pairwise/gsm8k/wave60/r1/generation/pair_gsm8k_wave60_layer16_r1_gsm8k_32_42_threshold_0.9_0.jsonl,32,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,True,diagnostic replay; production output unchanged
humaneval,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/pairwise/humaneval/wave0/r1/generation/pair_humaneval_wave0_layer16_r1_humaneval_32_42_threshold_0.9_0.jsonl,32,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,True,diagnostic replay; production output unchanged
humaneval,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/pairwise/humaneval/wave40/r1/generation/pair_humaneval_wave40_layer16_r1_humaneval_32_42_threshold_0.9_0.jsonl,32,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,True,diagnostic replay; production output unchanged
humaneval,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/pairwise/humaneval/wave80/r1/generation/pair_humaneval_wave80_layer16_r1_humaneval_32_42_threshold_0.9_0.jsonl,32,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,True,diagnostic replay; production output unchanged
gsm8k,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/phase_pair/gsm8k/waves0-30-60/r1/phase_pair_gsm8k_ep4_b32_mini32_r1_g32_gsm8k_32_42_threshold_0.9_0.jsonl,32,ba07d77ce075e04961da2a6bb1fc253f02d9ebf2a063f218da98e82c846b21b9,True,diagnostic replay; production output unchanged
humaneval,/home/esjung/MLLM-EP-exact-overlap/poc_dllm_exact_overlap/results/exact_overlap_20260913_134622/phase_pair/humaneval/waves0-40-80/r1/phase_pair_humaneval_ep4_b32_mini32_r1_g32_humaneval_32_42_threshold_0.9_0.jsonl,32,23a6c030cefef3be7d6187a44b1c491032831fbc44abd384e92275cd7c79afe4,True,diagnostic replay; production output unchanged
