wave,request_id,phase,iteration,stock_ms,critical_ep_rank_stock,rank_spread_ms_stock,wavefront_ms,critical_ep_rank_wavefront,rank_spread_ms_wavefront,speedup
2,coins,measured,0,91.91209411621094,0,0.07372283935546875,752.5687255859375,1,1.56378173828125,0.12213116356203842
3,coins,measured,1,141.62889099121094,2,2.79595947265625,736.300048828125,0,0.36798095703125,0.19235214124543873
4,coins,measured,2,142.01242065429688,1,0.086334228515625,779.7452392578125,3,0.5845947265625,0.18212669151974437
5,coins,measured,3,142.9180145263672,3,0.0753326416015625,738.185302734375,1,0.459228515625,0.19360723384355175
6,coins,measured,4,142.03660583496094,1,0.162811279296875,738.1885375976562,2,2.91925048828125,0.19241236974120676
7,coins,measured,5,142.10745239257812,1,0.0254364013671875,722.231689453125,0,1.0611572265625,0.19676158560721993
8,coins,measured,6,142.8140869140625,1,0.107147216796875,735.2296752929688,1,0.50103759765625,0.1942441820743362
12,clock_motion,measured,0,164.02870178222656,3,0.5457000732421875,740.791259765625,2,0.0855712890625,0.2214236461619738
13,clock_motion,measured,1,152.60243225097656,0,0.6400299072265625,742.5626831054688,1,1.96148681640625,0.20550781196380416
14,clock_motion,measured,2,151.4883270263672,0,0.6970367431640625,736.7637329101562,0,0.4918212890625,0.20561317049089908
15,clock_motion,measured,3,150.6042938232422,1,0.414764404296875,760.069580078125,1,2.9737548828125,0.19814540375074882
16,clock_motion,measured,4,151.9671630859375,1,0.395904541015625,745.027099609375,2,2.70684814453125,0.20397534957535823
17,clock_motion,measured,5,94.80521392822266,0,0.5866241455078125,786.2591552734375,2,0.302734375,0.12057756439764727
18,clock_motion,measured,6,105.40016174316406,0,3.1895370483398438,725.0747680664062,1,0.26983642578125,0.1453645422309206
22,cat,measured,0,94.39289855957031,3,1.6735687255859375,735.0239868164062,2,0.42095947265625,0.12842152127362844
23,cat,measured,1,95.59107208251953,1,3.3846054077148438,725.2520141601562,0,0.548583984375,0.13180393879114455
24,cat,measured,2,103.32160186767578,0,10.968772888183594,724.550048828125,0,0.89337158203125,0.14260105569627163
25,cat,measured,3,92.22681427001953,2,0.18108367919921875,716.1222534179688,3,0.94195556640625,0.12878641018322165
26,cat,measured,4,95.44140625,1,2.663360595703125,728.326416015625,1,0.37786865234375,0.13104207694692824
27,cat,measured,5,91.98761749267578,3,0.0654449462890625,735.319580078125,1,0.39215087890625,0.12509882775446077
28,cat,measured,6,104.26172637939453,2,0.17081451416015625,720.24267578125,3,1.1495361328125,0.14475916227305113
32,phantom,measured,0,95.41725158691406,0,0.2008056640625,737.8533935546875,1,0.26666259765625,0.12931735819121365
33,phantom,measured,1,103.50109100341797,3,0.49261474609375,730.7045288085938,1,0.3336181640625,0.141645613134731
34,phantom,measured,2,95.77030181884766,0,0.0250244140625,735.6826171875,3,0.21173095703125,0.13017882926876215
35,phantom,measured,3,94.69270324707031,3,0.10037994384765625,743.1484985351562,0,0.4923095703125,0.12742097095496005
36,phantom,measured,4,100.83602905273438,1,0.4148101806640625,740.484375,1,2.08935546875,0.1361757688036758
37,phantom,measured,5,115.5719985961914,0,0.07503509521484375,746.8094482421875,2,0.558349609375,0.1547543337436618
38,phantom,measured,6,104.40617370605469,0,0.18099212646484375,744.25439453125,0,0.39892578125,0.1402829119629348
42,color_wheel,measured,0,143.63600158691406,0,0.4967041015625,733.7700805664062,2,0.61285400390625,0.19575069274566176
43,color_wheel,measured,1,153.10716247558594,2,0.7838287353515625,732.3408203125,3,0.5478515625,0.20906544907636446
44,color_wheel,measured,2,124.71190643310547,2,0.4884796142578125,881.6148071289062,1,1.231201171875,0.14145849800237145
45,color_wheel,measured,3,151.6844482421875,2,0.8045196533203125,748.5646362304688,2,0.3785400390625,0.20263373515214625
46,color_wheel,measured,4,153.2637481689453,2,0.798431396484375,733.880859375,0,0.60968017578125,0.2088400946980282
47,color_wheel,measured,5,96.62899017333984,2,0.028350830078125,754.9024658203125,3,1.22930908203125,0.12800195329649405
48,color_wheel,measured,6,170.02198791503906,3,0.187164306640625,735.7640380859375,3,0.610107421875,0.23108222081272806
52,coffee,measured,0,98.7086410522461,0,1.187042236328125,361.5045471191406,0,12.029327392578125,0.27304951442205455
53,coffee,measured,1,95.31334686279297,0,1.5054397583007812,891.7314453125,1,1.29925537109375,0.10688570798284587
54,coffee,measured,2,93.8559341430664,0,0.1221771240234375,1070.172119140625,3,1.4976806640625,0.08770171869029354
55,coffee,measured,3,93.227294921875,0,0.14867401123046875,887.21484375,1,1.15667724609375,0.10507860139921718
56,coffee,measured,4,94.22515106201172,2,0.10294342041015625,1069.1326904296875,2,0.998779296875,0.08813232623552307
57,coffee,measured,5,104.02044677734375,3,0.02918243408203125,735.2561645507812,1,2.68597412109375,0.14147511002630903
58,coffee,measured,6,93.38726043701172,1,0.0788116455078125,725.6178588867188,0,2.023193359375,0.12870033350652557
62,moon,measured,0,121.06969451904297,2,0.190338134765625,880.9142456054688,3,0.37152099609375,0.13743641350223543
63,moon,measured,1,120.7635498046875,2,0.372955322265625,882.6842651367188,3,0.76123046875,0.13681398272799444
64,moon,measured,2,93.54518127441406,1,0.11708831787109375,708.8184204101562,2,1.24810791015625,0.13197340613733535
65,moon,measured,3,93.17411041259766,2,0.4739837646484375,880.2547607421875,0,0.7750244140625,0.10584902754066088
