wave,request_id,layer,ubatch_id,start_ms,end_ms,duration_ms,ep_rank
82,histology,0,0,0.4540480077266693,17.645248413085938,17.191200256347656,0
82,histology,0,1,5.860191822052002,22.621280670166016,16.76108741760254,0
82,histology,1,0,18.166847229003906,35.43056106567383,17.26371192932129,0
82,histology,1,1,23.11484718322754,40.353759765625,17.23891258239746,0
82,histology,2,0,35.948734283447266,53.258689880371094,17.309951782226562,0
82,histology,2,1,40.8699836730957,58.2151985168457,17.345216751098633,0
82,histology,3,0,53.76508712768555,70.93917083740234,17.17407989501953,0
82,histology,3,1,58.70899200439453,75.8589096069336,17.149919509887695,0
82,histology,4,0,71.38777923583984,89.4546890258789,18.066911697387695,0
82,histology,4,1,76.25939178466797,94.31916809082031,18.059776306152344,0
82,histology,5,0,89.90835571289062,108.71577453613281,18.807424545288086,0
82,histology,5,1,94.7396469116211,113.66633605957031,18.926687240600586,0
82,histology,6,0,109.23331451416016,127.42768096923828,18.194368362426758,0
82,histology,6,1,114.09709167480469,132.3454132080078,18.248319625854492,0
82,histology,7,0,127.87721252441406,146.1982421875,18.32102394104004,0
82,histology,7,1,132.76780700683594,151.11672973632812,18.348928451538086,0
82,histology,8,0,146.63197326660156,165.2250213623047,18.593055725097656,0
82,histology,8,1,151.51901245117188,170.0250244140625,18.50601577758789,0
82,histology,9,0,165.65280151367188,184.16668701171875,18.513887405395508,0
82,histology,9,1,170.4139862060547,189.06124877929688,18.64726448059082,0
82,histology,10,0,184.5944366455078,202.92335510253906,18.328927993774414,0
82,histology,10,1,189.54360961914062,207.7742462158203,18.230623245239258,0
82,histology,11,0,203.3534698486328,221.7725067138672,18.41904067993164,0
82,histology,11,1,208.19961547851562,226.6188201904297,18.419200897216797,0
82,histology,12,0,222.22915649414062,240.65382385253906,18.424671173095703,0
82,histology,12,1,227.06906127929688,245.5931854248047,18.524127960205078,0
82,histology,13,0,241.17481994628906,259.6568603515625,18.48204803466797,0
82,histology,13,1,246.01437377929688,264.5453796386719,18.531007766723633,0
82,histology,14,0,260.1094055175781,278.5044250488281,18.395008087158203,0
82,histology,14,1,265.0011901855469,283.391357421875,18.39017677307129,0
82,histology,15,0,278.9563293457031,297.4010009765625,18.444671630859375,0
82,histology,15,1,283.8447570800781,302.2936706542969,18.448896408081055,0
82,histology,16,0,297.8603210449219,316.0997619628906,18.239456176757812,0
82,histology,16,1,302.69122314453125,321.003662109375,18.312416076660156,0
82,histology,17,0,316.5309143066406,334.7584533691406,18.22755241394043,0
82,histology,17,1,321.4880676269531,339.6025390625,18.114463806152344,0
82,histology,18,0,335.20654296875,353.61175537109375,18.405216217041016,0
82,histology,18,1,340.0189208984375,358.4281005859375,18.409183502197266,0
82,histology,19,0,354.06781005859375,372.4255676269531,18.357759475708008,0
82,histology,19,1,358.87213134765625,377.40423583984375,18.53209686279297,0
82,histology,20,0,372.88519287109375,390.84979248046875,17.96460723876953,0
82,histology,20,1,377.82958984375,395.6747741699219,17.845184326171875,0
82,histology,21,0,391.2765197753906,409.8185729980469,18.54204750061035,0
82,histology,21,1,396.12237548828125,414.7624816894531,18.640127182006836,0
82,histology,22,0,410.2926025390625,428.2555847167969,17.962976455688477,0
82,histology,22,1,415.1879577636719,433.1832275390625,17.995264053344727,0
82,histology,23,0,428.6756286621094,446.1545715332031,17.478944778442383,0
82,histology,23,1,433.588623046875,451.0516052246094,17.463008880615234,0
82,histology,24,0,446.5788879394531,464.65142822265625,18.07254409790039,0
82,histology,24,1,451.4696350097656,469.6216125488281,18.151968002319336,0
82,histology,25,0,465.15478515625,483.62347412109375,18.468704223632812,0
82,histology,25,1,470.0465087890625,488.5160827636719,18.469600677490234,0
82,histology,26,0,484.07830810546875,502.4283447265625,18.350048065185547,0
82,histology,26,1,488.9727478027344,507.3472900390625,18.37455940246582,0
82,histology,27,0,502.88214111328125,520.9725341796875,18.090368270874023,0
82,histology,27,1,507.7381591796875,526.0321044921875,18.293983459472656,0
82,histology,28,0,521.4658203125,539.3577880859375,17.8919677734375,0
82,histology,28,1,526.4511108398438,544.2735595703125,17.822463989257812,0
82,histology,29,0,539.7808227539062,557.8599243164062,18.079072952270508,0
82,histology,29,1,544.6908569335938,562.7303466796875,18.039487838745117,0
82,histology,30,0,558.290283203125,576.6500244140625,18.359712600708008,0
82,histology,30,1,563.1566772460938,581.6002807617188,18.443552017211914,0
82,histology,31,0,577.1550903320312,595.3228149414062,18.167743682861328,0
82,histology,31,1,582.0208129882812,600.189453125,18.168672561645508,0
82,histology,32,0,595.7425537109375,613.8775024414062,18.13497543334961,0
