wave,request_id,layer,ubatch_id,start_ms,end_ms,duration_ms,ep_rank
82,histology,32,1,600.5787963867188,618.6865234375,18.10767936706543,0
82,histology,33,0,614.3073120117188,633.2027587890625,18.895423889160156,0
82,histology,33,1,619.113037109375,638.0641479492188,18.951072692871094,0
82,histology,34,0,633.63818359375,652.1154174804688,18.477216720581055,0
82,histology,34,1,638.4818725585938,657.0193481445312,18.537504196166992,0
82,histology,35,0,652.5413818359375,670.544677734375,18.003263473510742,0
82,histology,35,1,657.5081176757812,675.4570922851562,17.948991775512695,0
82,histology,36,0,671.0021362304688,689.4226684570312,18.42051124572754,0
82,histology,36,1,675.8787231445312,694.2698364257812,18.391103744506836,0
82,histology,37,0,689.8773193359375,708.2989501953125,18.421632766723633,0
82,histology,37,1,694.6548461914062,713.3228149414062,18.66796875,0
82,histology,38,0,708.7216796875,727.14697265625,18.42527961730957,0
82,histology,38,1,713.7388305664062,732.0530395507812,18.314207077026367,0
82,histology,39,0,727.5753784179688,745.9998779296875,18.424480438232422,0
82,histology,39,1,732.4742431640625,750.8368530273438,18.362560272216797,0
82,histology,40,0,746.42236328125,764.8460693359375,18.42367935180664,0
82,histology,40,1,751.2315673828125,769.733154296875,18.50160026550293,0
82,histology,41,0,765.3375244140625,783.1170043945312,17.77948760986328,0
82,histology,41,1,770.1564331054688,788.032470703125,17.87603187561035,0
82,histology,42,0,783.546630859375,802.0800170898438,18.533376693725586,0
82,histology,42,1,788.4207153320312,806.9376220703125,18.516895294189453,0
82,histology,43,0,802.50341796875,820.8680419921875,18.364639282226562,0
82,histology,43,1,807.3231811523438,825.72705078125,18.403839111328125,0
82,histology,44,0,821.364013671875,839.2498168945312,17.885791778564453,0
82,histology,44,1,826.148193359375,844.1036376953125,17.955455780029297,0
82,histology,45,0,839.6661987304688,857.914306640625,18.248159408569336,0
82,histology,45,1,844.513671875,862.73681640625,18.223167419433594,0
82,histology,46,0,858.33935546875,876.915771484375,18.576383590698242,0
82,histology,46,1,863.1592407226562,881.7425537109375,18.583328247070312,0
82,histology,47,0,877.40185546875,895.8175659179688,18.415679931640625,0
82,histology,47,1,882.171630859375,897.1998901367188,15.0282564163208,0
