request_id,stock_ms,wavefront_ms,speedup
bit_allocate,120.19379425048828,734.11962890625,0.16372507901683897
brick,124.81388854980469,768.1163330078125,0.16249347030684114
camera,94.08364868164062,763.1240234375,0.12328749428938152
cat,95.44140625,725.2520141601562,0.13159757489335813
cell,94.0950698852539,796.77734375,0.11809456007169997
clock_motion,151.4883270263672,742.5626831054688,0.20400746020905386
coffee,94.22515106201172,887.21484375,0.10620330771715825
coffee_rocket,96.5759048461914,730.4671630859375,0.13221115161179328
coins,142.03660583496094,738.185302734375,0.1924132129274737
color_wheel,151.6844482421875,735.7640380859375,0.2061590950228947
deep_field,142.5485076904297,736.5466918945312,0.19353628121493446
fast_gptq,126.28797149658203,749.3588256835938,0.16852803646020625
grass,147.6300506591797,774.3018188476562,0.1906621514577972
histology,95.62000274658203,826.1953125,0.1157353488937666
logo,124.06018829345703,785.046142578125,0.15802916741433579
method,98.27507019042969,748.3073120117188,0.13132982748254993
model_card,95.41232299804688,733.0958251953125,0.13014986543215817
moon,95.61917114257812,878.5133666992188,0.10884202195106243
motorcycle,93.97299194335938,703.2921142578125,0.13361871978691175
phantom,100.83602905273438,740.484375,0.1361757688036758
retina,95.68236541748047,741.0347290039062,0.12911994765224571
tui_log,97.8829116821289,719.5609130859375,0.13603144626400615
tui_main,96.42041778564453,734.9446411132812,0.13119412319217483
tui_model_selection,97.91385650634766,715.7069702148438,0.13680718587518503
