backend,active_positions,batch_size,local_m,restarts,dispatch_ms,dispatch_restart_cv_pct,expert_ms,expert_restart_cv_pct,combine_ms,combine_restart_cv_pct,moe_ms,moe_restart_cv_pct,dispatch_fraction,expert_fraction,combine_fraction
deepep_high_throughput,2,1,2,3,0.2860479950904846,0.9137479053827459,0.31623999774456024,0.7758159660420118,0.0796159990131855,0.44212321208170635,0.9932640194892883,0.9506178373083839,0.28798787580925705,0.31838463040991155,0.08015592778053318
deepep_high_throughput,2,2,4,3,0.2882720082998276,1.6238028846735162,0.31510400772094727,0.9290413925288571,0.07655999809503555,3.087419070385913,0.9918879866600037,0.7680200958688649,0.290629599487871,0.31768104055983254,0.07718613303588538
deepep_high_throughput,2,4,8,3,0.2955999970436096,13.958958831360437,0.3144479990005493,17.81395572643319,0.08660800009965897,32.05804477308757,1.007263958454132,15.705643425033566,0.29346825582568525,0.3121803340240019,0.08598342010824847
deepep_high_throughput,4,1,4,3,0.2932319939136505,46.76853271817028,0.3173920065164566,55.60930399758154,0.08384000137448311,66.67900948510224,1.001008003950119,50.77735634359125,0.292936712550265,0.31707239628852407,0.08375557542361162
deepep_high_throughput,4,2,8,3,0.2898560017347336,1.9622050102424178,0.3145599961280823,0.7385769334922466,0.08326400071382523,1.3915769878452646,0.997296005487442,1.042279459164291,0.290641895826167,0.3154128707999154,0.08348975655741127
deepep_high_throughput,4,4,16,3,0.2850400060415268,1.6586047936631387,0.3208480030298233,1.3161562906367241,0.07931199669837952,1.4813898463194226,0.9891999959945679,1.3822540910852,0.2881520493284475,0.32435099507580795,0.08017791853975609
deepep_high_throughput,8,1,8,3,0.2963840067386627,28.36618774034088,0.3160479962825775,25.737701964251748,0.08403199911117554,91.55847706738042,1.0015360116958618,21.940203814472095,0.2959294556336594,0.3155632873823736,0.08390312293303107
deepep_high_throughput,8,2,16,3,0.28619199991226196,0.6230185665660363,0.32049599289894104,0.14718934042996612,0.08062400296330452,1.8615274518518736,0.9991680085659027,1.1481301925881449,0.2864303074745466,0.3207628648548768,0.0806911372983443
deepep_high_throughput,8,4,32,3,0.2917439937591553,72.08505080210954,0.3176800012588501,68.05108019907642,0.08344000205397606,142.88282996488104,1.0058240294456482,63.62788864799139,0.2900547066070271,0.31584053667313644,0.0829568588652265
deepep_high_throughput,16,1,16,3,0.2847519963979721,1.7829754017002244,0.3144800066947937,1.572515751376851,0.07921599969267845,1.3883931664896103,0.9896639883518219,0.7598584074004561,0.28772593501375726,0.31776442347723094,0.08004332846808351
deepep_high_throughput,16,2,32,3,0.2974880039691925,2.9093968765410554,0.31972798705101013,2.4306444294749707,0.07976000010967255,5.880798104418139,1.0020800232887268,2.0644715932537836,0.2968705064021399,0.319064325822697,0.0795944418170399
deepep_high_throughput,16,4,64,3,0.286655992269516,1.3870793880309227,0.3524319976568222,0.3019745013701276,0.06087999977171421,8.345697683624499,0.9962399899959564,1.0483589241499924,0.2877378896130033,0.3537621468680982,0.061109773130027946
deepep_high_throughput,32,1,32,3,0.2906560003757477,1.5648333792551268,0.31627199053764343,1.2577466453795136,0.08107199892401695,3.6350225607344218,1.0018400251865387,1.247821021631483,0.2901221682789412,0.31569111094234314,0.08092309838481614
deepep_high_throughput,32,2,64,3,0.28811199963092804,2.820594988025145,0.3543040007352829,2.4280960966042855,0.0687520019710064,12.474639725368665,1.0139359831809998,1.6416841497623502,0.2841520612840274,0.3494342903422093,0.0678070441442587
deepep_high_throughput,32,4,128,3,0.28964799642562866,2.3329367065973634,0.41892799735069275,1.1560819297570215,0.05713599920272827,17.7703412233725,1.0160959959030151,1.514225763290244,0.2850596770320067,0.4122917510155003,0.056230906757929806
deepep_high_throughput,48,1,48,3,0.28942398726940155,0.11512200429224281,0.32761600613594055,0.6087565791248196,0.08167999982833862,1.5167392610167139,0.9999839663505554,1.007696170813786,0.28942862786656,0.32762125910035955,0.08168130947782097
deepep_high_throughput,48,2,96,3,0.29233600199222565,0.6490118083880189,0.4216800034046173,0.3081190074268994,0.042207999154925346,5.126174849844884,1.02292799949646,0.35898370339127056,0.28578355674703315,0.4122284301653595,0.04126194529400152
deepep_high_throughput,48,4,192,3,0.2918560057878494,0.9984859215604172,0.4413759857416153,1.0909702207434848,0.045744000002741814,17.864067199594672,1.0424319505691528,0.7365767218044726,0.2799760748205197,0.4234098786982022,0.04388200110114262
deepep_high_throughput,64,1,64,3,0.29313600063323975,2.9151146094108293,0.3532959967851639,0.7075895505141387,0.060944000259041786,5.484056558356061,1.0111199617385864,1.2068210213521775,0.2899121881929839,0.3494105646749209,0.06027375837210319
deepep_high_throughput,64,2,128,3,0.3049920052289963,40.28641124038742,0.42215999960899353,38.549101700697214,0.06518400087952614,98.43782243771287,1.0312159657478333,51.805271197220314,0.29575958417965087,0.4093807831057435,0.06321081426649071
deepep_high_throughput,64,4,256,3,0.3108479976654053,9.087629885794454,0.47278399765491486,7.3919591973560665,0.08027200028300285,31.763241914095484,1.1160480380058289,11.47477846345621,0.2785256432338101,0.4236233401742207,0.0719252196584961
deepep_high_throughput,96,1,96,3,0.29308800399303436,1.693775380515181,0.4230080097913742,0.7284128017801629,0.041919998824596405,7.518991139008153,1.0232959985733032,0.17425711337052002,0.2864156650682331,0.41337795748360123,0.040965662802397336
deepep_high_throughput,96,2,192,3,0.29369600117206573,1.065773329250525,0.4431679993867874,0.8508185032182496,0.04894400015473366,14.198142635424254,1.0453120470046997,0.3074948996963322,0.28096490613844927,0.42395761213760785,0.046822382172845664
deepep_high_throughput,128,1,128,3,0.289776012301445,4.426540899678451,0.41892799735069275,1.0647716883174005,0.052880000323057175,18.90162699570702,1.0220159888267517,1.7838099463302461,0.28353373672177135,0.4099035650426677,0.05174087382308183
deepep_high_throughput,128,2,256,3,0.2964000105857849,2.8428709562511196,0.4671519994735718,0.945795069079906,0.05766400136053562,13.457442937004263,1.0854399800300598,1.3426848642348592,0.2730690006255127,0.43038031403692595,0.053125002230836105
deepep_high_throughput,256,1,256,3,0.28856000304222107,2.0744512348995903,0.4591040015220642,0.3826298542421341,0.05462399870157242,6.427035404617812,1.058127999305725,0.6217378037178081,0.27270803081626743,0.433883237021701,0.05162324287554355
naive,2,1,2,3,0.2555360049009323,0.11901790526779091,0.42686399817466736,0.9232008226366483,0.09684799984097481,7.093969297605253,0.9646719992160797,0.6593363968740185,0.2648941869449805,0.44249651541824514,0.10039474548828647
naive,2,2,4,3,0.2598720043897629,0.6168393237276972,0.43348799645900726,1.2194179477166462,0.0952799990773201,1.495214208978264,0.9692160189151764,0.6551798670715301,0.2681259897877382,0.44725632676212007,0.09830625703438646
naive,2,4,8,3,0.26393601298332214,7.804593429932924,0.4382240027189255,0.08046673111535436,0.10180800035595894,21.26928670659162,0.9675680100917816,2.523382208213997,0.27278290541900585,0.45291286829269645,0.10522051090372617
naive,4,1,4,3,0.25835199654102325,7.603453698038885,0.4318400025367737,1.6520321271327822,0.10089600086212158,22.688008244408675,0.9592799842357635,2.5721074180092196,0.26931865647842784,0.45017097159679687,0.1051788867902869
naive,4,2,8,3,0.25839999318122864,1.6596742831607558,0.43006400763988495,0.5215176774794273,0.09886399656534195,4.488867360135644,0.9686239957809448,0.4841539299565746,0.2667701753278328,0.443994790045594,0.10206643341065869
naive,4,4,16,3,0.2600160092115402,0.7163087936399337,0.43220800161361694,0.07785189409040877,0.0966080017387867,6.036608579616621,0.9722079932689667,0.3928036235515961,0.2674489522939001,0.44456330806369354,0.0993696846843961
naive,8,1,8,3,0.2630079984664917,2.138814610235545,0.42980800569057465,2.3154235324859402,0.09851199761033058,6.221497338795314,0.9678559899330139,1.6466770571689955,0.27174290514510807,0.4440826012972467,0.101783735013252
naive,8,2,16,3,0.2649279981851578,1.1556460301699096,0.4338880032300949,2.6800027387948533,0.09857599809765816,12.092621307266938,0.979280024766922,0.9533383418209326,0.27053344445396316,0.4430683688594224,0.1006617061561326
naive,8,4,32,3,0.2630559951066971,1.4144787055185741,0.435711994767189,2.280870595450588,0.10371199995279312,13.816004989968716,0.9875999987125397,1.3921462848777422,0.2663588451292259,0.4411826603232019,0.10501417586876742
naive,16,1,16,3,0.25966401398181915,2.4355646988139648,0.43478401005268097,0.2453292960862902,0.10764800012111664,10.17443232314537,0.9692800045013428,0.7171553041507656,0.26789370746939767,0.4485638907576151,0.11105975530414185
naive,16,2,32,3,0.2635039985179901,0.5486157743858168,0.43830399215221405,0.3266506203145954,0.09803199768066406,5.442726053443538,0.9763360023498535,0.17195374029376667,0.26989069120035164,0.44892740931124164,0.10040805362571885
naive,16,4,64,3,0.2598240077495575,3.791287553839562,0.4636479914188385,0.08685539109343635,0.09561599791049957,7.954443238413749,0.9808000028133392,0.7869526693672153,0.26491028446602266,0.4727242965833041,0.09748776267968334
naive,32,1,32,3,0.26630400121212006,0.8838968552945196,0.43646399676799774,0.6453550335564798,0.10475199669599533,4.191841599260401,0.9797119796276093,0.13310885688933238,0.2718186638009089,0.4455023576764864,0.10692121651489023
naive,32,2,64,3,0.2664320021867752,2.282266886863872,0.47171199321746826,1.1660012931254289,0.09510400146245956,6.334533915108259,0.9886399805545807,0.7549913665500855,0.2694934530538805,0.4771322245665808,0.09619679896933835
naive,32,4,128,3,0.26123200356960297,1.680779743379428,0.5269440114498138,0.34548676820023266,0.03860799968242645,13.92683348081147,0.9888800084590912,0.3890837999316088,0.264169566919109,0.5328695159596938,0.039042148038351834
naive,48,1,48,3,0.264384001493454,4.153546861486851,0.4392160028219223,2.304999926957223,0.10393600165843964,7.104658102835129,0.9890240132808685,1.8504836338065953,0.2673180812025165,0.44409033241257745,0.10508946219986603
