backend,local_m,shape_factorizations,dispatch_ms,expert_ms,combine_ms,moe_ms,dispatch_fraction,expert_fraction,combine_fraction
naive,2,1,0.2555360049009323,0.42686399817466736,0.09684799984097481,0.9646719992160797,0.2648941869449805,0.44249651541824514,0.10039474548828647
naive,4,2,0.25911200046539307,0.4326639994978905,0.09808799996972084,0.96424800157547,0.26871925069280306,0.44870614073450754,0.1017248672638744
naive,8,3,0.2630079984664917,0.43006400763988495,0.09886399656534195,0.9678559899330139,0.27174290514510807,0.44434710547139356,0.10214742440369089
naive,16,3,0.2600160092115402,0.4338880032300949,0.09857599809765816,0.9722079932689667,0.2674489522939001,0.44629133501688606,0.10139393913662935
naive,32,3,0.2635039985179901,0.43646399676799774,0.10371199995279312,0.9797119796276093,0.2689606782374434,0.4455023576764864,0.10585968336552778
naive,48,1,0.264384001493454,0.4392160028219223,0.10393600165843964,0.9890240132808685,0.2673180812025165,0.44409033241257745,0.10508946219986603
naive,64,3,0.2598240077495575,0.4684000015258789,0.09561599791049957,0.9819839894771576,0.2645908798247279,0.4769935218345783,0.0973702208336501
naive,96,2,0.265407994389534,0.5287119895219803,0.04711200017482042,0.9958720058202744,0.2665081384338384,0.5309035563124337,0.04730728436935575
naive,128,3,0.26123200356960297,0.5266240239143372,0.04001599922776222,0.9888800084590912,0.264169566919109,0.5325459301527815,0.0404659805896133
naive,192,2,0.26504000276327133,0.5466880053281784,0.04400799982249737,1.0086640119552612,0.2627634173737399,0.5419921786130172,0.04362998907553898
naive,256,3,0.2619840055704117,0.572735995054245,0.06566400080919266,1.0536960363388062,0.2486333786361261,0.5435495392431059,0.06231778287536332
deepep_high_throughput,2,1,0.2860479950904846,0.31623999774456024,0.0796159990131855,0.9932640194892883,0.28798787580925705,0.31838463040991155,0.08015592778053318
deepep_high_throughput,4,2,0.29075200110673904,0.31624800711870193,0.08019999973475933,0.9964479953050613,0.29178843499777996,0.31737532576588,0.0804858859796353
deepep_high_throughput,8,3,0.2955999970436096,0.3145599961280823,0.08403199911117554,1.0015360116958618,0.29514664833976534,0.314077569308217,0.08390312293303107
deepep_high_throughput,16,3,0.2850400060415268,0.32049599289894104,0.07931199669837952,0.9896639883518219,0.2880169526186661,0.3238432404039399,0.08014032806272466
deepep_high_throughput,32,3,0.2917439937591553,0.3176800012588501,0.08107199892401695,1.0020800232887268,0.2911384190672523,0.3170205910464675,0.080903717307872
deepep_high_throughput,48,1,0.28942398726940155,0.32761600613594055,0.08167999982833862,0.9999839663505554,0.28942862786656,0.32762125910035955,0.08168130947782097
deepep_high_throughput,64,3,0.28811199963092804,0.3532959967851639,0.060944000259041786,1.0111199617385864,0.2849434394861805,0.3494105646749209,0.06027375837210319
deepep_high_throughput,96,2,0.29271200299263,0.42234400659799576,0.042063998989760876,1.0231119990348816,0.28609966774776374,0.4128032971917051,0.04111377740603232
deepep_high_throughput,128,3,0.289776012301445,0.41892799735069275,0.05713599920272827,1.0220159888267517,0.28353373672177135,0.4099035650426677,0.05590519113924915
deepep_high_throughput,192,2,0.2927760034799576,0.44227199256420135,0.047344000078737736,1.0438719987869263,0.28047117253857734,0.42368412322407484,0.04535421980257709
deepep_high_throughput,256,3,0.2964000105857849,0.4671519994735718,0.05766400136053562,1.0854399800300598,0.2730690006255127,0.43038031403692595,0.053125002230836105
