index, timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%]
0, 2026/09/06 18:36:51.798, 35, 1980 MHz, 131.31 W, 18 %
1, 2026/09/06 18:36:51.803, 28, 345 MHz, 72.44 W, 0 %
2, 2026/09/06 18:36:51.805, 28, 345 MHz, 70.72 W, 0 %
3, 2026/09/06 18:36:51.806, 31, 345 MHz, 70.64 W, 0 %
4, 2026/09/06 18:36:51.807, 34, 345 MHz, 71.65 W, 0 %
5, 2026/09/06 18:36:51.808, 33, 1980 MHz, 123.46 W, 19 %
6, 2026/09/06 18:36:51.811, 33, 1980 MHz, 122.79 W, 17 %
7, 2026/09/06 18:36:51.812, 28, 345 MHz, 71.08 W, 0 %
0, 2026/09/06 18:36:56.813, 35, 1980 MHz, 129.33 W, 16 %
1, 2026/09/06 18:36:56.813, 28, 345 MHz, 72.49 W, 0 %
2, 2026/09/06 18:36:56.813, 28, 345 MHz, 70.71 W, 0 %
3, 2026/09/06 18:36:56.813, 31, 345 MHz, 70.63 W, 0 %
4, 2026/09/06 18:36:56.813, 34, 345 MHz, 71.69 W, 0 %
5, 2026/09/06 18:36:56.813, 33, 1980 MHz, 123.46 W, 20 %
6, 2026/09/06 18:36:56.813, 33, 1980 MHz, 123.14 W, 15 %
7, 2026/09/06 18:36:56.813, 28, 345 MHz, 71.15 W, 0 %
0, 2026/09/06 18:37:01.813, 35, 1980 MHz, 129.94 W, 11 %
1, 2026/09/06 18:37:01.814, 28, 345 MHz, 72.45 W, 0 %
2, 2026/09/06 18:37:01.814, 28, 345 MHz, 70.71 W, 0 %
3, 2026/09/06 18:37:01.814, 31, 345 MHz, 70.61 W, 0 %
4, 2026/09/06 18:37:01.814, 34, 345 MHz, 71.69 W, 0 %
5, 2026/09/06 18:37:01.814, 33, 1980 MHz, 123.08 W, 14 %
6, 2026/09/06 18:37:01.814, 33, 1980 MHz, 123.69 W, 20 %
7, 2026/09/06 18:37:01.814, 28, 345 MHz, 71.12 W, 0 %
0, 2026/09/06 18:37:06.814, 35, 1980 MHz, 130.63 W, 17 %
1, 2026/09/06 18:37:06.814, 28, 345 MHz, 72.49 W, 0 %
2, 2026/09/06 18:37:06.814, 29, 1980 MHz, 94.53 W, 0 %
3, 2026/09/06 18:37:06.814, 32, 1980 MHz, 102.05 W, 0 %
4, 2026/09/06 18:37:06.814, 35, 1980 MHz, 101.63 W, 0 %
5, 2026/09/06 18:37:06.814, 33, 1980 MHz, 123.34 W, 18 %
6, 2026/09/06 18:37:06.814, 33, 1980 MHz, 123.58 W, 15 %
7, 2026/09/06 18:37:06.814, 28, 345 MHz, 71.14 W, 0 %
0, 2026/09/06 18:37:11.815, 35, 1980 MHz, 133.04 W, 20 %
1, 2026/09/06 18:37:11.815, 30, 1980 MHz, 119.64 W, 0 %
2, 2026/09/06 18:37:11.815, 30, 1980 MHz, 116.35 W, 0 %
3, 2026/09/06 18:37:11.815, 32, 1980 MHz, 119.67 W, 0 %
4, 2026/09/06 18:37:11.815, 35, 1980 MHz, 118.81 W, 0 %
5, 2026/09/06 18:37:11.815, 33, 1980 MHz, 123.03 W, 20 %
6, 2026/09/06 18:37:11.815, 34, 1980 MHz, 124.45 W, 19 %
7, 2026/09/06 18:37:11.815, 29, 345 MHz, 71.14 W, 0 %
0, 2026/09/06 18:37:16.815, 35, 1980 MHz, 130.75 W, 16 %
