trace,phase,n,M_p50,T_MoE_p50_ms,T_MoE_p90_ms,T_MoE_p99_ms,dispatch_share_pct,expert_share_pct,combine_share_pct,wait_share_pct,fanout_p50
live_alternating_text_shapes_c8,decode,768,1.0,1.214847981929779,1.5134079933166504,2.0561375832557687,16.665592604657547,35.27707377771136,3.6087068258185853,8.004744863088401,3.0
live_alternating_text_shapes_c8,prefill,2304,199.0,1.2517119646072388,1.6952032208442704,3.880180885791774,18.71835938462778,37.22996649346767,3.003253415789096,8.654640648741603,3.6056338028169015
live_alternating_text_vision_c8,decode,768,1.0,2.1213120222091675,2.1866335153579715,2.8094374847412165,34.72130355582736,30.786306140914146,3.325782256261492,24.064933244380907,1.0
live_alternating_text_vision_c8,prefill,2304,153.5,2.1177120208740234,2.2595008850097664,3.815604732036588,29.678195887994427,33.88546366626303,3.447616368184891,24.223341843442554,3.594991364421416
live_alternating_vision_shapes_c8,decode,768,1.0,1.1406239867210388,1.2229600310325623,1.9896157157421128,10.92650985761592,38.480683489719134,3.937338659151019,8.023240506699548,1.0
live_alternating_vision_shapes_c8,prefill,2304,165.0,1.160543978214264,1.2478079795837402,1.9633129942417136,11.242597714666399,42.69919808402212,2.81765074952052,6.764814458742136,3.6353075400577386
live_high_c16,prefill,3072,284.0,1.192639946937561,1.4491263508796692,5.627559061050414,20.277907371695303,38.55314099686885,2.3088870761471934,7.605356985964017,3.6496350364963503
live_long_text_c8,prefill,1536,568.0,2.012336015701294,5.985568046569824,6.165841698646545,45.911383997879334,25.362618229448504,1.6166071420196533,13.118554561249525,3.640845070422535
live_mixed_c2,prefill,2304,165.0,1.2088319659233093,1.9839040040969849,3.7913958597182567,29.27173489433871,33.105240794503274,3.3398323432812353,12.055678883724203,3.6496350364963503
live_mixed_c4,decode,1392,1.0,1.2482079863548279,2.850355172157288,7.692802271842954,28.508158200555705,31.454025654119487,3.174425710701288,11.324966436364399,1.5
live_mixed_c4,prefill,1488,193.0,1.2709600329399109,2.306508755683899,8.36947583198546,27.54920086377079,32.31735800418315,3.046819525133161,9.906759269389946,3.6496350364963503
live_mixed_c8,decode,3840,1.0,1.1505919694900513,1.781929588317871,3.9409078097343486,33.342523567107726,28.468999692195688,2.9737748868420866,8.447254812847572,1.0
live_mixed_c8,prefill,8448,193.0,1.1643680334091187,1.4014560103416445,3.989152681827548,17.815228004666462,38.40404903451702,2.9359466887704575,5.965895747996015,3.625304136253041
live_mixed_c8_mbt4096,decode,1440,1.0,1.9430559873580933,2.357132840156555,2.6748950123786885,38.611250479793874,25.511727482441568,2.642271834473397,15.009542775602126,3.0
live_mixed_c8_mbt4096,prefill,3168,193.0,2.0552960634231567,4.238528060913086,5.086291532516479,48.85914316728823,22.4158738080504,1.9451564702937314,12.00269083092739,3.6362204173085004
live_text_c16,prefill,3072,456.0,1.3985280394554138,2.0300063610076906,3.780862350463865,28.385118753056975,34.88938097588839,2.541424423304722,14.635448638165695,3.7017543859649122
live_text_c4,prefill,1488,114.0,1.170911967754364,1.4395807981491087,6.236061677932739,21.06713270102487,33.84052210299061,3.2953735271296134,8.89626454975605,3.7017543859649122
live_text_c8,prefill,3840,228.0,1.1678080558776855,1.2688095808029174,3.3255165410041827,30.411496254015972,31.02747085969067,3.045658171748079,3.2802001672163614,3.7017543859649122
live_text_c8_rep2,prefill,2160,342.0,2.056383967399597,4.204713439941406,7.020742130279524,41.142505814711576,24.884485431319284,2.393794040993422,16.120602259317828,3.7017543859649122
live_text_c8_telemetry,decode,3840,1.0,2.071071982383728,2.889983892440796,3.9707075548172006,39.39493424604313,24.070211717838756,2.5872827814289363,19.687417737598086,1.0
live_text_c8_telemetry,prefill,11520,114.0,2.052639961242676,4.093702507019043,4.224403638839721,43.26469666758728,22.786036710311592,2.422492278654421,16.630255937740433,3.5672514619883042
live_text_c8_warmup_text,decode,768,1.0,1.1608960032463074,1.2494943737983704,1.9906115090847025,12.528488523494493,37.1379879577127,3.902869628147032,7.510054284315081,1.0
live_text_c8_warmup_text,prefill,2304,114.0,1.1706559658050537,1.2577216386795045,2.417247672080993,12.263543879621151,38.82241754130069,3.8649327755262477,5.394500698686186,3.6052631578947367
live_text_c8_warmup_text_long,decode,3072,1.0,1.1748159527778625,1.322425639629364,4.407787289619446,14.261825328713364,36.95146473311675,3.8396357619196886,9.877340066826923,1.0
live_text_c8_warmup_text_long,prefill,9216,114.0,1.1810240149497986,1.3356000185012817,2.869473671913158,13.847237459779457,38.18527155761348,3.811032377300119,5.373868828222163,3.587719298245614
live_text_to_vision_c8,decode,768,1.0,2.1935200691223145,2.587843227386475,2.755920629501344,32.291462378065994,25.97314631641297,2.7017476207139883,12.865392097496478,3.0
live_text_to_vision_c8,prefill,2304,193.0,2.3953280448913574,5.0314366817474365,5.859442114830003,45.606335255723565,22.550856818111885,1.8768536985708688,8.93946441894776,3.6373056994818653
live_text_to_vision_c8_telemetry,decode,768,1.0,1.1551199555397034,1.2506656169891357,2.458358998298665,13.251532689482898,36.98951569712871,3.8361966330988135,8.455488410460013,3.0
live_text_to_vision_c8_telemetry,prefill,2304,193.0,1.2016000151634216,1.4508352398872388,5.487567491531306,17.703753690108314,39.265822558848875,2.4957224331080208,11.383994997820349,3.646804835924007
live_vision_hi_c8,prefill,3840,386.0,1.2180320024490356,1.33815039396286,4.470282101631165,15.126491016097997,42.24930559714295,2.036181726094941,7.875558312011862,3.6476683937823835
live_vision_hi_c8_warmup_hi,decode,768,1.0,1.171184003353119,1.3178336381912232,6.472121834754944,17.344684371718486,34.961278121709306,3.6541507330882164,10.636534611325272,1.0
live_vision_hi_c8_warmup_hi,prefill,2304,193.0,1.2036319971084595,1.3090015649795534,1.9706703746318786,12.120860885095855,41.84572147951954,2.654871890875758,6.730945225632844,3.639032815198618
