phase,layer,n,p50_ms,p90_ms
decode,0,299,1.5449600219726562,2.861599922180176
decode,1,299,1.545024037361145,2.8419840335845947
decode,2,299,1.5591039657592773,2.8539841175079346
decode,3,299,1.5526080131530762,2.83241605758667
decode,4,299,1.4952319860458374,2.8043839931488037
decode,5,299,1.5357760190963745,2.8508799076080322
decode,6,299,1.456544041633606,2.8255679607391357
decode,7,299,1.3706239461898804,2.820352077484131
decode,8,299,1.3705600500106812,2.8210880756378174
decode,9,299,1.545632004737854,2.8199679851531982
decode,10,299,1.389407992362976,2.820607900619507
decode,11,299,1.4393919706344604,2.8440639972686768
decode,12,299,1.4744319915771484,2.816800117492676
decode,13,299,1.4744640588760376,2.8130240440368652
decode,14,299,1.4307520389556885,2.817471981048584
decode,15,299,1.3324480056762695,2.815295934677124
decode,16,299,1.3211519718170166,2.817215919494629
decode,17,299,1.3155200481414795,2.8163199424743652
decode,18,299,1.3291200399398804,2.8232319355010986
decode,19,299,1.3141119480133057,2.8194239139556885
decode,20,299,1.3688960075378418,2.8385279178619385
decode,21,299,1.4073920249938965,2.8136959075927734
decode,22,299,1.295456051826477,2.819711923599243
decode,23,299,1.329375982284546,2.8027520179748535
decode,24,299,1.3722560405731201,2.8245439529418945
decode,25,299,1.29692804813385,2.799391984939575
decode,26,299,1.3317439556121826,2.8150079250335693
decode,27,299,1.3968640565872192,2.824320077896118
decode,28,299,1.3218560218811035,2.819040060043335
decode,29,299,1.4079680442810059,2.815295934677124
decode,30,299,1.3011200428009033,2.8143680095672607
decode,31,299,1.2796800136566162,2.814624071121216
decode,32,299,1.349503993988037,2.794464111328125
decode,33,299,1.3548799753189087,2.816351890563965
decode,34,299,1.440608024597168,2.7910079956054688
decode,35,299,1.4793280363082886,2.8359038829803467
decode,36,299,1.3896000385284424,2.8197760581970215
decode,37,299,1.420032024383545,2.844480037689209
decode,38,299,1.3819520473480225,2.81878399848938
decode,39,299,1.5244799852371216,2.840991973876953
decode,40,299,1.3614720106124878,2.8385279178619385
decode,41,299,1.4305599927902222,2.8207039833068848
decode,42,299,1.4939520359039307,2.833695888519287
decode,43,299,1.531391978263855,2.8138558864593506
decode,44,299,1.4454400539398193,2.8309760093688965
decode,45,299,1.4786239862442017,2.8240320682525635
decode,46,299,1.465440034866333,2.8365440368652344
decode,47,299,1.5955840349197388,2.838144063949585
prefill,0,1229,1.4694080352783203,2.890399932861328
prefill,1,1229,1.3133440017700195,3.2974720001220703
prefill,2,1229,1.31113600730896,3.292896032333374
prefill,3,1229,1.2885760068893433,3.2698240280151367
prefill,4,1229,1.2977919578552246,3.2291839122772217
prefill,5,1229,1.2813440561294556,3.1156160831451416
prefill,6,1229,1.2735999822616577,3.2143681049346924
prefill,7,1229,1.2664639949798584,3.216032028198242
prefill,8,1229,1.2696959972381592,3.220896005630493
prefill,9,1229,1.260416030883789,3.1686720848083496
prefill,10,1229,1.256991982460022,3.186367988586426
prefill,11,1229,1.2650879621505737,2.959872007369995
prefill,12,1229,1.2452160120010376,3.1848959922790527
prefill,13,1229,1.2509119510650635,3.224992036819458
prefill,14,1229,1.255295991897583,3.2341439723968506
prefill,15,1229,1.2664320468902588,3.2399680614471436
prefill,16,1229,1.2698559761047363,3.2353599071502686
prefill,17,1229,1.2680319547653198,3.224128007888794
prefill,18,1229,1.2579519748687744,3.2537920475006104
prefill,19,1229,1.2676160335540771,3.2012479305267334
prefill,20,1229,1.2613439559936523,3.2232959270477295
prefill,21,1229,1.2636799812316895,3.2334399223327637
prefill,22,1229,1.256127953529358,3.237215995788574
prefill,23,1229,1.2633600234985352,3.239392042160034
prefill,24,1229,1.2565759420394897,3.2024641036987305
prefill,25,1229,1.2455040216445923,3.224128007888794
prefill,26,1229,1.2786240577697754,3.2434558868408203
prefill,27,1229,1.2708159685134888,3.256767988204956
prefill,28,1229,1.2523200511932373,3.230623960494995
prefill,29,1229,1.2845439910888672,3.242464065551758
prefill,30,1229,1.2731519937515259,3.20963191986084
prefill,31,1229,1.2744319438934326,3.238976001739502
prefill,32,1229,1.2584320306777954,3.2004480361938477
prefill,33,1229,1.2636159658432007,3.196320056915283
prefill,34,1229,1.2722879648208618,3.1665918827056885
prefill,35,1229,1.2620480060577393,2.9655680656433105
prefill,36,1229,1.2677119970321655,3.0925440788269043
prefill,37,1229,1.2630079984664917,3.1821439266204834
prefill,38,1229,1.2927680015563965,3.2796480655670166
prefill,39,1229,1.2770880460739136,3.1554880142211914
prefill,40,1229,1.271456003189087,2.97491192817688
prefill,41,1229,1.2648639678955078,3.150207996368408
prefill,42,1229,1.2728320360183716,2.9157121181488037
prefill,43,1229,1.2557120323181152,2.8999359607696533
prefill,44,1229,1.2576320171356201,3.172544002532959
prefill,45,1229,1.2574399709701538,3.180543899536133
prefill,46,1229,1.2626240253448486,3.2593600749969482
prefill,47,1229,1.2473280429840088,3.0156800746917725
