trace,phase,M,cuda_ms,baseline_ms,residual_ms,normalized,active_experts,rank_cv,expert_cv,fanout_mean,fanout_f4
live_text_c8,prefill,114.0,1098.033203125,1.1621599793434143,1096.8710431456566,944.8210424053287,42.0,0.5357793200935911,1.5085073462418879,3.4473684210526314,0.4649122807017544
live_mixed_c8,decode,1.0,1069.6083984375,1.1505919694900513,1068.45780646801,929.6157341612217,8.0,1.7320508075688772,0.0,1.0,0.0
live_mixed_c2,prefill,193.0,440.592529296875,1.179311990737915,439.4132173061371,373.60133090921,118.0,0.11220936698294152,0.9543169062760185,3.6476683937823835,0.6580310880829016
live_text_c16,prefill,798.0,326.2469482421875,1.4338080286979675,324.81314021348953,227.53879299898355,61.0,0.5521015493691573,1.8520293618258241,3.337092731829574,0.33709273182957394
live_mixed_c8,prefill,2.0,204.49948120117188,1.1482399702072144,203.35124123096466,178.0982081335031,15.0,1.1726039399558574,0.23385358667337136,2.0,0.0
live_text_c16,prefill,798.0,165.4674835205078,1.4338080286979675,164.03367549180984,115.40421047214238,48.0,0.33156939244810346,1.7773123803912048,3.807017543859649,0.8070175438596491
live_high_c16,prefill,535.0,161.74044799804688,1.2651039958000183,160.47534400224686,127.84755129618138,125.0,0.22464439926872312,1.5759575280815972,3.7271028037383176,0.7401869158878505
live_alternating_text_vision_c8,decode,1.0,99.09049224853516,2.1213120222091675,96.96918022632599,46.711889251134664,8.0,1.7320508075688772,0.0,1.0,0.0
live_text_c8,prefill,114.0,91.93635559082031,1.1621599793434143,90.7741956114769,79.10817548782019,42.0,0.5637884511649511,1.6208796045730156,3.6228070175438596,0.6666666666666666
live_text_c4,prefill,114.0,85.39376068115234,1.1679840087890625,84.22577667236328,73.11209745901104,36.0,0.535527932236019,1.478756543223875,3.526315789473684,0.5263157894736842
live_mixed_c8,decode,1.0,74.21222686767578,1.1505919694900513,73.06163489818573,64.49916984955757,8.0,0.7905694150420949,0.0,3.0,0.0
live_text_c8_telemetry,decode,1.0,67.25424194335938,2.071071982383728,65.18316996097565,32.473155214022164,8.0,0.9354143466934853,0.0,3.0,0.0
live_high_c16,prefill,535.0,38.71158218383789,1.2651039958000183,37.44647818803787,30.599525661412294,74.0,0.23122296165461498,1.7741208538070359,3.695327102803738,0.697196261682243
live_alternating_text_vision_c8,prefill,579.0,37.091712951660156,2.1468000411987305,34.944912910461426,17.27767479031204,127.0,0.09239867316570985,0.6793539611005871,3.618307426597582,0.6286701208981001
live_text_c8_telemetry,prefill,2.0,36.39516830444336,2.0754880905151367,34.31968021392822,17.535715319575775,15.0,0.8838834764831844,0.23385358667337136,2.5,0.5
