trace,phase,M,n,tmoe_p50_ms,tmoe_p90_ms,tmoe_p99_ms,dispatch_p50_ms,expert_p50_ms,combine_p50_ms,wait_p50_ms,active_p50,rank_cv_p50,expert_cv_p50
live_alternating_text_shapes_c8,decode,1,768,1.214847981929779,1.5134079933166504,2.0561375832557687,0.16169600188732147,0.448512002825737,0.04499199986457825,0.020320000126957893,8.0,0.7905694150420949,0.0
live_alternating_text_shapes_c8,prefill,2,768,1.21424001455307,1.4315743684768678,2.080853698253633,0.1611199975013733,0.44758400321006775,0.04505600035190582,0.022240000078454614,8.0,0.7179878840211051,0.0
live_alternating_text_shapes_c8,prefill,114,384,1.2263360023498535,1.3210879802703857,2.401332833766939,0.16686400026082993,0.4493599981069565,0.04566400125622749,0.023119999561458826,42.0,0.46836478734291737,1.5619393571709026
live_alternating_text_shapes_c8,prefill,284,384,1.2676960229873657,2.0307328224182126,2.775127663612366,0.2173279970884323,0.4875359982252121,0.04652800038456917,0.03948800032958388,52.5,0.4497389684314894,1.691669872111307
live_alternating_text_shapes_c8,prefill,342,384,1.2388319969177246,1.5555391788482664,6.789115691185,0.18419199436903,0.4991360008716583,0.045791998505592346,0.03694400051608682,56.0,0.4343151172593356,1.828811799333215
live_alternating_text_shapes_c8,prefill,852,384,1.4546560049057007,2.345596885681152,2.9917107701301577,0.21320000290870667,0.6705919802188873,0.003103999886661768,0.2025120034813881,68.5,0.43202254777119575,1.842275146676421
live_alternating_text_vision_c8,decode,1,768,2.1213120222091675,2.1866335153579715,2.8094374847412165,0.6514880061149597,0.6982879936695099,0.07399999722838402,0.4780799993313849,8.0,1.7320508075688772,0.0
live_alternating_text_vision_c8,prefill,2,768,2.128032088279724,2.2043168783187865,3.0581512880325423,0.6501759886741638,0.6977759897708893,0.07419199869036674,0.4872000012546778,16.0,0.8838834764831844,0.0
live_alternating_text_vision_c8,prefill,114,384,2.077120065689087,2.176009511947632,3.991891222000133,0.5901120007038116,0.6978560090065002,0.07459200173616409,0.485024003777653,37.5,0.4638714717157041,1.5188597579542313
live_alternating_text_vision_c8,prefill,193,384,2.111199975013733,2.2204288244247437,3.5599363899230987,0.6067519783973694,0.7017920017242432,0.07446400076150894,0.4953119927085936,119.0,0.14444201206278978,0.9370517181493341
live_alternating_text_vision_c8,prefill,342,384,2.1092159748077393,2.262608027458191,6.669068040847781,0.5924319922924042,0.7002719938755035,0.07507199794054031,0.4997600009664893,56.0,0.4389463731599818,1.8288405858484842
live_alternating_text_vision_c8,prefill,579,384,2.1468000411987305,2.3688384294509888,3.626329233646394,0.6004479825496674,0.74726402759552,0.0751039981842041,0.5146880047395825,123.0,0.13747955081239377,0.93692486519328
live_high_c16,prefill,114,384,1.1620320081710815,1.275318419933319,2.7162937235832336,0.12030399963259697,0.439968004822731,0.044319998472929,0.018992000026628375,42.0,0.44541843683435534,1.557520921842141
live_high_c16,prefill,137,384,1.177456021308899,1.2770975708961485,1.9007180213928287,0.12531199306249619,0.4753119945526123,0.044815998524427414,0.01943999994546175,112.0,0.1392372836272649,0.9045096022400839
live_high_c16,prefill,193,384,1.1662400364875793,1.2327711939811707,1.716643832921982,0.11979199945926666,0.49052800238132477,0.04335999861359596,0.019807999953627586,117.0,0.15971035085964,0.992666707209655
live_high_c16,prefill,284,768,1.1712480187416077,1.338214409351349,1.8952847468853065,0.12520000338554382,0.478752002120018,0.044704001396894455,0.025504000019282103,53.0,0.43611717159912233,1.693319135127578
live_high_c16,prefill,444,384,1.190351963043213,1.3261760473251343,1.7473923492431644,0.12216000258922577,0.552191972732544,0.0032319999299943447,0.07579200062900782,123.0,0.1833217811841725,1.0410398040761786
live_high_c16,prefill,535,384,1.2651039958000183,3.8204063653945917,9.056301870346154,0.16263999789953232,0.5841919779777527,0.003135999897494912,0.10982399992644787,121.0,0.24563960497125437,1.5711755005375394
live_high_c16,prefill,959,384,1.3905919790267944,2.649660801887512,5.882095980644226,0.1496639996767044,0.6827839910984039,0.003103999886661768,0.16302399709820747,120.5,0.12665155449957466,0.9037970342571813
live_long_text_c8,prefill,284,768,2.010751962661743,3.9438335418701174,4.573306527137758,0.5533440113067627,0.49201600253582,0.04713600128889084,0.44823999982327223,53.0,0.4333901314640042,1.6763783219097692
live_long_text_c8,prefill,852,768,2.019760012626648,6.062211322784424,6.177747788429261,0.5252959728240967,0.6804479956626892,0.003135999897494912,0.3620959995314479,68.5,0.4230801454753821,1.8157611768599744
live_mixed_c2,prefill,114,576,1.2539039850234985,1.9799200296401978,4.529384016990662,0.20075199753046036,0.45585601031780243,0.04891199991106987,0.036303999833762646,42.0,0.4580656903433661,1.5570499749525855
