modality,request_id,pair_id,token_bucket,layer,predicted_rank,actual_rank,correct,imbalance_cv
text,text_01_clock_motion,1,small,39,1,3,0,0.23748336757645366
text,text_01_clock_motion,1,small,40,0,0,1,0.2424686275655788
text,text_01_clock_motion,1,small,41,2,1,0,0.2845576973194802
text,text_01_clock_motion,1,small,42,0,3,0,0.11987023714546458
text,text_01_clock_motion,1,small,43,0,2,0,0.29332223949094216
text,text_01_clock_motion,1,small,44,0,1,0,0.2914567618602312
text,text_01_clock_motion,1,small,45,2,3,0,0.29098947358516897
text,text_01_clock_motion,1,small,46,0,1,0,0.3156995801827463
text,text_01_clock_motion,1,small,47,3,3,1,0.3215795318685634
text,text_02_cat,2,small,0,2,1,0,0.08589987929115622
text,text_02_cat,2,small,1,3,3,1,0.22990372095631806
text,text_02_cat,2,small,2,2,2,1,0.24540604039559566
text,text_02_cat,2,small,3,3,1,0,0.15083996012976908
text,text_02_cat,2,small,4,0,3,0,0.16655282256822748
text,text_02_cat,2,small,5,3,2,0,0.13676875283367168
text,text_02_cat,2,small,6,0,2,0,0.2721225452815185
text,text_02_cat,2,small,7,3,2,0,0.24876239598001382
text,text_02_cat,2,small,8,1,2,0,0.3533709301294253
text,text_02_cat,2,small,9,3,2,0,0.17442670791902934
text,text_02_cat,2,small,10,3,3,1,0.11297621016433196
text,text_02_cat,2,small,11,1,3,0,0.1521867873533684
text,text_02_cat,2,small,12,0,1,0,0.23599127687509874
text,text_02_cat,2,small,13,0,0,1,0.21877708335760496
text,text_02_cat,2,small,14,0,3,0,0.3478707842015821
text,text_02_cat,2,small,15,1,3,0,0.28000826646985555
text,text_02_cat,2,small,16,0,0,1,0.24266776896002895
text,text_02_cat,2,small,17,1,3,0,0.1499326592269493
text,text_02_cat,2,small,18,0,3,0,0.2787346045262015
text,text_02_cat,2,small,19,3,3,1,0.19640620567235298
text,text_02_cat,2,small,20,2,3,0,0.2905439928329211
text,text_02_cat,2,small,21,2,2,1,0.06654104437419514
text,text_02_cat,2,small,22,3,3,1,0.16827111024745658
text,text_02_cat,2,small,23,0,2,0,0.05792712229554813
text,text_02_cat,2,small,24,0,2,0,0.22399665473559607
text,text_02_cat,2,small,25,0,3,0,0.2688624652138646
text,text_02_cat,2,small,26,0,3,0,0.27255668086304125
text,text_02_cat,2,small,27,1,2,0,0.2614153300767257
text,text_02_cat,2,small,28,2,3,0,0.4288064499368653
text,text_02_cat,2,small,29,1,3,0,0.16142145020811202
text,text_02_cat,2,small,30,0,1,0,0.3591272141696013
text,text_02_cat,2,small,31,3,3,1,0.30551443298164727
text,text_02_cat,2,small,32,0,3,0,0.29929504668351786
text,text_02_cat,2,small,33,1,3,0,0.16928767654120197
text,text_02_cat,2,small,34,3,0,0,0.03470191594084741
text,text_02_cat,2,small,35,0,3,0,0.20558035713861428
text,text_02_cat,2,small,36,0,3,0,0.3352317176602439
text,text_02_cat,2,small,37,0,0,1,0.1586367360372309
text,text_02_cat,2,small,38,0,3,0,0.09039269605047953
text,text_02_cat,2,small,39,0,3,0,0.2444018017254222
text,text_02_cat,2,small,40,3,3,1,0.3043879891237278
text,text_02_cat,2,small,41,2,1,0,0.21428029557273
text,text_02_cat,2,small,42,0,2,0,0.09869838620264555
text,text_02_cat,2,small,43,2,3,0,0.28810457441674525
text,text_02_cat,2,small,44,0,0,1,0.21484874094220033
text,text_02_cat,2,small,45,0,3,0,0.31218675998380335
text,text_02_cat,2,small,46,3,3,1,0.37124520248109616
text,text_02_cat,2,small,47,0,3,0,0.35251075599170956
text,text_03_phantom,3,small,0,2,1,0,0.09644521050597785
text,text_03_phantom,3,small,1,0,0,1,0.1252128990241131
text,text_03_phantom,3,small,2,2,0,0,0.2071782860520678
text,text_03_phantom,3,small,3,0,3,0,0.17753917918981232
text,text_03_phantom,3,small,4,3,3,1,0.13129141275253073
text,text_03_phantom,3,small,5,0,1,0,0.2906608551209725
text,text_03_phantom,3,small,6,3,2,0,0.3212427556317121
text,text_03_phantom,3,small,7,0,1,0,0.4709392376831317
text,text_03_phantom,3,small,8,0,3,0,0.26426996145673587
text,text_03_phantom,3,small,9,1,1,1,0.09678340798517321
text,text_03_phantom,3,small,10,0,2,0,0.3314880364517815
text,text_03_phantom,3,small,11,1,1,1,0.21759799510026587
text,text_03_phantom,3,small,12,0,2,0,0.4116637204981631
text,text_03_phantom,3,small,13,1,2,0,0.1935782557514486
text,text_03_phantom,3,small,14,0,3,0,0.4181891826199208
text,text_03_phantom,3,small,15,1,2,0,0.3522544918674797
text,text_03_phantom,3,small,16,0,1,0,0.3982038310963033
text,text_03_phantom,3,small,17,0,1,0,0.2118955656110424
text,text_03_phantom,3,small,18,0,0,1,0.3615857087513867
text,text_03_phantom,3,small,19,3,3,1,0.5212753226636961
text,text_03_phantom,3,small,20,0,0,1,0.31407982023235725
text,text_03_phantom,3,small,21,0,2,0,0.15180030275364992
text,text_03_phantom,3,small,22,0,0,1,0.3125
text,text_03_phantom,3,small,23,2,2,1,0.17569609694220764
text,text_03_phantom,3,small,24,0,0,1,0.41347095066136913
text,text_03_phantom,3,small,25,0,1,0,0.26721417563007477
text,text_03_phantom,3,small,26,0,0,1,0.2676338354878904
text,text_03_phantom,3,small,27,1,2,0,0.32713317439066547
text,text_03_phantom,3,small,28,3,3,1,0.45648397768386806
text,text_03_phantom,3,small,29,0,2,0,0.24616178565116636
text,text_03_phantom,3,small,30,2,0,0,0.4549533301299946
text,text_03_phantom,3,small,31,0,1,0,0.46854249367520084
text,text_03_phantom,3,small,32,0,3,0,0.2649394665171034
text,text_03_phantom,3,small,33,0,2,0,0.16596098478072416
text,text_03_phantom,3,small,34,0,0,1,0.36624681241986223
text,text_03_phantom,3,small,35,0,1,0,0.20180078150147662
text,text_03_phantom,3,small,36,3,2,0,0.28071803432611586
text,text_03_phantom,3,small,37,1,1,1,0.15597619941760266
text,text_03_phantom,3,small,38,3,3,1,0.24636853708572373
text,text_03_phantom,3,small,39,1,2,0,0.2527397354319521
text,text_03_phantom,3,small,40,3,3,1,0.3678505426684603
text,text_03_phantom,3,small,41,2,3,0,0.24805294692969465
text,text_03_phantom,3,small,42,0,0,1,0.38274769527735003
text,text_03_phantom,3,small,43,2,3,0,0.33693446991683795
text,text_03_phantom,3,small,44,0,1,0,0.3438047523907136
text,text_03_phantom,3,small,45,0,2,0,0.23350341693002538
text,text_03_phantom,3,small,46,0,0,1,0.4918646911153777
text,text_03_phantom,3,small,47,3,2,0,0.23614341348996773
text,text_04_color_wheel,4,small,0,2,0,0,0.06819309069874761
text,text_04_color_wheel,4,small,1,3,2,0,0.2650311184970411
text,text_04_color_wheel,4,small,2,2,2,1,0.2600201098194777
text,text_04_color_wheel,4,small,3,3,3,1,0.22830936800914947
text,text_04_color_wheel,4,small,4,2,0,0,0.2541348338134911
text,text_04_color_wheel,4,small,5,3,3,1,0.22873090963679238
text,text_04_color_wheel,4,small,6,0,3,0,0.17043725862317818
text,text_04_color_wheel,4,small,7,2,3,0,0.27643379689137876
text,text_04_color_wheel,4,small,8,1,0,0,0.33852689285239507
text,text_04_color_wheel,4,small,9,3,1,0,0.29284526715087733
text,text_04_color_wheel,4,small,10,3,0,0,0.2413985001801456
text,text_04_color_wheel,4,small,11,1,1,1,0.183970945958638
text,text_04_color_wheel,4,small,12,3,0,0,0.27045649438154284
text,text_04_color_wheel,4,small,13,0,1,0,0.12450298013899934
text,text_04_color_wheel,4,small,14,0,0,1,0.25518121645468445
text,text_04_color_wheel,4,small,15,1,1,1,0.41970374746240263
text,text_04_color_wheel,4,small,16,0,3,0,0.1551948861491414
text,text_04_color_wheel,4,small,17,0,1,0,0.22253621482843167
text,text_04_color_wheel,4,small,18,0,0,1,0.23236701611922345
text,text_04_color_wheel,4,small,19,0,1,0,0.2292149763551403
text,text_04_color_wheel,4,small,20,1,3,0,0.3097892441139866
text,text_04_color_wheel,4,small,21,0,0,1,0.25062344331395153
text,text_04_color_wheel,4,small,22,3,0,0,0.24618870601279413
text,text_04_color_wheel,4,small,23,2,3,0,0.01564874734561278
text,text_04_color_wheel,4,small,24,0,0,1,0.3340168905358909
text,text_04_color_wheel,4,small,25,3,3,1,0.15301360903515987
text,text_04_color_wheel,4,small,26,0,0,1,0.17609834545388714
text,text_04_color_wheel,4,small,27,1,3,0,0.3664402420091424
text,text_04_color_wheel,4,small,28,0,1,0,0.18764404490741232
text,text_04_color_wheel,4,small,29,0,0,1,0.17545646251448033
text,text_04_color_wheel,4,small,30,0,0,1,0.301160757846719
text,text_04_color_wheel,4,small,31,0,1,0,0.30063008742556063
text,text_04_color_wheel,4,small,32,1,3,0,0.3392445374349212
text,text_04_color_wheel,4,small,33,1,0,0,0.26028593757722873
text,text_04_color_wheel,4,small,34,3,3,1,0.14145417603180066
text,text_04_color_wheel,4,small,35,2,3,0,0.20989001749593628
text,text_04_color_wheel,4,small,36,0,0,1,0.3484403889639528
text,text_04_color_wheel,4,small,37,0,0,1,0.13878184079663974
text,text_04_color_wheel,4,small,38,3,0,0,0.18403112027940413
text,text_04_color_wheel,4,small,39,1,0,0,0.3301021540878126
text,text_04_color_wheel,4,small,40,3,1,0,0.09261481154381826
text,text_04_color_wheel,4,small,41,2,0,0,0.2783047610409157
text,text_04_color_wheel,4,small,42,1,0,0,0.2273135495959974
text,text_04_color_wheel,4,small,43,2,3,0,0.2393475251841794
text,text_04_color_wheel,4,small,44,0,0,1,0.2291861586236942
text,text_04_color_wheel,4,small,45,0,0,1,0.3212493989159433
text,text_04_color_wheel,4,small,46,0,3,0,0.39139919770234477
text,text_04_color_wheel,4,small,47,3,3,1,0.3810677171660389
text,text_05_coffee,5,small,0,3,1,0,0.054109347127811847
text,text_05_coffee,5,small,1,3,0,0,0.14542213420241343
text,text_05_coffee,5,small,2,2,2,1,0.17961905505593764
text,text_05_coffee,5,small,3,2,3,0,0.18376210182717334
text,text_05_coffee,5,small,4,2,0,0,0.23155992744859807
text,text_05_coffee,5,small,5,2,2,1,0.16191522689992807
text,text_05_coffee,5,small,6,0,0,1,0.16724447291627492
text,text_05_coffee,5,small,7,0,0,1,0.28435752274086334
text,text_05_coffee,5,small,8,1,1,1,0.30826896697293354
text,text_05_coffee,5,small,9,3,3,1,0.2122404297017889
