layer,active_experts_gap,gini_gap,padding_amplification_gap,residual_load_gap,proxy_failure_gap,shape_gap_score
0,0.11458333333333215,0.0717502831700858,0.05440674023861147,0.006003116097071912,0.08333333333333331,-2.7761911119070164
1,0.1145833333333357,0.012945631157234239,0.05882301886938324,0.0009414329359994297,0.16666666666666663,-2.436294753044023
2,2.229166666666668,-0.06791787276580602,0.2266288567149055,0.007338420310727255,-0.16666666666666669,-0.7349177363344769
3,0.96875,-0.0006011033585274772,0.10076816590466553,0.004420827261706017,0.0,-1.9374745724209106
4,2.822916666666668,-0.07040151190106614,0.2573008175600058,0.005587745922126982,0.0,-0.4217489588296384
5,3.09375,-0.0688593480996218,0.26325536650552994,0.00467507798592258,0.16666666666666663,-0.3193857403351041
6,3.375,-0.11688676037779266,0.3753813181262764,0.004363487380303618,-0.16666666666666663,0.40022070739248816
7,2.90625,-0.11532471115181364,0.14565677239122898,0.005239126226199049,0.12499999999999994,-0.5011493267863566
8,2.71875,-0.06463510095651492,0.1409418953952133,0.004518454739807792,0.04166666666666674,-0.8606562013807625
9,2.989583333333332,-0.12076251834237073,0.37020043392206015,0.006459730989506068,0.04166666666666663,0.2743804825215987
10,2.614583333333332,-0.07431391738372417,0.25631760433566386,0.004051441328959451,-0.3333333333333333,-0.4738980279858866
11,2.84375,-0.09662475360089151,0.28111408814390515,0.0060197558475277475,-0.2916666666666667,-0.19334451077844914
12,3.2708333333333357,-0.09828015938896906,0.23600104726173576,0.007622764713529225,-0.12499999999999994,-0.18334799784706604
13,3.3854166666666643,-0.08521644873103817,0.3240769541931754,0.006729438196263809,0.0,0.06444206245481061
14,3.90625,-0.11691273781212896,0.3104838748507004,0.00628345754989113,0.2916666666666667,0.3733463044440393
15,3.0208333333333357,-0.10329260497963444,0.1489591913792001,0.008424803887460187,0.0,-0.5183865621039828
16,2.958333333333332,-0.12372760195124488,0.11162683514282268,0.0037874330446832334,-0.08333333333333331,-0.5456061492579889
17,3.2916666666666643,-0.11315610867062365,0.26264869953530656,0.007382469309032903,-0.24999999999999997,-0.008758080586054142
18,3.3125,-0.11094137439737373,0.21326203352021933,0.005101763545801698,-0.08333333333333331,-0.17168687677503125
19,4.4375,-0.12186593497398535,0.44267093449863504,0.010112106868363557,-0.125,1.003202262395646
20,3.6041666666666643,-0.11010612018489696,0.2501945925240312,0.007725428991193601,0.20833333333333337,0.04059629125264647
21,3.5833333333333357,-0.15087993951953083,0.21251693279181572,0.0068761047997818936,-0.04166666666666663,0.1390928294766606
22,3.0625,-0.09716578551322774,0.2959358877532976,0.006402444788425466,0.125,-0.06879154272501604
23,3.604166666666668,-0.12145917425178798,0.42090961169164665,0.0067444730197446165,0.041666666666666685,0.6487106290430283
24,3.416666666666668,-0.1360370563296801,0.2316750111957422,0.006100119268970005,-0.08333333333333331,0.06149745794191764
25,3.96875,-0.1333098862764871,0.34481714688448184,0.007250118428043604,0.125,0.5950466647940151
26,3.802083333333332,-0.13873608451992747,0.3360987486995177,0.005483106009528751,0.29166666666666663,0.5407173001314819
27,4.385416666666668,-0.17141450496888322,0.3872430492854093,0.007870763643714649,0.04166666666666663,1.0830211294264032
28,4.46875,-0.16328071420637125,0.21836489727087116,0.006474106944332715,0.041666666666666685,0.526882580576884
29,4.385416666666664,-0.15968104468915517,0.3949332142920894,0.006151112616866768,-0.25000000000000006,1.0425751389099644
30,4.760416666666664,-0.19196434925534223,0.16929931332877368,0.006912414066209489,-0.20833333333333331,0.6280537046513439
31,5.041666666666664,-0.1867370747450633,0.3861447227483814,0.005431740952176077,0.08333333333333331,1.3870607360043616
32,4.03125,-0.1548059381564031,0.2205578116321969,0.008102762508749415,0.0,0.33849608283918003
33,4.229166666666668,-0.19425686953496674,0.32923475257714596,0.007459764888418547,0.2916666666666667,0.9712977269542457
34,3.1145833333333357,-0.1410859850451393,0.27790071679988415,0.0058204616169878634,-0.08333333333333331,0.13460890100241726
35,3.302083333333332,-0.1572562823067924,0.2370941118050447,0.009139441043565096,-0.08333333333333337,0.1574876374296809
36,3.125,-0.16008101044089623,0.13485695684766386,0.004834100720529051,0.33333333333333337,-0.21346129206899844
37,3.583333333333332,-0.14633901463046534,0.3320517030673735,0.004988509149652065,0.16666666666666669,0.49569538165658583
38,3.104166666666668,-0.11690655198973782,0.23357436617277516,0.006386104012398003,0.16666666666666669,-0.14445111827279716
39,3.833333333333332,-0.19384154459516262,0.28551741513697637,0.007223098883228766,0.0,0.6950750586613359
40,4.3125,-0.16390937920899984,0.22583639980510384,0.006117083659043071,0.041666666666666685,0.5012139332117718
41,3.6979166666666643,-0.14961529105049426,0.24892386854158488,0.005550110222691578,-0.25000000000000006,0.2872364155503368
42,2.9375,-0.18754221653072378,0.19515732944441133,0.0035191109073940234,-0.041666666666666685,0.06764666468536192
43,4.21875,-0.2480025919152969,0.1950015522500932,0.004961416127969059,-0.125,0.8368247898791106
44,3.052083333333332,-0.19409059139680468,0.10192288592763843,0.00494141600994861,0.041666666666666685,-0.15496174524762749
45,3.15625,-0.23787555216148765,0.07135303033675733,0.0012424337564333446,0.16666666666666666,0.02532835126762108
46,3.6979166666666643,-0.20482564145260151,0.06583491097488947,0.004688119114235802,-0.125,0.008380581405629917
47,2.354166666666668,-0.18959858672504815,0.02458875331440291,0.01489514381654782,0.375,-0.6636255012733822
