0, GPU-f217c8a0-1142-20f4-d84b-af29f3a47a0d, 67951 MiB, 53 %
1, GPU-a77f3471-67d4-20b0-9fab-e502d4de5adb, 0 MiB, 0 %
2, GPU-24200107-8a7f-de46-1bc8-b81f8d3af13e, 0 MiB, 0 %
3, GPU-17488c15-2d4c-5d9e-d503-29b0d959a8a8, 0 MiB, 0 %
4, GPU-6076e2f2-5b63-3761-5586-56ceb7df8139, 0 MiB, 0 %
5, GPU-a1a1cfcf-93a1-3544-9a5e-e58144b68730, 66359 MiB, 56 %
6, GPU-e3f3998e-0f1a-e94a-b97c-4abb0e8c2c28, 66919 MiB, 52 %
7, GPU-4cc26b88-19fc-1988-f9e0-17858aa7a99b, 66639 MiB, 70 %
