accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,live_aligned_rows,live_top1_flip_fraction,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction,dataset,layer,top1_flip,accepted_change,final_sequence_divergence,benchmark_score_flip_fraction,nfe_relative_change,decision_sensitivity_score,clean_request_median_ms,whole_layer_normalized_optimistic_e2e_percent,routed_moe_request_e2e_upper_percent,shared_sum_ms,shared_request_e2e_upper_percent,physical_cost_e2e_upper_percent,live_ratio_median,relative_l2_update_median,output_cosine_median,attention_update_norm_median,moe_update_norm_median,routed_output_norm_median,shared_output_norm_median,post_epoch_live_weighted_cost_percent,cost_per_decision_sensitivity
0.0,1024.0,1.0,36.0,5,0,32,0.0,5.092277765274048,32,32,0.0,1024.0,0.0,routed_bypass,66,0,early,routed_bypass_l00_early,1.0,36.0,,,16.0,gsm8k,0.0,gsm8k,0,0.0,0.0,0.0,0.0,0.0,0.0,6074.886083602905,0.0403712991122485,0.0,0.0,0.0,0.0,0.90380859375,5.721958348052146,0.2701503932476043,73.15203857421875,31.48173999786377,,,0.0,0.0
0.0,960.0,0.328125,8.0,5,0,32,0.0,5.144599914550781,32,32,0.0,315.0,0.0,routed_bypass,66,0,late,routed_bypass_l00_late,0.328125,8.0,,,16.0,gsm8k,0.0,gsm8k,0,0.0,0.0,0.0,0.0,0.0,0.0,6074.886083602905,1.674220874937779,0.0,0.0,0.0,0.0,0.1808347902097902,2.587421058565237,0.5078908801078796,30.03613948822021,16.752058029174805,,,0.0,0.0
0.0,992.0,0.4969758064516129,0.0,5,0,32,0.0,5.020111799240112,32,32,0.0,493.0,0.0,routed_bypass,66,0,middle,routed_bypass_l00_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.0,gsm8k,0,0.0,0.0,0.0,0.0,0.0,0.0,6074.886083602905,0.6565122615626333,0.0,0.0,0.0,0.0,0.4445564516129032,3.1917122753934217,0.4218544661998749,67.8316879272461,35.266998291015625,,,0.0,0.0
0.0234375,1024.0,1.0,36.0,5,0,32,0.2459716796875,5.038093566894531,29,32,1.0,1024.0,0.1455078125,routed_bypass,66,0,early,routed_bypass_l01_early,1.0,36.0,,,16.0,gsm8k,0.1455078125,gsm8k,1,0.1455078125,0.0234375,0.09375,0.0,0.0,0.0525390625,6074.886083602905,0.1023634445533294,0.0549988904988277,0.0717439986765384,0.001180993317227577,0.0549988904988277,0.90380859375,0.3243562360562383,0.9886573851108552,17.083250522613525,24.53076171875,7.281662583351135,22.03778648376465,0.049708469879555704,1.0468190310557541
0.0158730158730158,960.0,0.328125,8.0,5,0,32,0.2547619047619047,5.070736408233643,21,32,1.0,315.0,0.146031746031746,routed_bypass,66,0,late,routed_bypass_l01_late,0.328125,8.0,,,16.0,gsm8k,0.0635416666666666,gsm8k,1,0.146031746031746,0.0158730158730158,0.34375,0.0,0.0,0.10113095238095235,6074.886083602905,2.633134611492133,1.2965932002668454,45.0000638756901,0.7407556825987653,1.2965932002668454,0.1808347902097902,0.4754133218085187,0.9640589356422424,13.35288143157959,17.34995937347412,14.548321723937988,8.639009952545166,0.2344691593576955,12.820933351667458
0.0344827586206896,992.0,0.4969758064516129,0.0,5,0,32,0.2970334685598377,4.783821105957031,11,32,1.0,493.0,0.1947261663286004,routed_bypass,63,0,middle,routed_bypass_l01_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.1098790322580645,gsm8k,1,0.1947261663286004,0.0344827586206896,0.65625,0.0,0.045454545454545456,0.1861826940807671,6074.886083602905,1.5660439301113955,0.9720365302672273,10.306079979985952,0.16965058830985688,0.9720365302672273,0.4445564516129032,0.4511358203035051,0.9687889218330384,25.67475891113281,35.31654739379883,24.38824844360352,22.38446617126465,0.4321251107337169,5.220874770699968
0.0166015625,1024.0,1.0,36.0,5,0,32,0.23992919921875,4.805404901504517,27,32,2.0,1024.0,0.115234375,routed_bypass,63,0,early,routed_bypass_l02_early,1.0,36.0,,,16.0,gsm8k,0.115234375,gsm8k,2,0.115234375,0.0166015625,0.15625,0.0,0.045454545454545456,0.0667080965909091,6074.886083602905,0.1237215683958987,0.0685681997262236,0.0707520022988319,0.0011646638525420736,0.0685681997262236,0.90380859375,0.5866866766549583,0.9886262118816376,31.01654052734375,54.26958465576172,11.022323846817017,51.45464706420898,0.06197252817052729,1.027884218413871
0.0253968253968253,960.0,0.328125,8.0,5,0,32,0.2244047619047619,4.879446029663086,18,32,2.0,315.0,0.1492063492063492,routed_bypass,63,0,late,routed_bypass_l02_late,0.328125,8.0,,,16.0,gsm8k,0.0791666666666666,gsm8k,2,0.1492063492063492,0.0253968253968253,0.4375,0.0,0.045454545454545456,0.131511544011544,6074.886083602905,1.547535554597348,0.9112406637997946,2.392927994951606,0.03939049987143797,0.9112406637997946,0.1808347902097902,0.694303595967309,0.9613514244556428,24.513017654418945,31.863211631774902,21.015485763549805,21.679161071777344,0.16478401426886582,6.928978521610289
0.0385395537525354,992.0,0.4969758064516129,0.0,4,-1,32,0.2711713995943204,4.630321264266968,14,32,2.0,493.0,0.2109533468559837,routed_bypass,60,1,middle,routed_bypass_l02_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.125,gsm8k,2,0.2109533468559837,0.0385395537525354,0.5625,0.03125,0.09090909090909091,0.18683039830352202,6074.886083602905,1.4138469062307446,0.8861943318481507,0.9574720039963722,0.015761151580780144,0.8861943318481507,0.4445564516129032,0.6583712844546367,0.967139482498169,45.349708557128906,65.218017578125,37.17464065551758,49.4109992980957,0.39396340760588144,4.7433091182969696
0.015625,1024.0,1.0,36.0,5,0,32,0.25689697265625,4.8278868198394775,26,32,3.0,1024.0,0.1357421875,routed_bypass,63,0,early,routed_bypass_l03_early,1.0,36.0,,,16.0,gsm8k,0.1357421875,gsm8k,3,0.1357421875,0.015625,0.1875,0.0,0.045454545454545456,0.0768643465909091,6074.886083602905,0.1239512743817105,0.0704134344481236,0.0715839974582195,0.0011783595029285607,0.0704134344481236,0.90380859375,0.2171888725868433,0.991405874490738,25.81725025177002,31.632492065429688,13.939928531646729,26.916112899780277,0.0636402671696664,0.9160740651693973
