dataset,iteration,phase,normalized_iteration,ready_requests,physical_rows,decision_live_rows,live_ratio,accepted_rows,acceptance_rate_live,live_confidence_median,live_margin_median,model_forward_ms_observer
gsm8k,49,late,0.765625,13,416,76,0.18269230769230768,21,0.27631578947368424,0.5380030274391174,0.34851227700710297,531.0068359375
gsm8k,50,late,0.78125,12,384,55,0.14322916666666666,11,0.2,0.5956860184669495,0.48517897725105286,510.1226501464844
gsm8k,51,late,0.796875,8,256,44,0.171875,6,0.13636363636363635,0.5500325262546539,0.3256232738494873,405.4161071777344
gsm8k,52,late,0.8125,6,192,38,0.19791666666666666,5,0.13157894736842105,0.48680441081523895,0.2595645785331726,360.1213073730469
gsm8k,53,late,0.828125,5,160,33,0.20625,8,0.24242424242424243,0.5133028626441956,0.3148362636566162,319.5399475097656
gsm8k,54,late,0.84375,4,128,25,0.1953125,10,0.4,0.5746757388114929,0.3632643520832062,304.7657165527344
gsm8k,55,late,0.859375,4,128,15,0.1171875,4,0.26666666666666666,0.726326584815979,0.6001099348068237,319.0675048828125
gsm8k,56,late,0.875,3,96,11,0.11458333333333333,3,0.2727272727272727,0.7021413445472717,0.42424440383911133,273.7113952636719
gsm8k,57,late,0.890625,2,64,8,0.125,2,0.25,0.5219705700874329,0.20273806899785995,248.27305603027344
gsm8k,58,late,0.90625,2,64,6,0.09375,1,0.16666666666666666,0.5457575917243958,0.2332635074853897,259.3735656738281
gsm8k,59,late,0.921875,1,32,5,0.15625,1,0.2,0.5376126766204834,0.21067854762077332,226.41775512695312
gsm8k,60,late,0.9375,1,32,4,0.125,1,0.25,0.5428346544504166,0.11832047998905182,238.04400634765625
gsm8k,61,late,0.953125,1,32,3,0.09375,1,0.3333333333333333,0.7065936326980591,0.4511973261833191,245.77186584472656
gsm8k,62,late,0.96875,1,32,2,0.0625,1,0.5,0.6293440759181976,0.3247566968202591,246.60557556152344
gsm8k,63,late,0.984375,1,32,1,0.03125,1,1.0,0.49073120951652527,0.0,237.28976440429688
gsm8k,64,late,1.0,1,32,0,0.0,0,0.0,nan,nan,237.1333465576172
humaneval,1,middle,0.011904761904761904,18,576,247,0.4288194444444444,170,0.6882591093117408,0.9836967587471008,0.9750838875770569,636.0661010742188
humaneval,2,late,0.023809523809523808,18,576,77,0.13368055555555555,10,0.12987012987012986,0.5804060697555542,0.36903759837150574,636.6800537109375
humaneval,3,middle,0.03571428571428571,12,384,195,0.5078125,125,0.6410256410256411,0.979600191116333,0.9701730012893677,497.167724609375
humaneval,4,late,0.047619047619047616,12,384,102,0.265625,24,0.23529411764705882,0.516531765460968,0.27706268429756165,492.1338195800781
humaneval,5,middle,0.05952380952380952,10,320,110,0.34375,38,0.34545454545454546,0.6467411816120148,0.4060863107442856,450.4503479003906
humaneval,6,middle,0.07142857142857142,8,256,104,0.40625,40,0.38461538461538464,0.6127258539199829,0.38606327772140503,425.7665710449219
humaneval,7,late,0.08333333333333333,7,224,64,0.2857142857142857,12,0.1875,0.407262921333313,0.13263694941997528,386.42041015625
humaneval,8,middle,0.09523809523809523,6,192,84,0.4375,9,0.10714285714285714,0.32930469512939453,0.09355663135647774,356.1745910644531
humaneval,9,middle,0.10714285714285714,6,192,75,0.390625,10,0.13333333333333333,0.3182298243045807,0.11123135685920715,352.8358459472656
humaneval,10,middle,0.11904761904761904,5,160,97,0.60625,7,0.07216494845360824,0.19988900423049927,0.05530533194541931,341.68524169921875
humaneval,11,middle,0.13095238095238096,5,160,90,0.5625,9,0.1,0.1723342388868332,0.037878431379795074,330.24066162109375
humaneval,12,middle,0.14285714285714285,5,160,81,0.50625,5,0.06172839506172839,0.18745057284832,0.041047438979148865,330.4352111816406
humaneval,13,middle,0.15476190476190477,5,160,76,0.475,10,0.13157894736842105,0.1809815987944603,0.04049205034971237,329.72235107421875
humaneval,14,middle,0.16666666666666666,4,128,66,0.515625,16,0.24242424242424243,0.3726860582828522,0.10631083697080612,312.6247253417969
humaneval,15,middle,0.17857142857142858,4,128,50,0.390625,6,0.12,0.2353229746222496,0.05606922134757042,306.9203796386719
humaneval,16,middle,0.19047619047619047,3,96,44,0.4583333333333333,3,0.06818181818181818,0.19229606539011002,0.04382934421300888,289.1242370605469
humaneval,17,middle,0.20238095238095238,3,96,41,0.4270833333333333,4,0.0975609756097561,0.35939866304397583,0.1146298348903656,300.2884521484375
humaneval,18,middle,0.21428571428571427,3,96,37,0.3854166666666667,3,0.08108108108108109,0.28700634837150574,0.11018887162208557,284.4886169433594
humaneval,19,middle,0.2261904761904762,3,96,34,0.3541666666666667,3,0.08823529411764706,0.2178756520152092,0.047066498547792435,282.114501953125
humaneval,20,late,0.23809523809523808,3,96,31,0.3229166666666667,5,0.16129032258064516,0.5872499346733093,0.3689870238304138,280.90155029296875
humaneval,21,late,0.25,3,96,26,0.2708333333333333,4,0.15384615384615385,0.6395466327667236,0.5191530287265778,281.6937561035156
humaneval,22,late,0.2619047619047619,3,96,22,0.22916666666666666,7,0.3181818181818182,0.7487227916717529,0.6754853129386902,282.6816711425781
humaneval,23,late,0.27380952380952384,3,96,15,0.15625,9,0.6,0.9216597080230713,0.8460052609443665,289.7059326171875
humaneval,24,late,0.2857142857142857,3,96,6,0.0625,2,0.3333333333333333,0.6801201701164246,0.36033254861831665,280.3575744628906
humaneval,25,late,0.2976190476190476,2,64,4,0.0625,2,0.5,0.9136706292629242,0.8273709118366241,259.43768310546875
humaneval,26,late,0.30952380952380953,1,32,2,0.0625,1,0.5,0.7810733020305634,0.5621726959943771,225.96902465820312
humaneval,27,late,0.32142857142857145,1,32,1,0.03125,1,1.0,0.5311780571937561,0.06241506338119507,304.5187072753906
humaneval,28,late,0.3333333333333333,1,32,0,0.0,0,0.0,nan,nan,237.57936096191406
humaneval,29,early,0.34523809523809523,32,1024,802,0.783203125,271,0.33790523690773067,0.5386910438537598,0.3570507913827896,1035.2471923828125
humaneval,30,middle,0.35714285714285715,32,1024,536,0.5234375,158,0.2947761194029851,0.4642055630683899,0.20373298972845078,1129.188232421875
humaneval,31,middle,0.36904761904761907,32,1024,533,0.5205078125,169,0.3170731707317073,0.4589148461818695,0.21564731001853943,967.1535034179688
humaneval,32,middle,0.38095238095238093,32,1024,460,0.44921875,142,0.30869565217391304,0.483575776219368,0.2733772099018097,967.9657592773438
humaneval,33,middle,0.39285714285714285,32,1024,542,0.529296875,205,0.37822878228782286,0.5111374258995056,0.29166530072689056,982.3377075195312
humaneval,34,middle,0.40476190476190477,32,1024,465,0.4541015625,114,0.24516129032258063,0.36380788683891296,0.16697074472904205,967.586669921875
humaneval,35,middle,0.4166666666666667,32,1024,639,0.6240234375,175,0.27386541471048514,0.42756399512290955,0.18733814358711243,979.37451171875
humaneval,36,middle,0.42857142857142855,32,1024,560,0.546875,120,0.21428571428571427,0.30023331940174103,0.11985563486814499,1014.5433959960938
humaneval,37,middle,0.44047619047619047,28,896,440,0.49107142857142855,77,0.175,0.2985585629940033,0.11679457873106003,924.5623779296875
humaneval,38,middle,0.4523809523809524,27,864,427,0.49421296296296297,103,0.24121779859484777,0.35767942667007446,0.13996146619319916,867.3457641601562
humaneval,39,middle,0.4642857142857143,27,864,420,0.4861111111111111,67,0.1595238095238095,0.29339760541915894,0.10398305207490921,863.075927734375
humaneval,40,middle,0.47619047619047616,25,800,385,0.48125,64,0.16623376623376623,0.3153061866760254,0.10807698220014572,805.8363037109375
humaneval,41,middle,0.4880952380952381,24,768,353,0.4596354166666667,27,0.0764872521246459,0.28825056552886963,0.08971436321735382,766.53564453125
humaneval,42,middle,0.5,24,768,390,0.5078125,70,0.1794871794871795,0.33790965378284454,0.1293581873178482,780.0028076171875
humaneval,43,middle,0.5119047619047619,23,736,352,0.4782608695652174,43,0.12215909090909091,0.3692970275878906,0.14461927860975266,753.455322265625
humaneval,44,middle,0.5238095238095238,23,736,309,0.41983695652173914,55,0.1779935275080906,0.4637596905231476,0.20843355357646942,769.7681274414062
humaneval,45,middle,0.5357142857142857,22,704,286,0.40625,61,0.21328671328671328,0.46800510585308075,0.19426478445529938,716.7404174804688
humaneval,46,middle,0.5476190476190477,21,672,225,0.33482142857142855,51,0.22666666666666666,0.5224553942680359,0.24465060234069824,704.0271606445312
humaneval,47,late,0.5595238095238095,21,672,206,0.30654761904761907,73,0.35436893203883496,0.5276751816272736,0.2967677116394043,714.736572265625
humaneval,48,late,0.5714285714285714,21,672,133,0.19791666666666666,20,0.15037593984962405,0.3671448528766632,0.12422571331262589,715.0606689453125
humaneval,49,middle,0.5833333333333334,19,608,273,0.44901315789473684,35,0.1282051282051282,0.27193590998649597,0.10945194959640503,692.0737915039062
humaneval,50,middle,0.5952380952380952,18,576,302,0.5243055555555556,61,0.20198675496688742,0.33920224010944366,0.13365085422992706,748.096435546875
humaneval,51,middle,0.6071428571428571,17,544,241,0.4430147058823529,35,0.14522821576763487,0.39411887526512146,0.17907431721687317,609.9270629882812
humaneval,52,middle,0.6190476190476191,17,544,302,0.5551470588235294,66,0.2185430463576159,0.39719413220882416,0.13822676241397858,614.8223876953125
humaneval,53,middle,0.6309523809523809,17,544,236,0.4338235294117647,32,0.13559322033898305,0.2842683345079422,0.08465251326560974,627.7388916015625
humaneval,54,middle,0.6428571428571429,16,512,204,0.3984375,21,0.10294117647058823,0.2650046795606613,0.0889894925057888,591.8929443359375
humaneval,55,middle,0.6547619047619048,15,480,247,0.5145833333333333,41,0.1659919028340081,0.34181734919548035,0.11563816666603088,578.738525390625
humaneval,56,middle,0.6666666666666666,14,448,238,0.53125,66,0.2773109243697479,0.4449240565299988,0.20001547783613205,560.7122192382812
humaneval,57,middle,0.6785714285714286,14,448,172,0.38392857142857145,23,0.13372093023255813,0.3131013512611389,0.13025236874818802,542.1795654296875
humaneval,58,middle,0.6904761904761905,13,416,149,0.3581730769230769,30,0.20134228187919462,0.3649984896183014,0.11129218339920044,526.44921875
humaneval,59,middle,0.7023809523809523,13,416,151,0.3629807692307692,11,0.0728476821192053,0.193807452917099,0.06798753887414932,537.0386352539062
humaneval,60,middle,0.7142857142857143,11,352,172,0.48863636363636365,35,0.20348837209302326,0.3401145040988922,0.15761740505695343,471.1936950683594
humaneval,61,middle,0.7261904761904762,11,352,169,0.48011363636363635,25,0.14792899408284024,0.2571844756603241,0.08660805970430374,471.69757080078125
humaneval,62,middle,0.7380952380952381,10,320,144,0.45,11,0.0763888888888889,0.28344328701496124,0.065862987190485,442.2336730957031
humaneval,63,middle,0.75,9,288,133,0.4618055555555556,15,0.11278195488721804,0.3879457116127014,0.12051695585250854,436.4013977050781
humaneval,64,middle,0.7619047619047619,9,288,150,0.5208333333333334,23,0.15333333333333332,0.5578411817550659,0.2998821586370468,424.5657653808594
humaneval,65,middle,0.7738095238095238,8,256,127,0.49609375,33,0.25984251968503935,0.5568811297416687,0.34350794553756714,441.78955078125
humaneval,66,middle,0.7857142857142857,8,256,94,0.3671875,32,0.3404255319148936,0.41588863730430603,0.19099842756986618,407.4178771972656
humaneval,67,late,0.7976190476190477,7,224,62,0.2767857142857143,16,0.25806451612903225,0.309540331363678,0.13463766872882843,375.1124572753906
humaneval,68,middle,0.8095238095238095,5,160,78,0.4875,37,0.47435897435897434,0.7480689883232117,0.5811522305011749,327.8724365234375
humaneval,69,late,0.8214285714285714,4,128,41,0.3203125,8,0.1951219512195122,0.22511622309684753,0.13069334626197815,298.36279296875
humaneval,70,middle,0.8333333333333334,3,96,33,0.34375,3,0.09090909090909091,0.17792744934558868,0.08183801174163818,285.0592956542969
humaneval,71,late,0.8452380952380952,3,96,30,0.3125,2,0.06666666666666667,0.17703761905431747,0.06393113918602467,388.3819274902344
humaneval,72,middle,0.8571428571428571,2,64,28,0.4375,2,0.07142857142857142,0.2038288190960884,0.11968447268009186,258.36077880859375
humaneval,73,middle,0.8690476190476191,2,64,26,0.40625,2,0.07692307692307693,0.25433026254177094,0.11470163986086845,269.47186279296875
humaneval,74,middle,0.8809523809523809,2,64,24,0.375,2,0.08333333333333333,0.1847531497478485,0.07127504050731659,259.41107177734375
humaneval,75,middle,0.8928571428571429,2,64,22,0.34375,2,0.09090909090909091,0.19904102385044098,0.09510765224695206,258.9934997558594
humaneval,76,late,0.9047619047619048,2,64,20,0.3125,4,0.2,0.5662987232208252,0.39594362676143646,259.1291198730469
humaneval,77,late,0.9166666666666666,2,64,16,0.25,4,0.25,0.42221273481845856,0.25056543946266174,260.81988525390625
humaneval,78,late,0.9285714285714286,2,64,12,0.1875,2,0.16666666666666666,0.3565032482147217,0.19834241271018982,275.8299865722656
humaneval,79,late,0.9404761904761905,2,64,10,0.15625,5,0.5,0.788861870765686,0.6941040456295013,257.8515930175781
humaneval,80,late,0.9523809523809523,2,64,5,0.078125,1,0.2,0.43555477261543274,0.14363521337509155,259.4266662597656
humaneval,81,late,0.9642857142857143,1,32,4,0.125,2,0.5,0.8523415923118591,0.7054628878831863,226.171875
humaneval,82,late,0.9761904761904762,1,32,2,0.0625,1,0.5,0.6634532809257507,0.3278592526912689,236.916259765625
humaneval,83,late,0.9880952380952381,1,32,1,0.03125,1,1.0,0.996365487575531,0.9927720427513123,235.1465301513672
humaneval,84,late,1.0,1,32,0,0.0,0,0.0,nan,nan,236.9562225341797
