dataset,layer,phase,waves,clean_request_median_ms,prepare_attn_sum_ms,attention_sum_ms,prepare_mlp_sum_ms,mlp_sum_ms,postprocess_sum_ms,router_sum_ms,dispatch_sum_ms,expert_sum_ms,combine_sum_ms,shared_sum_ms,gather_sum_ms,whole_layer_sum_ms,non_moe_layer_proxy_sum_ms,routed_moe_sum_ms,whole_moe_sum_ms,whole_layer_request_e2e_upper_percent,routed_moe_request_e2e_upper_percent,whole_moe_request_e2e_upper_percent,non_moe_normalized_optimistic_e2e_percent,whole_layer_normalized_optimistic_e2e_percent
gsm8k,0,early,2,6074.886083602905,0.29280000925064087,2.057823956012726,0.7782720029354095,0.592960000038147,0.006016000173985958,0.0,0.0,0.0,0.0,0.0,0.0,3.727871968410909,3.134911968372762,0.0,0.0,0.06136529833000549,0.0,0.0,0.04037129911224859,0.04037129911224859
gsm8k,0,middle,27,6074.886083602905,4.007359996438026,28.47401589155197,18.39084780216217,13.388192117214203,0.10726400068961084,0.0,0.0,0.0,0.0,0.0,0.0,64.36767980805598,50.97948769084178,0.0,0.0,1.0595701536164555,0.0,0.0,0.6565122615626334,0.6565122615626334
gsm8k,0,late,36,6074.886083602905,4.937088005244732,90.14441704750061,34.559264093637466,56.820896089076996,0.36582400160841644,0.0,0.0,0.0,0.0,0.0,0.0,186.82748923706822,130.00659314799123,0.0,0.0,3.0754072860945603,0.0,0.0,1.6742208749377796,1.6742208749377796
gsm8k,1,early,2,6074.886083602905,0.3736640065908432,2.4341440200805664,0.6162559986114502,26.958528518676758,0.025439999997615814,0.3426560014486313,0.5525120198726654,1.8819199204444885,0.5640320032835007,0.07174399867653847,0.10697600245475769,30.408032543957233,3.4495040252804756,3.341119945049286,3.519839946180582,0.5005531317868397,0.054998890498827724,0.057940838688007604,0.04442260586532188,0.10236344455332949
gsm8k,1,middle,27,6074.886083602905,4.5747200101614,17.537791967391968,8.042752042412758,351.18815898895264,0.4030719995498657,15.849472224712372,7.947775974869728,29.803839683532715,5.449024021625519,10.306079979985952,1.8727359883487225,381.7464950084686,30.55833601951599,59.050111904740334,71.22892787307501,6.284010757648013,0.9720365302672273,1.1725146264937105,0.3935293036176853,1.5660439301113958
gsm8k,1,late,36,6074.886083602905,6.338848024606705,23.594304084777832,9.525120034813881,254.72713470458984,0.5056639984250069,32.401535868644714,11.06483194231987,29.922272086143494,5.377919986844063,45.0000638756901,4.928640024736524,294.69107084721327,39.963936142623425,78.76655988395214,128.69526378437877,4.8509727884878675,1.2965932002668454,2.1184802811652386,0.5146543303268951,2.6331346114921335
gsm8k,2,early,2,6074.886083602905,0.3725440055131912,2.2860479950904846,1.3724480271339417,26.89568042755127,0.025407999753952026,0.37305599451065063,0.8671679794788361,2.0102720260620117,0.9149440228939056,0.07075200229883194,0.10630400106310844,30.95212845504284,4.0564480274915695,4.165440022945404,4.342496026307344,0.5095096110293758,0.06856819972622362,0.07148275649198492,0.05223881190391382,0.12372156839589873
gsm8k,2,middle,27,6074.886083602905,5.044031992554665,18.113279938697815,14.464799970388412,331.748610496521,0.3591679986566305,4.692319959402084,10.807296007871628,31.048672199249268,7.287007972598076,0.9574720039963722,1.3832320049405098,369.7298903968185,37.98127990029752,53.835296139121056,56.17600014805794,6.086202857281209,0.8861943318481507,0.924725161508559,0.48912174472218567,1.4138469062307446
gsm8k,2,late,36,6074.886083602905,6.5087040066719055,24.654688000679016,11.971135973930359,185.58342289924622,0.5046080006286502,6.339359983801842,11.955648005008698,31.285856306552887,5.775967977941036,2.392927994951606,2.1214079950004816,229.22255888115615,43.63913598190993,55.35683227330446,59.87116826325655,3.773281601112895,0.9112406637997946,0.9855521147113929,0.5619834398859553,1.5475355545973484
gsm8k,3,early,2,6074.886083602905,0.3930880129337311,2.2496959567070007,1.2582719922065735,26.938464164733887,0.02527999971061945,0.3559039980173111,0.8554880023002625,2.209567904472351,0.8565760254859924,0.07158399745821953,0.10912000015377998,30.86480012629181,3.9263359615579247,4.277535930275917,4.458239927887917,0.508072080719355,0.07041343444812363,0.07338804162799732,0.0505632327537132,0.12395127438171052
