oracle,dataset,mode,phase,criterion,tested_policies,safe_policies,optimistic_e2e_percent,post_epoch_live_weighted_percent,evidence_boundary
O1_single_layer_independent,gsm8k,layer_bypass,all,current_step_exact,96,0,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,layer_bypass,all,benchmark_vector_safe,96,64,54.924446011590845,20.409323033794138,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,layer_bypass,all,final_trajectory_exact,96,0,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,routed_bypass,all,current_step_exact,96,3,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,routed_bypass,all,benchmark_vector_safe,96,77,38.221100568267595,12.620415204954211,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,routed_bypass,all,final_trajectory_exact,96,3,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,routed_only,all,current_step_exact,27,3,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,routed_only,all,benchmark_vector_safe,27,22,0.45507961279846504,0.10971748629578254,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,routed_only,all,final_trajectory_exact,27,3,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,stale_routed,all,current_step_exact,96,65,27.426499635114617,13.091942255862078,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,stale_routed,all,benchmark_vector_safe,96,84,44.07488369873251,14.769174379076848,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,gsm8k,stale_routed,all,final_trajectory_exact,96,14,0.6754302136664951,0.6104596315901769,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,humaneval,layer_bypass,all,current_step_exact,30,0,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,humaneval,layer_bypass,all,benchmark_vector_safe,30,14,9.530980034038619,3.718472340126495,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,humaneval,layer_bypass,all,final_trajectory_exact,30,0,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,humaneval,routed_bypass,all,current_step_exact,96,3,0.0,0.0,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,humaneval,routed_bypass,all,benchmark_vector_safe,96,55,14.10938591136854,4.2523884201093995,interaction-unsafe sum of disjoint cells
O1_single_layer_independent,humaneval,routed_bypass,all,final_trajectory_exact,96,3,0.0,0.0,interaction-unsafe sum of disjoint cells
O2_greedy_multi_layer,gsm8k,layer_bypass,early,benchmark_vector_safe,4,3,0.9751239729329765,0.8813254267084666,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,layer_bypass,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,layer_bypass,late,benchmark_vector_safe,4,1,3.1019763849772053,0.5609452488130764,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,layer_bypass,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,layer_bypass,middle,benchmark_vector_safe,4,1,2.97989083634214,1.3247296963980681,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,layer_bypass,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,routed_bypass,early,benchmark_vector_safe,4,4,1.0064912993345851,0.9096754858732017,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,routed_bypass,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,routed_bypass,late,benchmark_vector_safe,4,2,3.363656026720003,0.6082660319298082,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,routed_bypass,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,routed_bypass,middle,benchmark_vector_safe,4,2,3.2502843551769143,1.444934879670382,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,routed_bypass,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,stale_routed,early,benchmark_vector_safe,4,4,0.9781158560345102,0.8840295163671281,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,stale_routed,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,stale_routed,late,benchmark_vector_safe,4,4,14.191676146762868,2.566348778725147,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,stale_routed,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,stale_routed,middle,benchmark_vector_safe,4,4,13.374902868117438,5.945899359717529,largest actually tested within-phase joint policy
O2_greedy_multi_layer,gsm8k,stale_routed,middle,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,layer_bypass,early,benchmark_vector_safe,4,3,0.43043111908637466,0.3371149975656958,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,layer_bypass,early,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,layer_bypass,late,benchmark_vector_safe,4,0,0.0,0.0,largest actually tested within-phase joint policy
O2_greedy_multi_layer,humaneval,layer_bypass,late,final_trajectory_exact,4,0,0.0,0.0,largest actually tested within-phase joint policy
