dataset,repeat,layer,phase,waves,live_ratio_median,input_hidden_norm_median,output_hidden_norm_median,residual_update_norm_median,relative_l2_update_median,output_cosine_median,attention_update_norm_median,moe_update_norm_median,moe_to_total_update_norm_ratio_median,routed_output_norm_median,shared_output_norm_median,moe_output_norm_median
gsm8k,r1,0,early,2,0.90380859375,18.74139928817749,105.1136360168457,101.44905090332031,5.721958348052146,0.27015039324760437,73.15203857421875,31.48173999786377,0.3103031856182982,nan,nan,nan
gsm8k,r1,0,late,36,0.1808347902097902,16.853708267211914,49.406328201293945,43.45743751525879,2.587421058565237,0.5078908801078796,30.036139488220215,16.752058029174805,0.37921849357074916,nan,nan,nan
gsm8k,r1,0,middle,27,0.44455645161290325,31.12274742126465,108.16627502441406,99.54800415039062,3.1917122753934217,0.4218544661998749,67.8316879272461,35.266998291015625,0.36130971794835437,nan,nan,nan
gsm8k,r1,1,early,2,0.90380859375,105.1136360168457,134.21006774902344,34.13338661193848,0.3243562360562383,0.9886573851108551,17.083250522613525,24.53076171875,0.7207885672469581,7.281662583351135,22.03778648376465,24.52998924255371
gsm8k,r1,1,late,36,0.1808347902097902,49.406328201293945,66.83401489257812,23.33189582824707,0.4754133218085187,0.9640589356422424,13.35288143157959,17.34995937347412,0.7051333986473696,14.548321723937988,8.639009952545166,17.35180950164795
gsm8k,r1,1,middle,27,0.44455645161290325,108.16627502441406,144.92933654785156,48.428409576416016,0.4511358203035051,0.9687889218330383,25.674758911132812,35.31654739379883,0.7336485530049093,24.388248443603516,22.38446617126465,35.31318664550781
gsm8k,r1,2,early,2,0.90380859375,134.21006774902344,208.82522583007812,78.78775405883789,0.5866866766549583,0.9886262118816376,31.01654052734375,54.26958465576172,0.6894734150636188,11.022323846817017,51.454647064208984,54.267520904541016
gsm8k,r1,2,late,36,0.1808347902097902,66.83401489257812,107.39399719238281,47.96271514892578,0.694303595967309,0.9613514244556427,24.513017654418945,31.863211631774902,0.6822344436437043,21.015485763549805,21.679161071777344,31.863672256469727
gsm8k,r1,2,middle,27,0.44455645161290325,144.92933654785156,229.107421875,95.84297180175781,0.6583712844546367,0.967139482498169,45.349708557128906,65.218017578125,0.6804673973697555,37.17464065551758,49.4109992980957,65.21826171875
gsm8k,r1,3,early,2,0.90380859375,208.82522583007812,243.52816009521484,45.484230041503906,0.21718887258684333,0.9914058744907379,25.81725025177002,31.632492065429688,0.6964149304536185,13.939928531646729,26.916112899780273,31.63245677947998
