accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,live_aligned_rows,live_top1_flip_fraction,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction,dataset,direct_e2e_optimistic_percent,post_epoch_live_weighted_percent,current_step_exact,benchmark_vector_safe,final_trajectory_exact
0.072265625,1024.0,1.0,36.0,3,-2,32,0.9349365234375,4.680676937103272,10,32,"16,17,18,19,20,21,22,23",1024.0,0.521484375,routed_bypass,64,2,early,routed_bypass_middle_high_early,1.0,36.0,,,16.0,gsm8k,0.521484375,gsm8k,0.47831125267705876,0.4323018206568534,False,False,False
0.1079365079365079,960.0,0.328125,8.0,3,-2,32,0.7289682539682539,5.6154725551605225,3,32,"16,17,18,19,20,21,22,23",315.0,0.4761904761904761,routed_bypass,74,2,late,routed_bypass_middle_high_late,0.328125,8.0,,,16.0,gsm8k,0.2583333333333333,gsm8k,6.600251503448657,1.1935550959579904,False,False,False
0.0872210953346856,992.0,0.4969758064516129,0.0,4,-1,32,0.8591531440162272,5.755625247955322,0,32,"16,17,18,19,20,21,22,23",493.0,0.539553752535497,routed_bypass,79,3,middle,routed_bypass_middle_high_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.3074596774193548,gsm8k,6.378056716938542,2.8354062622680414,False,False,False
0.03515625,1024.0,1.0,36.0,5,0,32,0.46099853515625,4.699599504470825,21,32,"8,9,10,11,12,13,14,15",1024.0,0.291015625,routed_bypass,64,0,early,routed_bypass_middle_low_early,1.0,36.0,,,16.0,gsm8k,0.291015625,gsm8k,0.4947672069228316,0.4471748535225397,False,True,False
0.0793650793650793,960.0,0.328125,8.0,5,0,32,0.5571428571428572,4.786331653594971,10,32,"8,9,10,11,12,13,14,15",315.0,0.2857142857142857,routed_bypass,65,0,late,routed_bypass_middle_low_late,0.328125,8.0,,,16.0,gsm8k,0.178125,gsm8k,7.0591321996058936,1.2765366903789066,False,True,False
0.0831643002028397,992.0,0.4969758064516129,0.0,3,-2,32,0.838869168356998,5.544313192367554,1,32,"8,9,10,11,12,13,14,15",493.0,0.5841784989858012,routed_bypass,68,2,middle,routed_bypass_middle_low_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.3417338709677419,gsm8k,6.595510155590565,2.932076591346209,False,False,False
0.0302734375,1024.0,1.0,36.0,5,0,32,0.36578369140625,4.721402168273926,25,32,"0,1,2,3,4,5,6,7",1024.0,0.1630859375,routed_bypass,64,0,early,routed_bypass_shallow_early,1.0,36.0,,,16.0,gsm8k,0.1630859375,gsm8k,0.44968085750194087,0.4064254234551233,False,True,False
0.0634920634920634,960.0,0.328125,8.0,5,0,32,0.4666666666666667,5.027637243270874,7,32,"0,1,2,3,4,5,6,7",315.0,0.2603174603174603,routed_bypass,67,0,late,routed_bypass_shallow_late,0.328125,8.0,,,16.0,gsm8k,0.1770833333333333,gsm8k,6.583550075931854,1.1905348968167853,False,True,False
0.0466531440162271,992.0,0.4969758064516129,0.0,5,0,32,0.6016734279918864,6.262551069259644,3,32,"0,1,2,3,4,5,6,7",493.0,0.3711967545638945,routed_bypass,65,2,middle,routed_bypass_shallow_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.2358870967741935,gsm8k,6.026653265410694,2.679187590772295,False,False,False
0.302734375,1024.0,1.0,36.0,5,0,32,2.14886474609375,4.3851611614227295,0,32,"24,25,26,27,28,29,30,31",1024.0,0.5361328125,routed_only,59,2,early,routed_only_deep_early,1.0,36.0,,,16.0,gsm8k,0.5361328125,gsm8k,0.00950009587697276,0.008586268295056924,False,False,False
0.2761904761904762,960.0,0.328125,8.0,3,-2,32,1.756547619047619,3.9226324558258057,2,32,"24,25,26,27,28,29,30,31",315.0,0.4666666666666667,routed_only,52,2,late,routed_only_deep_late,0.328125,8.0,,,16.0,gsm8k,0.2427083333333333,gsm8k,0.41230626722900887,0.0745593173365395,False,False,False
0.3630831643002028,992.0,0.4969758064516129,0.0,3,-2,32,2.0559077079107504,4.284839868545532,0,32,"24,25,26,27,28,29,30,31",493.0,0.5557809330628803,routed_only,58,4,middle,routed_only_deep_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.3205645161290322,gsm8k,0.12912228946106538,0.057402146826945395,False,False,False
