method,model,dataset,setting,quality,latency_ms,speedup_vs_vanilla,algorithmic_proxy_delta_pct,expert_pairs_delta_pct,remote_assignments_delta_pct,remote_bytes_delta_pct,fanout_delta,evidence
TEAM,SDAR-30B-A3B,bounded GSM8K/HumanEval,single,bounded-positive,,1.8318896104707998,-41.666666666666664,11.5,,,,official positive control
TEAM,SDAR-30B-A3B,GSM8K anchor,EP2,trajectory-preserved,3337.717,1.1792428967927702,-41.67,31.5,33.61,33.61,0.0,"true EP2, fused local experts"
TEAM,SDAR-30B-A3B,GSM8K anchor,EP4,prefix-parity-only,3204.702813643962,0.8212756446100407,-21.42857142857143,32.14285714285714,32.112898928655056,32.112898928655056,0.0,two clean restarts; third NCCL hang excluded
REFLEX,LLaDA-MoE-7B-A1B,GSM8K-4,single,port-invalid 0/4 vs 3/4,923.2103934045881,4.355912926271015,,,,,,paper-faithful semantic port; official runtime unavailable
REFLEX,LLaDA-MoE-7B-A1B,GSM8K-1,EP2,invalid—structural trace only,336.494327057153,7.851665512030929,-6.050955414012737,-6.050955414012737,-6.550936365783999,-6.550936365783999,0.0,reference assignment A2A; excluded from speedup claims
REFLEX,LLaDA-MoE-7B-A1B,GSM8K-1,EP4,invalid—structural trace only,336.1784960143268,7.999143850093029,-6.050955414012737,-6.050955414012737,-7.065734895368248,-7.065734895368248,0.0,reference assignment A2A; excluded from speedup claims
DES,LLaDA-MoE-7B-A1B,GSM8K-4,single,port-invalid 1/4 vs 3/4,1959.1789559926838,2.0526068198099874,,,,,,paper-faithful semantic port; official runtime unavailable
DES,LLaDA-MoE-7B-A1B,GSM8K-1,EP2,invalid—structural trace only,1917.1337238512933,1.3781203000493667,-40.625,0.0,-0.16551429472463353,-0.16551429472463353,0.0,reference assignment A2A; excluded from speedup claims
DES,LLaDA-MoE-7B-A1B,GSM8K-1,EP4,invalid—structural trace only,14013.664986938238,0.19189413700363195,-40.625,0.0,0.07317237883892602,0.07317237883892602,0.0,reference assignment A2A; excluded from speedup claims
