method,correct,total,accuracy,median_latency_ms,median_nfe,quality_valid
vanilla,3,4,0.75,4021.4240862987936,90.5,True
reflex,0,4,0.0,923.2103934045881,17.0,False
des,1,4,0.25,1959.1789559926838,39.5,False
