mode,wall_ms,calls,physical_rows,computed_rows,assignments,remote_assignments,remote_bytes,fanout,remote_fanout,mean_active_local_experts,router_sum_ms,prepare_sum_ms,dispatch_sum_ms,expert_sum_ms,combine_sum_ms,moe_sum_ms,router_median_ms,prepare_median_ms,dispatch_median_ms,expert_median_ms,combine_median_ms,moe_median_ms
baseline,9055.476108100265,672,21504,21504,172032,123863,507342848,4.0,3.0,14.793154761904763,299.85923463106155,332.7137289047241,2046.781734123826,1930.3430998325348,860.3453063815832,5515.476349473,0.2972480058670044,0.40409600734710693,0.14614400267601013,0.43031999468803406,0.23764800280332565,1.5841920375823975
team,22835.58089705184,528,44544,28416,227328,163639,670265344,4.0,3.0,13.117424242424242,310.07865342497826,13957.96322441101,2088.8796733617783,1521.900179386139,1284.935646891594,19201.518176078796,0.3707199990749359,19.396031379699707,0.15358400344848633,0.44225600361824036,0.3514399975538254,21.205103874206543
