block,policy,workload,requests,e2e_mean_reduction_pct,paired_request_reduction_median_pct,paired_request_reduction_p10_pct,paired_request_reduction_p90_pct,output_text_exact_fraction,output_prefix_32char_exact_fraction
0,layered4,heterogeneous_bursty,48,21.711135802427172,22.011617537285687,5.751638427284568,33.81973498710096,0.3333333333333333,1
0,layered4,heterogeneous_steady,48,11.301718055694431,11.152168624881025,3.9931674964995434,18.87563597166434,0.3541666666666667,1
0,layered16,heterogeneous_bursty,48,6.992500564467141,5.975898704019067,0.5589113498136922,14.198802832990385,0.3125,1
0,layered16,heterogeneous_steady,48,9.199963468449523,9.18684020942938,3.0022550916901576,13.662045013793879,0.3333333333333333,1
1,layered4,heterogeneous_steady,48,1.8300401640041652,1.1983251852404841,-2.981917298064347,10.093577547296965,0.3333333333333333,1
1,layered4,heterogeneous_bursty,48,15.501435495793858,15.072882517170132,0.5738714805603863,28.837860695737252,0.3541666666666667,1
1,layered16,heterogeneous_steady,48,3.5863257021075956,3.264303877988856,0.9263633184735809,5.958643294230063,0.2916666666666667,1
1,layered16,heterogeneous_bursty,48,3.0110130296632565,3.5713449687770793,0.15776941256093746,5.323796456206563,0.3125,1
2,layered16,heterogeneous_bursty,48,-23.554244068343632,-23.319595179868514,-30.77934055128975,-16.18630793547793,0.3125,1
2,layered16,heterogeneous_steady,48,-21.48758967779949,-28.912437603224628,-40.72298109075124,1.6973790654155256,0.2708333333333333,1
2,layered4,heterogeneous_bursty,48,19.665051269264822,19.83428568397136,3.721299385690341,32.15068852866784,0.3541666666666667,1
2,layered4,heterogeneous_steady,48,3.4707080185544914,2.1624366711751772,-1.039265746010487,11.541299638957858,0.3333333333333333,1
