block,policy,workload,requests,tokens_s,elapsed_s,joint_slo_fraction_ttft2_tpot02,max_arrival_lateness_ms,coalesced_requests,request_max_itl_mean_s,request_max_itl_p99_s,joint_all_token_slo_ttft1_tbt50ms,joint_all_token_slo_ttft1_tbt100ms,joint_all_token_slo_ttft1_tbt200ms,joint_all_token_slo_ttft2_tbt50ms,joint_all_token_slo_ttft2_tbt100ms,joint_all_token_slo_ttft2_tbt200ms,joint_all_token_slo_ttft5_tbt50ms,joint_all_token_slo_ttft5_tbt100ms,joint_all_token_slo_ttft5_tbt200ms,e2e_s_mean,e2e_s_p50,e2e_s_p90,e2e_s_p99,ttft_s_mean,ttft_s_p50,ttft_s_p90,ttft_s_p99,tpot_s_mean,tpot_s_p50,tpot_s_p90,tpot_s_p99
0,layered4,heterogeneous_bursty,48,285.19214173635396,25.133932359982282,1,2.0655990950763092,0,0.05122529976263953,0.055249229627661406,0.0625,0.6458333333333334,0.6458333333333334,0.16666666666666666,1,1,0.16666666666666666,1,1,3.407239021064015,3.1342109020333737,4.8857540563680235,4.9587359082838525,0.8267052741042183,0.8306146513205022,1.3527325001079589,1.5441828338382766,0.01887323200306925,0.017363550655485713,0.02608089832559465,0.03181624151721952
0,layered4,heterogeneous_steady,48,265.75497127269597,26.972214162815362,1,2.008704002946615,0,0.044144267546168216,0.05117785854730755,0.9166666666666666,1,1,0.9166666666666666,1,1,0.9166666666666666,1,1,2.3351258975550686,2.0017468435689807,3.9976991456002,4.189594566388987,0.1554236589872744,0.1610947025474161,0.2529052307829261,0.2600847257487476,0.01461095595155166,0.014768884959087179,0.015765046312026385,0.016658281150970403
0,layered16,heterogeneous_bursty,48,271.51190697823216,26.400315477047116,0.6666666666666666,2.134226299823183,0,0.04428239768215766,0.06155519952066243,0.16666666666666666,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.6666666666666666,0.6666666666666666,0.5416666666666666,1,1,4.047814265495011,3.8406388224102557,5.7947146271821115,6.185733038219624,1.5288710019667633,1.5080612187739462,2.6060380384325983,2.9499250045185907,0.01799380861856161,0.017280181611518432,0.022538261317093113,0.02379061925468878
0,layered16,heterogeneous_steady,48,263.7868861036845,27.173450909089297,1,1.962144859135151,0,0.02536305953011227,0.030381997604854404,1,1,1,1,1,1,1,1,1,2.3904579903464764,2.071855755522847,4.104287996748463,4.165295095783659,0.22799019263281176,0.23175294627435505,0.40158478296361866,0.4084362785844132,0.014498139424277686,0.014744026065316228,0.015008674630034248,0.015257928229070137
0,chunk512,heterogeneous_bursty,48,266.03085638438563,26.944242849946022,0.6458333333333334,2.067140787840316,0,0.032397966754312314,0.04994435941334814,0.3541666666666667,0.375,0.375,0.625,0.6458333333333334,0.6458333333333334,0.9791666666666666,1,1,4.3521375051059294,4.182169771986082,6.2045388963073504,7.12745906344615,1.5692824869377848,1.6445251130498946,2.7373759150039407,3.2664221476251263,0.01989696028900973,0.01917544413349777,0.024830330518769136,0.02599446526174212
0,chunk512,heterogeneous_steady,48,258.3503972639823,27.74526409059763,1,1.3089119456708431,0,0.027323326299665496,0.03294651796109974,1,1,1,1,1,1,1,1,1,2.6326619257645993,2.304916735505685,4.4020423051901165,4.840205047926865,0.23681123804999515,0.21481954003684223,0.4571960768662393,0.46890884852968157,0.01603290103418194,0.016320009433525053,0.017103403800244645,0.017940552700606602
1,layered4,heterogeneous_steady,48,266.25758987389395,26.921298293862492,1,2.0802230574190617,0,0.048591736189943426,0.06012176329270005,0.20833333333333334,1,1,0.20833333333333334,1,1,0.20833333333333334,1,1,2.3142892443186915,2.0054031619802117,3.9761112863663586,4.034478881293908,0.1585227974477069,0.16696703247725964,0.25385630126111214,0.26663136143703015,0.014448902555158287,0.014674815153885705,0.015221783086133844,0.015794505810950807
1,layered4,heterogeneous_bursty,48,287.5349564731934,24.92914283508435,1,1.8928398378193352,0,0.053973326071475945,0.07419372058473528,0,0.5833333333333334,0.5833333333333334,0.16666666666666666,1,1,0.16666666666666666,1,1,3.314350042880202,3.056853332556784,4.6937547250185165,4.769995617484674,0.8475039866461884,0.8527622050605714,1.3586166819091887,1.5565504777850583,0.018154470873266767,0.016481134838857284,0.02533830440795375,0.031165245918645747
1,chunk512,heterogeneous_steady,48,264.77397482214275,27.072147120255977,1,2.040030900388956,0,0.025837328876756754,0.04738559266086668,1,1,1,1,1,1,1,1,1,2.3574311817840985,2.0309845206793398,4.025471423007548,4.103827597470954,0.23218905072038373,0.22094173217192292,0.4379364987835288,0.4697626754455269,0.014243127439829258,0.014457461865180555,0.0149431060959299,0.015341740108597728
1,chunk512,heterogeneous_bursty,48,273.446438739348,26.213543072808534,0.6875,1.9965748116373971,0,0.02778894079771514,0.039520836640149375,0.375,0.375,0.375,0.6875,0.6875,0.6875,1,1,1,3.9223743768040245,3.793298612581566,5.547563854092733,6.015157767329365,1.411185654918275,1.4645869818050414,2.540366841759533,2.96216057096608,0.018132950423138953,0.017713675166261062,0.022940273081236365,0.023273834690806412
