request_id,category,budget,seed,chunks,tile_sum,padding_sum,frag_mean,p10_batch
cat,natural,128,0,2,7702,353664,1.0007753527392393,1.0
cat,natural,128,1,2,4998,271488,0.5013666445282425,0.5
cat,natural,128,2,2,5376,277248,1.0013754138207782,1.0
cat,natural,128,3,2,4998,271488,0.5013666445282425,0.5
cat,natural,128,4,2,6711,296736,1.0012808544642302,1.0
cat,natural,128,5,2,8173,366080,1.000346978534261,1.0
cat,natural,128,6,2,4998,271488,0.5013666445282425,0.5
cat,natural,128,7,1,4998,271488,1.002733289056485,1.0
cat,natural,128,8,2,4998,271488,0.5013666445282425,0.5
cat,natural,128,9,2,4998,271488,0.5013666445282425,0.5
cat,natural,256,0,1,4998,271488,1.002733289056485,1.0
cat,natural,256,1,1,4998,271488,1.002733289056485,1.0
cat,natural,256,2,1,4998,271488,1.002733289056485,1.0
cat,natural,256,3,1,4998,271488,1.002733289056485,1.0
cat,natural,256,4,1,4998,271488,1.002733289056485,1.0
cat,natural,256,5,1,4998,271488,1.002733289056485,1.0
cat,natural,256,6,1,4998,271488,1.002733289056485,1.0
cat,natural,256,7,1,4998,271488,1.002733289056485,1.0
cat,natural,256,8,1,4998,271488,1.002733289056485,1.0
cat,natural,256,9,1,4998,271488,1.002733289056485,1.0
cat,natural,512,0,1,4998,271488,1.002733289056485,1.0
cat,natural,512,1,1,4998,271488,1.002733289056485,1.0
cat,natural,512,2,1,4998,271488,1.002733289056485,1.0
cat,natural,512,3,1,4998,271488,1.002733289056485,1.0
cat,natural,512,4,1,4998,271488,1.002733289056485,1.0
cat,natural,512,5,1,4998,271488,1.002733289056485,1.0
cat,natural,512,6,1,4998,271488,1.002733289056485,1.0
cat,natural,512,7,1,4998,271488,1.002733289056485,1.0
cat,natural,512,8,1,4998,271488,1.002733289056485,1.0
cat,natural,512,9,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,0,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,1,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,2,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,3,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,4,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,5,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,6,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,7,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,8,1,4998,271488,1.002733289056485,1.0
cat,natural,1024,9,1,4998,271488,1.002733289056485,1.0
phantom,fine_grained,128,0,2,4949,261440,0.5039904988422398,0.5
phantom,fine_grained,128,1,2,7047,292368,1.0034977608383222,1.0
phantom,fine_grained,128,2,2,4949,261440,0.5039904988422398,0.5
phantom,fine_grained,128,3,2,7590,342240,1.0029047079191484,1.0
phantom,fine_grained,128,4,2,8456,359104,1.000467038835451,1.0
phantom,fine_grained,128,5,2,4949,261440,0.5039904988422398,0.5
phantom,fine_grained,128,6,2,4949,261440,0.5039904988422398,0.5
phantom,fine_grained,128,7,2,4949,261440,0.5039904988422398,0.5
phantom,fine_grained,128,8,2,4949,261440,0.5039904988422398,0.5
phantom,fine_grained,128,9,2,8530,359936,1.0001170411985019,1.0
phantom,fine_grained,256,0,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,1,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,2,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,3,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,4,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,5,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,6,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,7,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,8,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,256,9,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,0,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,1,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,2,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,3,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,4,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,5,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,6,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,7,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,8,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,512,9,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,0,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,1,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,2,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,3,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,4,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,5,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,6,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,7,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,8,1,4949,261440,1.0079809976844796,1.0
phantom,fine_grained,1024,9,1,4949,261440,1.0079809976844796,1.0
